mini_batch_iteration,loss
0,0.6929
1,1.1298
2,0.8046
3,0.7232
4,0.6923
5,0.6824
6,0.6609
7,0.6562
8,0.6669
9,0.6536
10,0.8437
11,0.6674
12,0.6868
13,0.6821
14,0.6815
15,0.6794
16,0.6844
17,0.6784
18,0.6863
19,0.6875
20,0.6853
21,0.6906
22,0.6865
23,0.6863
24,0.6902
25,0.6854
26,0.6626
27,0.6919
28,0.6810
29,0.6844
30,0.6758
31,0.6700
32,0.6824
33,0.6825
34,0.7224
35,0.6751
36,0.6631
37,0.6603
38,0.6829
39,0.6907
40,0.6630
41,0.6467
42,0.6948
43,0.6988
44,0.7092
45,0.6677
46,0.6800
47,0.6808
48,0.6898
49,0.6680
50,0.6477
51,0.6641
52,0.6774
53,0.7068
54,0.6509
55,0.6974
56,0.6902
57,0.6810
58,0.7043
59,0.6824
60,0.6515
61,0.6621
62,0.6814
63,0.6457
64,0.6660
65,0.6687
66,0.6896
67,0.7045
68,0.6890
69,0.6827
70,0.6764
71,0.6664
72,0.6875
73,0.6381
74,0.6841
75,0.6558
76,0.6846
77,0.6894
78,0.6701
79,0.6996
80,0.6717
81,0.6689
82,0.6631
83,0.6657
84,0.6737
85,0.6874
86,0.6758
87,0.6828
88,0.6717
89,0.6709
90,0.6845
91,0.6652
92,0.6247
93,0.7169
94,0.6623
95,0.6279
96,0.6807
97,0.6741
98,0.6871
99,0.6503
100,0.6515
101,0.6438
102,0.6693
103,0.6344
104,0.6374
105,0.5691
106,0.6515
107,0.6597
108,0.6948
109,0.6420
110,0.7159
111,0.6888
112,0.6765
113,0.6854
114,0.6770
115,0.6711
116,0.6589
117,0.6794
118,0.7134
119,0.6731
120,0.6753
121,0.6690
122,0.6907
123,0.6588
124,0.6758
125,0.6548
126,0.6981
127,0.6544
128,0.6622
129,0.6257
130,0.6505
131,0.6415
132,0.6180
133,0.7089
134,0.6063
135,0.6491
136,0.7425
137,0.6437
138,0.6884
139,0.6467
140,0.6857
141,0.6617
142,0.6450
143,0.6318
144,0.6626
145,0.6470
146,0.7251
147,0.6885
148,0.6801
149,0.6907
150,0.6809
151,0.6840
152,0.6776
153,0.6835
154,0.6756
155,0.6865
156,0.6802
157,0.6810
158,0.6858
159,0.6968
160,0.6694
161,0.6894
162,0.6488
163,0.6478
164,0.6981
165,0.6330
166,0.6711
167,0.6923
168,0.6632
169,0.6751
170,0.6823
171,0.6555
172,0.6632
173,0.6719
174,0.6422
175,0.6440
176,0.6424
177,0.6149
178,0.6913
179,0.6422
180,0.6443
181,0.6571
182,0.6565
183,0.6436
184,0.6819
185,0.6676
186,0.6551
187,0.6538
188,0.6456
189,0.7104
190,0.6662
191,0.6784
192,0.6845
193,0.6789
194,0.6552
195,0.6532
196,0.6485
197,0.6820
198,0.6615
199,0.6630
200,0.6452
201,0.7555
202,0.6801
203,0.6596
204,0.6572
205,0.6662
206,0.6626
207,0.6620
208,0.6686
209,0.6744
210,0.6870
211,0.6794
212,0.6449
213,0.6707
214,0.6781
215,0.6884
216,0.6627
217,0.7002
218,0.6951
219,0.6316
220,0.6521
221,0.6639
222,0.6392
223,0.6509
224,0.6461
225,0.6550
226,0.6806
227,0.6472
228,0.6231
229,0.6404
230,0.5912
231,0.6221
232,0.6863
233,0.5616
234,0.5990
235,0.5971
236,0.6951
237,0.6374
238,0.6778
239,0.6712
240,0.6739
241,0.7068
242,0.6634
243,0.6830
244,0.6277
245,0.6809
246,0.6877
247,0.6499
248,0.6463
249,0.6320
250,0.6538
251,0.6460
252,0.6293
253,0.5951
254,0.5988
255,0.6662
256,0.6865
257,0.7158
258,0.6619
259,0.6706
260,0.6709
261,0.6824
262,0.6770
263,0.6779
264,0.6730
265,0.6856
266,0.6815
267,0.6788
268,0.6831
269,0.6578
270,0.6808
271,0.6646
272,0.6581
273,0.6633
274,0.6521
275,0.7395
276,0.6448
277,0.6382
