mini_batch_iteration,loss
0,0.7030
1,14.3230
2,2.5084
3,0.6799
4,0.6395
5,0.7586
6,0.6141
7,0.6729
8,0.6649
9,0.6801
10,0.6766
11,0.6802
12,0.6814
13,0.6723
14,0.6578
15,0.6499
16,0.6325
17,0.7217
18,0.7147
19,0.6800
20,0.6769
21,0.6785
22,0.6757
23,0.6720
24,0.6412
25,0.7115
26,0.6239
27,0.7222
28,0.6594
29,0.6714
30,0.6615
31,0.6745
32,0.6631
33,0.7171
34,0.6407
35,0.6495
36,0.6738
37,0.6692
38,0.6573
39,0.6387
40,0.6829
41,0.6516
42,0.6618
43,0.7278
44,0.6756
45,0.6686
46,0.6737
47,0.6281
48,0.6350
49,0.6537
50,0.7145
51,0.6980
52,0.6712
53,0.7184
54,0.6446
55,0.6308
56,0.7022
57,0.6582
58,0.6395
59,0.6947
60,0.6412
61,0.6720
62,0.6911
63,0.6805
64,0.6462
65,0.6333
66,0.6751
67,0.6607
68,0.6387
69,0.6780
70,0.6825
71,0.6460
72,0.7280
73,0.6288
74,0.6382
75,0.6616
76,0.6689
77,0.6256
78,0.6544
79,0.6597
80,0.6494
81,0.6671
82,0.6336
83,0.6231
84,0.6590
85,0.6449
86,0.5999
87,0.6774
88,0.6468
89,0.7038
90,0.6647
91,0.6641
92,0.6768
93,0.6208
94,0.6958
95,0.5963
96,0.6466
97,0.6462
98,0.6035
99,0.6620
100,0.7220
101,0.7000
102,0.6287
103,0.6490
104,0.6878
105,0.6448
106,0.7023
107,0.6546
108,0.6362
109,0.6516
110,0.6576
111,0.6430
112,0.6392
113,0.6351
114,0.7268
115,0.6588
116,0.6780
117,0.6670
118,0.6312
119,0.6341
120,0.7400
121,0.6273
122,0.6647
123,0.6420
124,0.6549
125,0.6826
126,0.5670
127,0.6442
128,0.6054
129,0.7037
130,0.6766
131,0.6487
132,0.6448
133,0.6758
134,0.6741
135,0.6482
136,0.6498
137,0.6511
138,0.6167
139,0.7272
140,0.6251
141,0.7129
142,0.6683
143,0.6645
144,0.6582
145,0.6701
146,0.6273
147,0.6012
148,0.6921
149,0.6060
150,0.6603
151,0.6390
152,0.6614
153,0.6261
154,0.6120
155,0.6128
156,0.6153
157,0.6768
158,0.6448
159,0.6474
160,0.6488
161,0.6370
162,0.6933
163,0.6169
164,0.6650
165,0.6307
166,0.5996
167,0.6627
168,0.6276
169,0.6370
170,0.6967
171,0.6421
172,0.6163
173,0.6096
174,0.7245
175,0.6995
176,0.6679
177,0.6643
178,0.6793
179,0.6698
180,0.6200
181,0.7147
182,0.6530
183,0.5987
184,0.7030
185,0.6789
186,0.6579
187,0.6540
188,0.6395
189,0.6589
190,0.6075
191,0.5791
192,0.6199
193,0.6555
194,0.6738
195,0.6852
196,0.6662
197,0.6553
198,0.6826
199,0.6467
200,0.6749
201,0.6421
202,0.6671
203,0.6468
204,0.6657
205,0.5840
206,0.6342
207,0.5432
208,0.6746
209,0.6087
210,0.6415
211,0.6553
212,0.6448
213,0.6690
214,0.6561
215,0.6608
216,0.6379
217,0.6298
218,0.7225
219,0.6441
220,0.6514
221,0.6685
222,0.6406
223,0.6899
224,0.5966
225,0.5894
226,0.6629
227,0.6587
228,0.6750
229,0.7098
230,0.6686
231,0.6156
232,0.8229
233,0.6873
234,0.6690
235,0.6722
236,0.6684
237,0.6387
238,0.6277
239,0.6386
240,0.6278
241,0.6242
242,0.6751
243,0.7141
244,0.6198
245,0.6884
246,0.6029
247,0.6337
248,0.6288
249,0.6688
250,0.6797
251,0.6299
252,0.6462
253,0.6386
254,0.6132
255,0.5990
256,0.7700
257,0.6545
258,0.6572
259,0.6483
260,0.6585
261,0.6349
262,0.6593
263,0.6389
264,0.6820
265,0.6488
266,0.6739
267,0.6449
268,0.6548
269,0.6722
270,0.6829
271,0.6299
272,0.6068
273,0.7062
274,0.6319
275,0.6718
276,0.6733
277,0.6589
278,0.6692
279,0.6102
280,0.7538
281,0.6863
282,0.6485
283,0.6623
284,0.6573
285,0.6498
286,0.6348
287,0.6075
288,0.6342
289,0.6480
290,0.6588
291,0.6484
292,0.6581
293,0.6181
294,0.6272
295,0.6810
296,0.6308
297,0.6160
298,0.6447
299,0.6523
300,0.6260
301,0.8867
302,0.5931
303,0.6503
304,0.6522
305,0.6489
306,0.6699
307,0.6352
308,0.6093
309,0.6154
310,0.6331
311,0.6545
312,0.6675
313,0.6304
314,0.6491
315,0.6133
316,0.6675
317,0.6132
318,0.7154
319,0.6421
320,0.6793
321,0.6585
322,0.6732
323,0.6419
324,0.6135
325,0.6578
326,0.7040
327,0.6353
328,0.6328
329,0.6481
330,0.5723
331,0.6573
332,0.6846
333,0.6631
334,0.6733
335,0.6824
336,0.6489
337,0.6482
338,0.6640
339,0.6774
340,0.6951
341,0.6304
342,0.6938
343,0.6078
344,0.6028
345,0.6775
346,0.5761
347,0.7089
348,0.6210
349,0.6196
350,0.6964
351,0.6364
352,0.6684
353,0.6639
354,0.6367
355,0.6693
356,0.5825
357,0.6500
358,0.6148
359,0.6447
360,0.7114
361,0.6369
362,0.6633
363,0.6763
364,0.6325
365,0.6304
366,0.6456
367,0.6238
368,0.5999
369,0.6470
370,0.6376
371,0.7088
372,0.6543
373,0.6787
374,0.6539
375,0.6462
376,0.6776
377,0.7075
378,0.5904
379,0.7671
380,0.6809
381,0.6713
382,0.6937
383,0.6718
384,0.6209
385,0.6707
386,0.6787
387,0.6707
388,0.6380
389,0.6659
390,0.6793
391,0.6594
392,0.6308
393,0.6501
394,0.6170
395,0.6356
396,0.6242
397,0.6702
398,0.6535
399,0.6538
400,0.6532
401,0.6451
402,0.6533
403,0.5364
404,0.8486
405,0.6625
406,0.6369
407,0.6650
408,0.6776
409,0.6090
410,0.6672
411,0.6322
412,0.6359
413,0.6126
414,0.6182
415,0.6834
416,0.6753
417,0.6422
418,0.6763
419,0.6436
420,0.6748
421,0.6420
422,0.6193
423,0.7303
424,0.6653
425,0.6543
426,0.6571
427,0.6471
428,0.6138
429,0.6610
430,0.6650
431,0.6747
432,0.7090
433,0.6074
434,0.6192
435,0.6943
436,0.6322
437,0.6294
438,0.7034
439,0.6185
440,0.6507
441,0.5965
442,0.6661
443,0.7094
444,0.6853
445,0.6237
446,0.5908
447,0.7475
448,0.6075
449,0.6128
450,0.6372
451,0.6062
452,0.6330
453,0.6182
454,0.7369
455,0.6490
456,0.6767
457,0.6674
458,0.6414
459,0.6096
460,0.5813
461,0.6564
462,0.6801
463,0.6851
464,0.6329
465,0.6135
466,0.7404
467,0.6293
468,0.6725
469,0.6397
470,0.6852
471,0.5965
472,0.6350
473,0.6337
474,0.6060
475,0.6484
476,0.6549
477,0.6912
478,0.6285
479,0.5845
480,0.7419
481,0.6401
482,0.6882
483,0.6559
484,0.6756
485,0.6416
486,0.6409
487,0.6557
488,0.6568
489,0.6691
490,0.6589
491,0.7166
492,0.6328
493,0.6545
494,0.6272
495,0.6592
496,0.6144
497,0.6195
498,0.6531
499,0.6491
500,0.7157
501,0.8323
502,0.6166
503,0.6789
504,0.6850
505,0.6712
506,0.6858
507,0.6505
508,0.6975
509,0.6064
510,0.6192
511,0.6162
512,0.6143
513,0.6523
514,0.6911
515,0.7214
516,0.6285
517,0.6076
518,0.6655
519,0.6761
520,0.7419
521,0.6843
522,0.6573
523,0.6203
524,0.6650
525,0.6005
526,0.6966
527,0.6508
528,0.6521
529,0.6332
530,0.6689
531,0.6810
532,0.6570
533,0.6452
534,0.6765
535,0.6088
536,0.6349
537,0.6208
538,0.6402
539,0.6804
540,0.6061
541,0.7584
542,0.6281
543,0.6173
544,0.7194
545,0.6463
546,0.7294
