mini_batch_iteration,loss
0,0.6996
1,1.1221
2,30.0656
3,14.7288
4,0.9323
5,1.6830
6,0.6509
7,1.2899
8,0.8687
9,0.8334
10,0.6761
11,0.7223
12,0.7409
13,0.6959
14,0.7036
15,0.7027
16,0.7070
17,0.6914
18,0.6871
19,0.6930
20,0.6735
21,0.6941
22,0.6696
23,0.6981
24,0.6643
25,0.7231
26,0.6735
27,0.6798
28,0.6788
29,0.6942
30,0.6713
31,0.6783
32,0.6616
33,0.6703
34,0.6644
35,0.6883
36,0.7049
37,0.6897
38,0.6427
39,0.6433
40,0.6739
41,0.7528
42,0.7204
43,0.6649
44,0.6803
45,0.6393
46,0.6653
47,0.6714
48,0.6956
49,0.6404
50,0.6706
51,0.6482
52,0.6554
53,0.6485
54,0.6580
55,0.6261
56,0.6839
57,0.6653
58,0.6467
59,0.6501
60,0.6791
61,0.6730
62,0.6701
63,0.6597
64,0.6537
65,0.6631
66,0.6702
67,0.6527
68,0.6535
69,0.6222
70,0.7061
71,0.6402
72,0.7241
73,0.6917
74,0.6728
75,0.6692
76,0.6820
77,0.6936
78,0.6806
79,0.6891
80,0.6789
81,0.6897
82,0.6596
83,0.6696
84,0.6727
85,0.6585
86,0.6948
87,0.6379
88,0.5754
89,0.6248
90,0.6330
91,0.5874
92,0.6381
93,0.6954
94,0.5788
95,0.6234
96,0.6249
97,0.6693
98,0.6187
99,0.6211
100,0.5551
101,0.5998
102,0.6008
103,0.6544
104,0.5877
105,0.5875
106,0.5989
107,0.6616
108,0.5949
109,0.6436
110,0.5983
111,0.6368
112,0.5420
113,0.6754
114,0.6551
115,0.6173
116,0.6053
117,0.6236
118,0.6025
119,0.6403
120,0.6258
121,0.5803
122,0.6888
123,0.6200
124,0.5712
125,0.6176
126,0.6832
127,0.5998
128,0.6173
129,0.6788
130,0.6388
131,0.6011
132,0.5888
133,0.6428
134,0.6191
135,0.6049
136,0.6199
137,0.5993
138,0.5633
139,0.6569
140,0.5856
141,0.6164
142,0.5745
143,0.6538
144,0.6337
145,0.6784
146,0.6023
147,0.6807
148,0.6071
149,0.6315
150,0.6504
151,0.6277
152,0.5983
153,0.6517
154,0.5999
155,0.5923
156,0.6423
157,0.6454
158,0.6454
159,0.6280
160,0.6451
161,0.6392
162,0.6010
163,0.6047
164,0.6973
165,0.5473
166,0.7043
167,0.5996
168,0.5805
169,0.5825
170,0.6545
171,0.6400
172,0.6329
173,0.6236
174,0.6430
175,0.5859
176,0.5848
177,0.6297
178,0.6602
179,0.6177
180,0.6004
181,0.6636
182,0.5702
183,0.5961
184,0.6396
185,0.6444
186,0.6058
187,0.5901
188,0.6815
189,0.6802
190,0.6796
191,0.5837
192,0.6191
193,0.6233
194,0.6330
195,0.6374
196,0.6073
197,0.6628
198,0.6214
199,0.6511
200,0.6850
201,0.7725
202,0.5970
203,0.6070
204,0.5911
205,0.6051
206,0.6162
207,0.5787
208,0.6821
209,0.5706
210,0.6084
211,0.5675
212,0.6357
213,0.5543
214,0.6278
215,0.6017
216,0.6381
217,0.6161
218,0.6488
219,0.6087
220,0.5743
221,0.5615
222,0.5439
223,0.5715
224,0.5475
225,0.5561
226,0.5710
227,0.6298
228,0.5789
229,0.6195
230,0.5945
231,0.5919
232,0.5375
233,0.5980
234,0.6609
235,0.6655
236,0.5823
237,0.6602
238,0.5983
239,0.6330
240,0.6043
241,0.5749
242,0.6072
243,0.5690
