mini_batch_iteration,loss
0,0.6878
1,1.0007
2,1.4265
3,0.7924
4,0.7166
5,0.7648
6,0.6766
7,0.6812
8,0.6752
9,0.6755
10,0.6838
11,0.6803
12,0.6738
13,0.6941
14,0.6402
15,0.6280
16,0.6591
17,0.6082
18,0.6615
19,0.6129
20,0.7683
21,0.7100
22,0.6694
23,0.6856
24,0.7051
25,0.6866
26,0.6540
27,0.6911
28,0.6532
29,0.7045
30,0.6434
31,0.6911
32,0.6966
33,0.6721
34,0.6597
35,0.6725
36,0.6802
37,0.6981
38,0.6823
39,0.6585
40,0.6559
41,0.6719
42,0.6582
43,0.6169
44,0.6173
45,0.7571
46,0.6487
47,0.6799
48,0.6333
49,0.6493
50,0.6809
51,0.6798
52,0.6571
53,0.6612
54,0.6719
55,0.5838
56,0.7234
57,0.6299
58,0.6563
59,0.5909
60,0.6135
61,0.6465
62,0.6358
63,0.6271
64,0.6367
65,0.6034
66,0.6483
67,0.6394
68,0.6600
69,0.6471
70,0.6694
71,0.6723
72,0.6803
73,0.6936
74,0.6008
75,0.5813
76,0.5677
77,0.6571
78,0.6943
79,0.5994
80,0.5633
81,0.6297
82,0.6174
83,0.6029
84,0.6919
85,0.6239
86,0.6838
87,0.6228
88,0.5862
89,0.6151
90,0.6317
91,0.5907
92,0.6729
93,0.6234
94,0.5736
95,0.6027
96,0.5856
97,0.6061
98,0.6383
99,0.6486
100,0.7069
101,0.5747
102,0.6151
103,0.6277
104,0.5846
105,0.5655
106,0.6065
107,0.6147
108,0.5740
109,0.6281
110,0.5766
111,0.5462
112,0.5493
113,0.6421
114,0.5637
115,0.5922
116,0.5494
117,0.5953
118,0.5658
119,0.7025
120,0.6211
121,0.5389
122,0.5846
123,0.5740
124,0.6566
125,0.6283
126,0.6319
127,0.6039
128,0.6291
129,0.5816
130,0.5983
131,0.5968
132,0.6489
133,0.6132
134,0.6781
135,0.6389
136,0.6410
137,0.5843
138,0.5673
139,0.6208
140,0.6134
141,0.5865
142,0.6142
143,0.6236
144,0.6125
145,0.5887
146,0.5682
147,0.5971
148,0.6686
149,0.6031
150,0.5344
151,0.5375
152,0.5274
153,0.5847
154,0.6127
155,0.6724
156,0.5699
157,0.6109
158,0.6871
159,0.6085
160,0.5628
161,0.5918
162,0.5103
163,0.6074
164,0.6192
165,0.6056
166,0.5791
167,0.5802
168,0.5635
169,0.6061
170,0.5956
171,0.5632
172,0.6728
173,0.5618
174,0.6020
175,0.5712
176,0.5767
177,0.5531
178,0.5587
179,0.6341
180,0.6878
181,0.6227
182,0.5691
183,0.6352
184,0.6178
185,0.5889
186,0.6172
187,0.5901
188,0.5523
189,0.5595
190,0.7409
191,0.5620
192,0.5975
193,0.5827
194,0.6240
195,0.6582
196,0.5321
197,0.6168
198,0.6997
199,0.5114
200,0.5242
201,0.5921
202,0.5461
203,0.5390
204,0.5525
205,0.5941
206,0.5358
207,0.6205
208,0.5861
209,0.5556
210,0.6181
211,0.5658
212,0.5051
213,0.5415
214,0.5640
215,0.5473
216,0.5974
217,0.4976
218,0.5727
219,0.5706
220,0.5061
221,0.5862
222,0.6476
223,0.7437
224,0.6286
225,0.5879
226,0.6500
227,0.6625
228,0.6027
229,0.6010
230,0.6243
231,0.4915
232,0.5760
233,0.5839
234,0.5426
235,0.5209
236,0.5806
237,0.5801
238,0.5493
239,0.5973
240,0.5729
241,0.6194
242,0.5455
243,0.5218
244,0.5305
245,0.5218
246,0.5936
247,0.5745
248,0.6192
249,0.5277
250,0.5464
251,0.6056
252,0.6139
253,0.5962
254,0.5380
255,0.5438
256,0.5685
257,0.6174
258,0.5650
259,0.5441
260,0.5018
261,0.5984
262,0.5396
263,0.5885
264,0.5732
265,0.5948
266,0.5595
267,0.5978
268,0.5941
269,0.5490
270,0.6463
271,0.6273
272,0.5847
273,0.5622
274,0.5387
275,0.6162
276,0.6289
277,0.6189
278,0.6125
279,0.5666
280,0.5618
281,0.5373
282,0.6217
283,0.5455
284,0.5563
285,0.5886
286,0.6101
287,0.5754
288,0.5918
289,0.5817
290,0.5417
291,0.5142
292,0.5500
293,0.5846
294,0.5935
295,0.5972
296,0.5725
297,0.5814
298,0.7083
299,0.5384
300,0.6352
301,0.6666
302,0.6352
303,0.5590
304,0.5790
305,0.5510
306,0.5702
307,0.5411
308,0.5626
309,0.5471
310,0.5963
311,0.6319
312,0.5906
313,0.5553
314,0.5625
315,0.5321
316,0.5746
317,0.5563
318,0.5491
319,0.6032
320,0.5938
321,0.5777
322,0.6574
323,0.5725
324,0.6282
325,0.5766
326,0.5636
327,0.4888
328,0.4950
329,0.5559
330,0.5627
331,0.7118
332,0.5147
333,0.5386
334,0.5874
335,0.5841
336,0.5384
337,0.6105
338,0.4731
339,0.4915
340,0.6587
341,0.6978
342,0.5565
343,0.5155
344,0.5111
345,0.5433
346,0.5471
347,0.4903
348,0.5606
349,0.6132
350,0.5328
351,0.4983
