mini_batch_iteration,loss
0,0.7136
1,0.6502
2,0.6912
3,0.7102
4,0.6621
5,0.8559
6,0.7233
7,0.7241
8,0.7600
9,0.6589
10,0.7445
11,0.5771
12,0.6818
13,0.6443
14,0.6727
15,0.7073
16,0.6774
17,0.6891
18,0.6639
19,0.6609
20,0.6920
21,0.6852
22,0.7109
23,0.6343
24,0.6850
25,0.5938
26,0.8068
27,0.6397
28,0.6496
29,0.6763
30,0.6673
31,0.6446
32,0.6058
33,0.7452
34,0.7788
35,0.6978
36,0.6812
37,0.6615
38,0.6950
39,0.6988
40,0.6401
41,0.6542
42,0.6410
43,0.6725
44,0.6633
45,0.6132
46,0.6064
47,0.6526
48,0.6597
49,0.6310
50,0.6456
51,0.6067
52,0.6399
53,0.6914
54,0.6433
55,0.5862
56,0.6180
57,0.6571
58,0.6411
59,0.6617
60,0.6185
61,0.5964
62,0.7070
63,0.6073
64,0.6090
65,0.5944
66,0.5834
67,0.6339
68,0.6113
69,0.6036
70,0.6244
71,0.6885
72,0.6131
73,0.6802
74,0.6451
75,0.6002
76,0.6234
77,0.6105
78,0.6177
79,0.6060
80,0.5915
81,0.6325
82,0.5530
83,0.6248
84,0.6325
85,0.6527
86,0.6647
87,0.6188
88,0.6739
89,0.6168
90,0.5679
91,0.6298
92,0.6370
93,0.6582
94,0.6754
95,0.6350
96,0.7368
97,0.7434
98,0.6262
99,0.5733
100,0.7091
101,0.7130
102,0.6411
103,0.6122
104,0.6229
105,0.6058
106,0.6175
107,0.6357
108,0.6110
109,0.6166
110,0.6082
111,0.6073
112,0.6454
113,0.6090
114,0.5721
115,0.6247
116,0.6032
117,0.6916
118,0.5970
119,0.6633
120,0.5974
121,0.6248
122,0.5602
123,0.6975
124,0.6298
125,0.6392
126,0.6393
127,0.5537
128,0.6573
129,0.5993
130,0.5944
131,0.5514
132,0.6270
133,0.6188
134,0.6349
135,0.5872
136,0.5566
137,0.6113
138,0.5979
139,0.6522
140,0.6248
141,0.5721
142,0.5571
143,0.6084
144,0.6457
145,0.6426
146,0.6404
147,0.5637
148,0.5920
149,0.6415
150,0.5868
151,0.6210
152,0.5406
153,0.5639
154,0.6297
155,0.6590
156,0.5481
157,0.5893
158,0.6496
159,0.6204
160,0.6431
161,0.5904
162,0.5914
163,0.6321
164,0.6039
165,0.5672
166,0.6685
167,0.6122
168,0.5913
169,0.5634
170,0.5580
171,0.5713
172,0.6108
173,0.5616
174,0.6025
175,0.5884
176,0.6479
177,0.5710
178,0.5919
179,0.6259
180,0.5724
181,0.6943
182,0.6239
183,0.6709
184,0.6274
185,0.5780
186,0.5261
187,0.6591
188,0.5750
189,0.6798
190,0.5883
191,0.5887
192,0.6518
193,0.6251
194,0.6026
195,0.6111
196,0.6040
197,0.6214
198,0.5784
199,0.5364
200,0.6691
201,0.6165
202,0.5424
203,0.6406
204,0.6033
205,0.5797
206,0.6852
207,0.6222
208,0.6070
209,0.5896
210,0.6012
211,0.5759
212,0.6198
213,0.6156
214,0.6491
215,0.6044
216,0.6504
217,0.5805
218,0.5487
219,0.5899
220,0.5696
221,0.5880
222,0.5367
223,0.6111
224,0.6195
225,0.5538
226,0.5518
227,0.6489
228,0.5581
229,0.6624
230,0.4925
231,0.5746
232,0.6550
233,0.5414
234,0.6056
235,0.5293
236,0.6373
237,0.6091
238,0.5426
239,0.5787
240,0.5326
241,0.5307
242,0.5849
243,0.6502
244,0.5082
245,0.5822
246,0.5420
247,0.5732
248,0.5439
249,0.6502
250,0.5970
251,0.5933
252,0.6356
253,0.6378
254,0.6311
255,0.6259
256,0.5870
257,0.6012
258,0.5665
259,0.6111
260,0.6052
261,0.6088
262,0.5988
263,0.6278
264,0.6365
265,0.5807
266,0.6197
267,0.5940
268,0.5649
269,0.5850
270,0.6257
271,0.6149
272,0.5898
273,0.5629
274,0.6398
275,0.6026
276,0.5218
277,0.5351
278,0.5848
279,0.5263
280,0.5351
281,0.6204
282,0.5372
283,0.5693
284,0.5897
285,0.5636
286,0.6208
287,0.4865
288,0.6516
289,0.6281
290,0.5462
291,0.5418
292,0.6162
293,0.5948
294,0.5793
295,0.5445
296,0.5727
297,0.6714
298,0.5560
299,0.5874
300,0.5747
301,0.5872
302,0.5629
303,0.4778
304,0.4970
305,0.5753
306,0.5434
307,0.4494
308,0.6491
309,0.6419
310,0.5789
311,0.6783
312,0.5990
313,0.6159
314,0.5218
315,0.5489
316,0.6583
317,0.6185
318,0.5215
319,0.5976
320,0.5542
321,0.5010
322,0.6020
323,0.5686
324,0.6005
325,0.5209
326,0.5426
327,0.5916
328,0.5390
329,0.5706
330,0.5689
331,0.5987
332,0.5965
333,0.4699
334,0.5523
335,0.5763
336,0.5799
337,0.6119
338,0.5059
339,0.5204
340,0.5811
341,0.5508
342,0.5013
343,0.6189
344,0.5167
345,0.6062
346,0.5254
347,0.5685
348,0.5556
349,0.5449
350,0.4597
351,0.6414
352,0.4776
353,0.5115
354,0.6212
355,0.5532
356,0.6467
357,0.5663
358,0.6007
359,0.4727
360,0.5858
361,0.5627
362,0.5701
363,0.5463
364,0.5989
365,0.6273
366,0.6181
367,0.5586
368,0.5943
369,0.5370
370,0.6283
371,0.6044
372,0.5352
373,0.5103
374,0.5868
375,0.5994
376,0.5975
377,0.5542
378,0.5910
379,0.5636
380,0.5852
381,0.6562
382,0.5647
383,0.5873
384,0.5775
385,0.6734
386,0.5645
387,0.5468
388,0.5849
389,0.6827
390,0.5350
391,0.5844
392,0.5723
393,0.5860
394,0.5471
395,0.5234
396,0.5880
397,0.5532
398,0.6157
399,0.5664
400,0.5530
401,0.6199
402,0.5534
403,0.6888
404,0.5865
405,0.5970
406,0.6019
407,0.5008
408,0.6282
409,0.6098
410,0.6127
411,0.5810
412,0.5461
413,0.6013
414,0.6300
415,0.5231
416,0.5849
417,0.6424
418,0.5994
419,0.5092
