mini_batch_iteration,loss
0,0.7133
1,0.7580
2,0.8282
3,0.5185
4,0.4721
5,0.5832
6,0.8749
7,0.2868
8,0.2562
9,0.6017
10,0.6749
11,0.3807
12,0.2795
13,0.3907
14,0.5535
15,0.4929
16,0.6236
17,0.3015
18,0.3250
19,0.4020
20,0.4668
21,0.8961
22,0.5275
23,0.2426
24,0.5087
25,0.7279
26,0.3281
27,0.2638
28,0.5756
29,0.1865
30,0.3135
31,0.4861
32,0.3221
33,0.2762
34,0.2917
35,0.1701
36,0.3239
37,0.4167
38,0.7355
39,0.7027
40,0.3997
41,0.2549
42,0.2967
43,0.5228
44,0.5046
45,0.2087
46,0.4534
47,0.2834
48,0.2737
49,0.8098
50,0.3535
51,0.3915
52,0.2475
53,0.1642
54,0.6562
55,0.1968
56,0.1712
57,0.2993
58,0.3663
59,0.8461
60,0.2099
61,0.7907
62,0.4555
63,0.5979
64,0.2069
65,0.3038
66,0.2763
67,0.2313
68,0.2788
69,0.2886
70,0.4680
71,0.2028
72,0.4614
73,0.4147
74,0.3122
75,0.4339
76,0.3674
77,0.6610
78,0.2263
79,0.1807
80,0.2550
81,0.0931
82,0.5228
83,0.4643
84,0.3568
85,0.1533
86,0.3270
87,0.3903
88,0.1682
89,0.9187
90,0.2725
91,0.2893
92,0.3287
93,0.2352
94,0.7712
95,0.3083
96,0.2045
97,0.3048
98,0.3538
99,0.1455
100,0.2283
101,0.2914
102,0.3262
103,0.4148
104,1.2311
105,0.2217
106,0.3828
107,0.2718
108,0.4700
109,0.2853
110,0.4058
111,0.2923
112,0.4852
113,0.3755
114,0.1763
115,0.1776
116,0.2674
117,0.5239
118,0.2437
119,0.3053
120,0.3978
121,0.2397
122,0.3365
123,0.4153
124,0.3940
125,0.1058
126,0.1662
127,0.1693
128,0.6256
129,0.3206
130,0.0999
131,0.4293
132,0.2024
133,0.3311
134,0.4621
135,0.3632
136,0.1841
137,0.4945
138,0.4923
139,0.2751
140,0.6251
141,0.3856
142,0.2190
143,0.7690
144,0.5197
145,0.2887
146,0.3386
147,0.3328
148,0.3557
149,0.3634
150,0.3067
151,0.2192
152,0.2846
153,0.5266
154,0.3416
155,0.4026
156,0.3827
157,0.5178
158,0.2303
159,0.7200
160,0.3424
161,0.2362
162,0.1197
163,0.5532
164,0.4904
165,0.3334
166,0.2343
167,0.2315
168,0.2943
169,0.2077
170,0.1900
171,0.3768
172,0.2495
173,0.3851
174,0.4584
175,0.4850
176,0.5012
177,0.4358
178,0.1960
179,0.2487
180,0.2639
181,0.6762
182,0.2802
183,0.2562
184,1.0622
185,0.4181
186,0.2865
187,0.2527
188,0.3298
189,0.2851
190,0.3185
191,0.6918
192,0.3125
193,0.4152
194,0.2135
195,0.4753
196,0.3184
197,0.2867
198,0.4286
199,0.2336
200,0.4961
201,0.3486
202,0.6017
203,0.2669
204,0.3856
205,0.4958
206,0.3025
207,0.3203
208,0.3118
209,0.5864
210,0.2109
211,0.5302
212,0.2955
213,0.2612
214,0.3707
215,0.2819
216,0.3621
217,0.4509
218,0.1570
219,0.1463
220,0.3986
221,0.3229
222,0.2625
223,0.3229
224,0.3702
225,0.2685
226,0.7983
227,0.3256
228,0.4137
229,0.3811
230,0.6487
231,0.3276
232,0.2864
233,0.3099
234,0.1957
235,0.2057
236,0.3892
237,0.5755
238,0.1783
239,0.2698
240,0.8899
241,0.3007
