mini_batch_iteration,loss
0,0.7064
1,0.7921
2,0.8052
3,0.6380
4,0.5791
5,0.6201
6,0.4865
7,0.4863
8,0.5475
9,0.4373
10,0.4302
11,0.6927
12,0.3984
13,0.3627
14,0.3654
15,0.4418
16,0.2479
17,0.3242
18,0.4466
19,0.5343
20,0.3175
21,0.3187
22,0.4065
23,0.3934
24,0.3749
25,0.3842
26,0.3883
27,0.3112
28,0.2996
29,0.3786
30,0.2672
31,0.4753
32,0.4304
33,0.3472
34,0.2715
35,0.3733
36,0.3873
37,0.3509
38,0.2360
39,0.3103
40,0.2847
41,0.3201
42,0.4923
43,0.4438
44,0.3773
45,0.3899
46,0.3169
47,0.2913
48,0.2916
49,0.2273
50,0.2849
51,0.2893
52,0.3121
53,0.2885
54,0.3635
55,0.2820
56,0.2800
57,0.3405
58,0.3529
59,0.3331
60,0.3390
61,0.2798
62,0.3135
63,0.4137
64,0.3160
65,0.3577
66,0.4114
67,0.3011
68,0.3390
69,0.3486
70,0.3790
71,0.3161
72,0.3683
73,0.4092
74,0.2855
75,0.3019
76,0.4462
77,0.3462
78,0.4682
79,0.3296
80,0.3290
81,0.3467
82,0.3035
83,0.3094
84,0.3272
85,0.3497
86,0.3464
87,0.2432
88,0.2856
89,0.3129
90,0.2652
91,0.2971
92,0.3498
93,0.3797
94,0.3885
95,0.2793
96,0.2785
97,0.4436
98,0.2204
99,0.2842
100,0.3540
101,0.2857
102,0.3022
103,0.4197
104,0.2864
105,0.2478
106,0.3806
107,0.3632
108,0.3852
109,0.2622
110,0.2097
111,0.2786
112,0.2979
113,0.3420
114,0.3147
115,0.3723
116,0.3302
117,0.3354
118,0.2992
119,0.3349
120,0.3515
121,0.3118
122,0.2337
123,0.2877
124,0.2796
125,0.3809
126,0.3948
127,0.3026
128,0.2788
129,0.3083
130,0.3660
131,0.3768
132,0.3202
133,0.3426
134,0.2958
135,0.3121
136,0.2958
137,0.4340
138,0.2982
139,0.3747
140,0.2044
141,0.3095
142,0.2341
143,0.4441
144,0.3511
145,0.3506
146,0.5193
147,0.3002
148,0.2973
149,0.3412
150,0.2896
151,0.2700
152,0.2443
153,0.2538
154,0.2290
155,0.2529
156,0.2225
157,0.3120
158,0.3054
159,0.3998
160,0.2236
161,0.3468
162,0.3320
163,0.3736
164,0.2914
165,0.3338
166,0.2647
167,0.3701
168,0.3408
169,0.2661
170,0.2382
171,0.3103
172,0.3352
173,0.4641
174,0.3123
175,0.3008
176,0.2368
177,0.3522
178,0.4675
179,0.3351
180,0.1855
181,0.2638
182,0.2670
183,0.2720
184,0.2151
185,0.2363
186,0.3116
187,0.3015
188,0.3925
189,0.3340
190,0.2783
191,0.2189
192,0.2582
193,0.2821
194,0.3066
195,0.3167
196,0.2904
197,0.2820
198,0.2990
199,0.2285
200,0.2747
201,0.3068
202,0.3849
203,0.2594
204,0.3822
205,0.3259
206,0.3103
207,0.2397
208,0.2673
209,0.3221
210,0.3029
211,0.3971
212,0.2667
213,0.2848
214,0.3720
215,0.2736
216,0.2196
217,0.4007
218,0.3187
219,0.2872
220,0.2501
221,0.2779
222,0.3164
223,0.2659
224,0.3386
225,0.2241
226,0.3137
227,0.2478
228,0.2931
229,0.3271
230,0.2238
231,0.2174
232,0.3568
233,0.2771
234,0.2430
235,0.2447
236,0.3713
237,0.2262
238,0.3095
239,0.3268
240,0.3832
241,0.2976
242,0.2741
243,0.2370
244,0.2887
245,0.2819
246,0.2207
247,0.2374
248,0.2830
249,0.1978
250,0.2794
251,0.2405
252,0.2751
253,0.1792
254,0.2248
255,0.3344
256,0.2858
257,0.3356
258,0.3201
259,0.2680
260,0.2833
261,0.3136
262,0.2750
263,0.3930
264,0.2583
265,0.2474
266,0.4032
267,0.2883
268,0.2809
269,0.2269
270,0.3147
271,0.3770
272,0.1889
273,0.3114
274,0.2148
275,0.3798
276,0.2751
277,0.3804
278,0.1954
279,0.2889
280,0.2735
281,0.2712
282,0.2991
283,0.3385
284,0.4277
285,0.2343
286,0.3369
287,0.2675
288,0.3005
289,0.2766
290,0.2873
291,0.2993
292,0.3728
293,0.3290
294,0.3981
295,0.2488
296,0.3203
297,0.3124
298,0.2002
299,0.3699
300,0.3763
301,0.3129
302,0.1850
303,0.4624
304,0.2927
305,0.2533
306,0.2386
307,0.1951
308,0.2893
309,0.2850
310,0.2945
311,0.2724
312,0.2148
313,0.2518
314,0.4271
315,0.1660
316,0.2949
317,0.2119
318,0.2534
319,0.3628
320,0.2033
