mini_batch_iteration,loss
0,0.6883
1,0.6168
2,2.0078
3,1.7797
4,1.3088
5,0.6737
6,0.6738
7,0.6967
8,0.8673
9,0.7706
10,0.6828
11,0.6921
12,0.7003
13,0.6829
14,0.6910
15,0.6919
16,0.6924
17,0.6931
18,0.6904
19,0.6917
20,0.6912
21,0.6880
22,0.6860
23,0.6865
24,0.6838
25,0.6914
26,0.6911
27,0.6848
28,0.6670
29,0.6701
30,0.6829
31,0.7166
32,0.6665
33,0.6617
34,0.6656
35,0.6763
36,0.7184
37,0.6807
38,0.6877
39,0.6619
40,0.6846
41,0.6804
42,0.6817
43,0.6861
44,0.6812
45,0.6717
46,0.6613
47,0.6694
48,0.6647
49,0.6821
50,0.6826
51,0.6802
52,0.7139
53,0.6922
54,0.6591
55,0.6492
56,0.6620
57,0.6868
58,0.6693
59,0.6747
60,0.7028
61,0.6804
62,0.6684
63,0.6792
64,0.6569
65,0.6688
66,0.6667
67,0.6601
68,0.6608
69,0.6665
70,0.6855
71,0.6696
72,0.7220
73,0.6717
74,0.6359
75,0.6554
76,0.6668
77,0.6738
78,0.6869
79,0.6494
80,0.6699
81,0.6723
82,0.6825
83,0.6732
84,0.6588
85,0.6805
86,0.6679
87,0.6596
88,0.6782
89,0.6504
90,0.6365
91,0.6719
92,0.6309
93,0.7395
94,0.6415
95,0.6403
96,0.6706
97,0.6387
98,0.7142
99,0.6802
100,0.6438
101,0.6495
102,0.6723
103,0.6933
104,0.6690
105,0.6510
106,0.6664
107,0.6711
108,0.6676
109,0.6639
110,0.6485
111,0.6645
112,0.6557
113,0.6526
114,0.6422
115,0.6716
116,0.7075
117,0.6434
118,0.6241
119,0.6475
120,0.6567
121,0.6139
122,0.6545
123,0.6772
124,0.6287
125,0.6631
126,0.6681
127,0.6478
128,0.6865
129,0.6396
130,0.6603
131,0.6482
132,0.6494
133,0.6913
134,0.6817
135,0.6522
136,0.6922
137,0.6096
138,0.5906
139,0.6638
140,0.6727
141,0.6767
142,0.6490
143,0.6750
144,0.6219
145,0.6653
146,0.6679
147,0.6942
148,0.6569
149,0.6535
150,0.6356
151,0.6914
152,0.6570
153,0.6473
154,0.6576
155,0.5980
156,0.6533
157,0.5931
158,0.6165
159,0.6685
160,0.6486
161,0.6739
162,0.6903
163,0.6303
164,0.5965
165,0.6346
166,0.6253
167,0.6610
168,0.6108
169,0.5820
170,0.6418
171,0.6600
172,0.6267
173,0.6561
174,0.7142
175,0.7203
176,0.6363
177,0.6628
178,0.6723
179,0.6597
180,0.6550
181,0.6720
182,0.6657
183,0.6519
184,0.6669
185,0.6594
186,0.6341
187,0.7128
188,0.6208
189,0.6909
190,0.6507
191,0.6787
192,0.6457
193,0.6527
194,0.6412
195,0.6776
196,0.6396
197,0.6359
198,0.6583
199,0.6184
200,0.6491
201,0.5233
202,0.6892
203,0.6140
204,0.6901
205,0.6555
206,0.6490
207,0.7085
208,0.6748
209,0.6550
210,0.6693
211,0.6776
212,0.7041
213,0.6562
214,0.6446
215,0.6591
216,0.6747
217,0.6754
218,0.6665
219,0.6582
220,0.6619
221,0.6604
222,0.6342
223,0.6482
224,0.6123
225,0.6486
226,0.6528
227,0.6235
228,0.6276
229,0.6265
230,0.6714
231,0.6841
232,0.6157
233,0.6968
234,0.6231
235,0.5872
236,0.6533
