mini_batch_iteration,loss
0,0.6960
1,0.7159
2,1.2974
3,2.5852
4,1.3589
5,0.6747
6,0.6884
7,0.7311
8,0.7118
9,0.7304
10,0.7140
11,0.7014
12,0.6895
13,0.6900
14,0.6978
15,0.6922
16,0.6768
17,0.6716
18,0.7016
19,0.6663
20,0.7019
21,0.6871
22,0.6727
23,0.6685
24,0.6918
25,0.7055
26,0.6970
27,0.6805
28,0.6723
29,0.6719
30,0.6935
31,0.6690
32,0.6924
33,0.6691
34,0.6865
35,0.6774
36,0.6631
37,0.6868
38,0.6554
39,0.6946
40,0.6793
41,0.6841
42,0.7104
43,0.6724
44,0.6663
45,0.6952
46,0.6843
47,0.6838
48,0.6815
49,0.6855
50,0.6912
51,0.6622
52,0.6840
53,0.6645
54,0.6598
55,0.6833
56,0.7091
57,0.6408
58,0.6827
59,0.6238
60,0.6952
61,0.6694
62,0.6506
63,0.7107
64,0.6434
65,0.6596
66,0.6743
67,0.7163
68,0.6674
69,0.6805
70,0.6671
71,0.6670
72,0.6872
73,0.6620
74,0.6724
75,0.7036
76,0.6739
77,0.6084
78,0.6776
79,0.6398
80,0.6825
81,0.6689
82,0.6180
83,0.6677
84,0.6207
85,0.6442
86,0.6555
87,0.6507
88,0.6564
89,0.6593
90,0.6511
91,0.6708
92,0.6765
93,0.6677
94,0.6817
95,0.6447
96,0.6342
97,0.6534
98,0.6672
99,0.6509
100,0.6563
101,0.6269
102,0.6443
103,0.6031
104,0.6211
105,0.5988
106,0.6195
107,0.6391
108,0.7172
109,0.6566
110,0.6580
111,0.6450
112,0.6524
113,0.6280
114,0.6283
115,0.6274
116,0.6443
117,0.6638
118,0.6358
119,0.7131
120,0.6629
121,0.6547
122,0.6670
123,0.7010
124,0.6350
125,0.6587
126,0.6778
127,0.6423
128,0.6426
129,0.6571
130,0.7142
131,0.6710
132,0.6454
133,0.6473
134,0.6798
135,0.6776
136,0.6628
137,0.6629
138,0.6353
139,0.6620
140,0.6676
141,0.6487
142,0.7149
143,0.6257
144,0.6566
145,0.6389
146,0.5987
147,0.7053
148,0.6360
149,0.6506
150,0.6607
151,0.6484
152,0.6607
153,0.6184
154,0.6665
155,0.6784
156,0.6395
157,0.6596
158,0.6648
159,0.6266
160,0.6310
161,0.6554
162,0.6435
163,0.6557
164,0.6603
165,0.6526
166,0.7048
167,0.6933
168,0.6527
169,0.6559
170,0.6877
171,0.6413
172,0.6909
173,0.6326
174,0.6298
175,0.6545
176,0.6437
177,0.6432
178,0.6533
179,0.6805
180,0.6163
181,0.6753
182,0.5884
183,0.5731
184,0.6435
185,0.6424
186,0.6018
187,0.5284
188,0.6705
189,0.6467
190,0.7008
191,0.6441
192,0.6288
193,0.6387
194,0.6491
195,0.6375
196,0.6694
197,0.7239
198,0.6671
199,0.6530
200,0.6282
201,0.6255
202,0.6449
203,0.6733
204,0.6220
205,0.6646
206,0.6240
207,0.6342
208,0.6276
209,0.6531
210,0.7021
211,0.6627
212,0.6031
213,0.6287
214,0.6874
215,0.6431
216,0.6157
217,0.7096
218,0.6328
219,0.6638
220,0.6188
221,0.6340
222,0.6091
223,0.6092
224,0.6909
225,0.6902
226,0.5919
227,0.6788
228,0.6556
229,0.6630
230,0.6650
231,0.5896
232,0.6654
233,0.6502
234,0.6421
235,0.7136
236,0.6776
237,0.6590
238,0.6391
239,0.6426
240,0.6575
241,0.6258
242,0.6663
243,0.6345
244,0.6327
245,0.6069
246,0.5827
247,0.6257
248,0.6525
249,0.6696
250,0.6216
251,0.5871
252,0.6668
253,0.6433
254,0.6747
255,0.6427
256,0.6501
257,0.6948
258,0.6410
259,0.6703
260,0.6695
261,0.6618
262,0.6412
263,0.6614
264,0.6383
265,0.6571
266,0.6478
267,0.6335
268,0.7130
269,0.6445
270,0.6100
271,0.6112
272,0.6595
273,0.6102
274,0.6357
275,0.6694
276,0.6327
277,0.6974
278,0.5893
279,0.6161
280,0.6460
281,0.5830
282,0.6455
283,0.7026
284,0.5904
285,0.7274
286,0.6364
287,0.6423
288,0.6510
289,0.6445
290,0.6583
291,0.6707
292,0.6974
293,0.6234
294,0.6160
295,0.6431
296,0.6650
297,0.6323
298,0.6379
299,0.5990
300,0.5951
301,0.6212
302,0.6387
303,0.6942
304,0.6043
305,0.6153
306,0.6626
307,0.6097
308,0.6918
309,0.6450
310,0.6537
311,0.6612
312,0.6492
313,0.6124
314,0.6515
315,0.6577
316,0.6220
317,0.5901
318,0.6591
319,0.6508
320,0.6829
321,0.6584
322,0.6003
323,0.6152
324,0.6493
325,0.6645
326,0.6254
327,0.6337
328,0.6067
329,0.6466
330,0.5706
331,0.6418
332,0.6456
333,0.6578
334,0.5883
335,0.5648
336,0.6156
337,0.6181
338,0.7161
339,0.6745
340,0.6589
341,0.6571
342,0.6441
343,0.6684
344,0.6813
345,0.6217
346,0.6507
347,0.6177
348,0.6400
349,0.6286
350,0.6241
351,0.6482
352,0.6242
353,0.6431
354,0.6405
355,0.5832
356,0.6670
357,0.6196
358,0.6664
359,0.6114
360,0.6598
361,0.6456
362,0.6699
363,0.6728
364,0.6171
365,0.5870
366,0.6715
367,0.6171
368,0.6317
369,0.7004
370,0.7071
371,0.6792
372,0.5774
373,0.6144
374,0.6112
375,0.6645
376,0.6508
377,0.6144
378,0.6770
379,0.6303
380,0.5856
381,0.6588
382,0.6184
383,0.6258
384,0.6521
385,0.6687
386,0.6819
387,0.6119
388,0.6709
389,0.5771
390,0.6233
391,0.7088
392,0.5830
393,0.6668
394,0.6341
395,0.6167
396,0.6733
397,0.6124
398,0.5818
399,0.6276
400,0.6344
401,0.6231
402,0.6616
403,0.6380
404,0.6756
405,0.6532
406,0.6173
407,0.6482
408,0.6431
409,0.6093
410,0.6600
411,0.6356
412,0.5830
413,0.5558
414,0.6660
415,0.6395
416,0.6952
417,0.6022
418,0.6269
419,0.6379
420,0.6189
421,0.5890
422,0.6272
423,0.6101
424,0.6414
425,0.6256
426,0.6579
427,0.6516
428,0.6199
429,0.6102
430,0.6023
431,0.6752
432,0.6192
433,0.5765
434,0.6816
435,0.6463
436,0.6554
437,0.6073
438,0.5700
439,0.6162
440,0.6124
441,0.6840
442,0.6103
443,0.6295
444,0.6068
445,0.6765
446,0.6478
447,0.6690
448,0.6377
449,0.6732
450,0.6317
451,0.6620
452,0.6237
453,0.7387
454,0.6553
455,0.6267
456,0.6161
457,0.6062
458,0.6407
459,0.6322
460,0.6104
461,0.6341
462,0.5632
463,0.5945
464,0.7423
465,0.6074
466,0.6153
467,0.6541
468,0.5678
469,0.6514
470,0.6926
471,0.5843
472,0.6941
473,0.6178
474,0.6992
475,0.6156
476,0.6529
477,0.5980
478,0.6723
479,0.6172
480,0.6111
481,0.6395
482,0.5952
483,0.6837
484,0.5971
485,0.6835
486,0.6625
487,0.6009
488,0.5713
489,0.6472
490,0.6904
491,0.7034
492,0.6209
493,0.6121
494,0.6499
495,0.5944
496,0.6321
497,0.5936
498,0.6957
499,0.6367
500,0.6329
501,0.5995
502,0.6013
503,0.5769
504,0.6336
505,0.6448
506,0.6331
507,0.6103
508,0.6578
509,0.6255
510,0.5976
511,0.6267
512,0.6620
513,0.5857
514,0.5546
515,0.5782
516,0.6031
517,0.5549
518,0.5655
519,0.7120
520,0.6998
521,0.6490
522,0.6053
523,0.5923
524,0.6276
525,0.5892
526,0.6616
527,0.6276
528,0.5823
529,0.6624
530,0.6162
531,0.6030
532,0.6502
533,0.6628
534,0.6512
535,0.6355
536,0.6490
537,0.6493
538,0.6414
539,0.6277
540,0.6255
541,0.6175
542,0.6210
543,0.6038
544,0.6417
545,0.6959
546,0.6028
547,0.6449
548,0.5920
549,0.6065
550,0.6241
551,0.6260
552,0.5877
553,0.6494
554,0.6078
555,0.6230
