mini_batch_iteration,loss
0,0.6939
1,0.9555
2,1.4865
3,0.6305
4,0.8059
5,0.5854
6,0.5778
7,0.5907
8,0.5832
9,0.5713
10,0.6372
11,0.4959
12,0.4837
13,0.4023
14,0.4003
15,0.3724
16,0.6219
17,0.3746
18,0.4623
19,0.4153
20,0.4257
21,0.8284
22,0.4283
23,0.4229
24,0.5834
25,0.5085
26,0.4818
27,0.4553
28,0.4814
29,1.8667
30,0.3424
31,0.4077
32,0.4712
33,0.4436
34,0.4723
35,0.3815
36,0.4312
37,0.5363
38,0.3437
39,0.3814
40,0.3947
41,0.3889
42,0.2720
43,0.4001
44,0.3366
45,0.4075
46,0.3973
47,0.2319
48,0.3841
49,0.2285
50,0.3091
51,0.3119
52,0.7033
53,0.2838
54,0.2565
55,0.3836
56,0.4456
57,0.7167
58,0.3912
59,0.3177
60,0.3682
61,0.3811
62,0.3908
63,0.3166
64,0.2791
65,0.5115
66,0.3411
67,0.2047
68,0.3484
69,0.3211
70,0.4469
71,0.5237
72,0.4079
73,0.4374
74,0.4177
75,0.4011
76,0.3303
77,0.2971
78,0.3260
79,0.2273
80,0.2632
81,0.4031
82,0.2500
83,0.2696
84,0.2778
85,1.6428
86,0.3224
87,0.2273
88,0.4326
89,0.6149
90,0.4495
91,0.4420
92,0.6061
93,0.5388
94,0.4540
95,0.4540
96,0.3338
97,0.2900
98,0.2830
99,0.2520
100,0.3153
101,0.9109
102,0.2176
103,0.2535
104,0.4156
105,0.2622
106,0.5215
107,0.3307
108,0.3096
109,0.3464
110,0.3260
111,0.2780
112,0.3829
113,0.3188
114,0.2796
115,0.2712
116,0.2908
117,0.3112
118,0.2888
119,0.3106
120,0.1946
121,0.1962
122,0.2490
123,0.4814
124,0.2809
125,0.3835
126,0.2712
127,0.3434
128,0.2981
129,0.2667
130,0.4509
131,0.9864
132,0.3197
133,0.3479
134,0.3763
135,0.5450
136,0.5539
137,0.3634
138,0.4376
139,0.3875
140,0.2964
141,0.4185
142,0.3023
143,0.3630
144,0.4005
145,0.3535
146,0.4349
147,0.2026
148,0.2357
149,0.3405
150,0.3612
151,0.2959
152,0.4881
153,0.5845
154,0.5433
155,0.3792
156,0.3414
157,0.3396
158,0.3547
159,0.3118
160,0.2774
161,0.3278
162,0.1743
163,0.3169
164,0.5096
165,0.2682
166,0.2772
167,0.3221
168,0.2765
169,0.3415
170,0.3726
171,0.2965
172,0.3031
173,0.3392
174,0.2514
175,0.3844
176,0.2785
177,0.4088
178,0.2998
179,0.2536
180,0.3419
181,0.2113
182,0.5072
183,0.3084
184,0.2417
185,0.2741
186,0.3549
187,0.2976
188,0.2476
189,0.2801
190,0.3117
191,0.2583
192,0.3967
193,0.5098
194,0.2302
195,0.2596
196,0.2650
197,0.2446
198,0.2379
199,0.3666
