mini_batch_iteration,loss
0,0.6875
1,2.1505
2,1.0926
3,0.7715
4,0.6906
5,0.6493
6,0.6829
7,0.6639
8,0.5883
9,0.6530
10,0.7431
11,0.7026
12,0.6339
13,0.6815
14,0.6695
15,0.6703
16,0.6519
17,0.6775
18,0.6618
19,0.6326
20,0.6364
21,0.6239
22,0.6081
23,0.5409
24,0.6099
25,0.6428
26,0.5921
27,0.5733
28,0.5553
29,0.5899
30,0.5532
31,0.4979
32,0.5505
33,0.5643
34,0.4088
35,0.5006
36,0.5264
37,0.5295
38,0.4096
39,0.5498
40,0.4702
41,0.5281
42,0.4542
43,0.4376
44,0.5195
45,0.3757
46,0.4178
47,0.5196
48,0.4217
49,0.4190
50,0.4515
51,0.4754
52,0.5045
53,0.4008
54,0.4681
55,0.3854
56,0.3477
57,0.4803
58,0.3740
59,0.4824
60,0.4531
61,0.3970
62,0.4687
63,0.4553
64,0.5293
65,0.3472
66,0.4603
67,0.4338
68,0.4350
69,0.4333
70,0.4047
71,0.4238
72,0.4045
73,0.3733
74,0.3628
75,0.3718
76,0.4228
77,0.3519
78,0.4683
79,0.3913
80,0.4721
81,0.4541
82,0.4149
83,0.5287
84,0.5237
85,0.4703
86,0.4271
87,0.4584
88,0.4747
89,0.3487
90,0.3824
91,0.4953
92,0.5412
93,0.4322
94,0.4475
95,0.4320
96,0.4600
97,0.5168
98,0.4867
99,0.3406
100,0.4443
101,0.4503
102,0.4028
103,0.4077
104,0.6232
105,0.7338
106,0.4000
107,0.5093
108,0.6275
109,0.5134
110,0.5150
111,0.5180
112,0.4603
113,0.4547
114,0.5433
115,0.4155
116,0.4134
117,0.3260
118,0.4218
119,0.3896
120,0.4839
121,0.3879
122,0.4918
123,0.5122
124,0.2716
125,0.6343
126,0.4194
127,0.3837
128,0.3928
129,0.3619
130,0.4434
131,0.4669
132,0.4420
133,0.4806
134,0.4160
135,0.4342
136,0.4902
137,0.4163
138,0.4245
139,0.4728
140,0.4480
141,0.4609
142,0.3958
143,0.5386
144,0.4995
145,0.3735
146,0.4703
147,0.3860
148,0.3224
149,0.2765
150,0.4201
151,0.3700
152,0.4165
153,0.4772
154,0.3487
155,0.2904
156,0.3611
157,0.5167
158,0.4432
159,0.3886
160,0.3674
161,0.3537
162,0.4501
163,0.4406
164,0.5863
165,0.3930
166,0.4199
167,0.3309
168,0.3336
169,0.3524
170,0.4698
171,0.4603
172,0.4930
173,0.4496
174,0.4146
175,0.4155
176,0.4906
177,0.4720
178,0.4345
179,0.4172
180,0.4187
181,0.3989
182,0.4357
183,0.4223
184,0.5075
185,0.3727
186,0.3423
187,0.3276
188,0.3553
189,0.4253
190,0.3769
191,0.4351
192,0.4209
193,0.4709
194,0.5340
195,0.8248
196,0.3852
197,0.4684
198,0.4750
199,0.4898
200,0.4408
201,0.4915
202,0.4008
203,0.4287
204,0.4551
205,0.3809
206,0.5221
207,0.4018
208,0.3664
209,0.5172
210,0.4550
211,0.4601
212,0.4315
213,0.3999
214,0.4295
215,0.3825
216,0.5357
