mini_batch_iteration,loss
0,0.6860
1,0.6843
2,0.6476
3,0.6437
4,0.7566
5,0.6626
6,0.8014
7,0.8143
8,0.7610
9,0.8339
10,0.7607
11,0.6656
12,0.6031
13,0.7088
14,0.6300
15,0.6824
16,0.6553
17,0.6711
18,0.6511
19,0.7090
20,0.6689
21,0.6665
22,0.7022
23,0.6807
24,0.6654
25,0.6825
26,0.6500
27,0.6187
28,0.6184
29,0.6545
30,0.6945
31,0.7129
32,0.6618
33,0.7547
34,0.6222
35,0.6735
36,0.6883
37,0.6698
38,0.6637
39,0.6646
40,0.6303
41,0.6940
42,0.6266
43,0.6392
44,0.6682
45,0.6468
46,0.6178
47,0.6276
48,0.6508
49,0.8320
50,0.6866
51,0.6763
52,0.7443
53,0.6779
54,0.6605
55,0.6510
56,0.7157
57,0.6695
58,0.6656
59,0.6638
60,0.6416
61,0.6873
62,0.7161
63,0.6303
64,0.6173
65,0.6937
66,0.6532
67,0.6474
68,0.6810
69,0.6492
70,0.6697
71,0.6926
72,0.6943
73,0.6766
74,0.6138
75,0.6396
76,0.6428
77,0.6432
78,0.6832
79,0.6501
80,0.7028
81,0.6812
82,0.6765
83,0.6438
84,0.6597
85,0.6663
86,0.6463
87,0.6926
88,0.6198
89,0.6375
90,0.6529
91,0.6374
92,0.6824
93,0.7087
94,0.6270
95,0.6514
96,0.6434
97,0.6565
98,0.6235
99,0.7017
100,0.6628
101,0.6739
102,0.6480
103,0.6348
104,0.6698
105,0.6265
106,0.6335
107,0.6271
108,0.6290
109,0.6156
110,0.6417
111,0.5423
112,0.6293
113,0.6812
114,0.6572
115,0.6164
116,0.6276
117,0.6320
118,0.6752
119,0.6364
120,0.5889
121,0.6590
122,0.6290
123,0.6462
124,0.6086
125,0.6498
126,0.6259
127,0.6036
128,0.7177
129,0.6529
130,0.6674
131,0.6438
132,0.6419
133,0.6008
134,0.6429
135,0.6520
136,0.6196
137,0.6242
138,0.6557
139,0.6347
140,0.6513
141,0.6476
142,0.6628
143,0.6073
144,0.6278
145,0.6876
146,0.6394
147,0.5932
148,0.6060
149,0.5856
150,0.6828
151,0.6744
152,0.6977
153,0.6151
154,0.6263
155,0.6750
156,0.6831
157,0.5933
158,0.6285
159,0.6137
160,0.6526
161,0.6408
162,0.6605
163,0.6770
164,0.6301
165,0.6083
166,0.6471
167,0.6283
168,0.6216
169,0.6479
170,0.6090
171,0.6112
172,0.5634
173,0.6439
174,0.6153
175,0.6563
176,0.5709
177,0.7249
178,0.6863
179,0.6268
180,0.5547
181,0.6514
182,0.7164
183,0.6175
184,0.6254
185,0.6680
186,0.5838
187,0.5984
188,0.6267
189,0.5933
190,0.5743
191,0.5896
192,0.5680
193,0.6239
194,0.5716
195,0.4945
196,0.5497
197,0.7144
198,0.6814
199,0.6416
200,0.6174
201,0.7466
202,0.5871
203,0.6389
204,0.6824
205,0.6228
206,0.6308
207,0.6014
208,0.6014
209,0.6435
210,0.6089
211,0.6184
212,0.6484
213,0.5327
214,0.5404
215,0.5672
216,0.6188
217,0.6800
218,0.6838
219,0.5776
220,0.6240
221,0.6020
222,0.5941
223,0.5975
224,0.6456
225,0.6354
226,0.6112
227,0.5582
228,0.6385
229,0.6024
230,0.5787
231,0.5743
232,0.6262
233,0.6300
234,0.5587
235,0.6221
236,0.6385
237,0.5019
238,0.5939
239,0.5641
240,0.6497
241,0.6063
242,0.6234
243,0.6578
244,0.6105
245,0.6931
246,0.6421
247,0.5509
248,0.6155
249,0.6232
250,0.6227
251,0.6121
252,0.6367
253,0.6055
254,0.6374
255,0.6112
256,0.5621
257,0.5719
258,0.5291
259,0.5767
260,0.6402
261,0.5773
262,0.6249
263,0.6386
264,0.6385
265,0.7824
266,0.6071
267,0.6209
268,0.6732
269,0.5728
270,0.6287
271,0.6572
