mini_batch_iteration,loss
0,0.6991
1,2.7293
2,1.9073
3,0.9837
4,0.6662
5,0.7261
6,0.7917
7,0.6810
8,0.7043
9,0.6792
10,0.6822
11,0.6873
12,0.6777
13,0.6827
14,0.7237
15,0.6661
16,0.7109
17,0.6979
18,0.6860
19,0.6805
20,0.6681
21,0.6695
22,0.6910
23,0.6709
24,0.6557
25,0.6628
26,0.6779
27,0.6590
28,0.6970
29,0.6910
30,0.6575
31,0.6370
32,0.6783
33,0.6820
34,0.7115
35,0.6859
36,0.6782
37,0.6668
38,0.6496
39,0.6738
40,0.6734
41,0.6630
42,0.6850
43,0.6964
44,0.6333
45,0.7084
46,0.6747
47,0.6497
48,0.6649
49,0.6756
50,0.6694
51,0.6450
52,0.6589
53,0.6530
54,0.6511
55,0.5872
56,0.7231
57,0.6030
58,0.6231
59,0.6625
60,0.6638
61,0.6569
62,0.6642
63,0.6000
64,0.6570
65,0.6202
66,0.6594
67,0.6266
68,0.6807
69,0.6414
70,0.6075
71,0.6424
72,0.6623
73,0.6534
74,0.6261
75,0.6424
76,0.6142
77,0.6164
78,0.6636
79,0.6250
80,0.6582
81,0.6501
82,0.6747
83,0.6133
84,0.6120
85,0.6230
86,0.6274
87,0.5900
88,0.7267
89,0.6617
90,0.6197
91,0.5900
92,0.6766
93,0.6281
94,0.6044
95,0.5885
96,0.5970
97,0.6745
98,0.6485
99,0.6589
100,0.6701
101,0.6235
102,0.5998
103,0.6517
104,0.6679
105,0.6625
106,0.6137
107,0.6225
108,0.6449
109,0.5717
110,0.6166
111,0.6448
112,0.6031
113,0.5871
114,0.5674
115,0.6474
116,0.6134
117,0.6244
118,0.6278
119,0.5955
120,0.6753
121,0.5971
122,0.5894
123,0.6490
124,0.6882
125,0.6724
126,0.5949
127,0.6329
128,0.6328
129,0.5808
130,0.6414
131,0.6320
132,0.5972
133,0.6152
134,0.6002
135,0.6074
136,0.6431
137,0.6319
138,0.5684
139,0.5739
140,0.6068
141,0.6373
142,0.7034
143,0.6024
144,0.6139
145,0.5933
146,0.5980
147,0.6055
148,0.5783
149,0.6725
150,0.6138
151,0.6410
152,0.5762
153,0.5712
154,0.5747
155,0.6364
156,0.5851
157,0.6964
158,0.6713
159,0.5737
160,0.6742
161,0.5800
162,0.5718
163,0.5935
164,0.5560
165,0.5646
166,0.6204
167,0.5691
168,0.5043
169,0.6150
170,0.6515
171,0.6483
172,0.6216
173,0.6393
174,0.6153
175,0.6916
176,0.5904
177,0.5925
178,0.6154
179,0.6654
180,0.6665
181,0.6552
182,0.5786
183,0.5740
184,0.5851
185,0.6012
186,0.7601
187,0.6972
188,0.6016
189,0.6416
190,0.6163
191,0.6321
192,0.6419
193,0.6237
194,0.6194
195,0.6265
196,0.6258
197,0.6138
198,0.5921
199,0.6451
200,0.5945
201,0.7203
202,0.5995
203,0.6345
204,0.6003
205,0.6123
206,0.6527
207,0.6489
208,0.5997
209,0.6144
210,0.6121
211,0.5761
212,0.6521
213,0.6130
214,0.5953
215,0.5977
216,0.6007
217,0.6308
218,0.6024
219,0.5938
220,0.6257
221,0.7070
222,0.6480
223,0.6156
224,0.5319
225,0.5895
226,0.5706
227,0.5998
228,0.6131
229,0.6159
230,0.6389
231,0.5815
232,0.6020
233,0.6191
234,0.5385
235,0.5913
236,0.6227
237,0.6080
238,0.6429
239,0.5957
240,0.5802
241,0.5770
242,0.5556
243,0.6558
244,0.6912
245,0.5870
246,0.6038
247,0.6042
248,0.6189
249,0.5811
250,0.5574
251,0.6497
252,0.5966
253,0.5898
254,0.5890
255,0.5861
256,0.5515
257,0.6274
258,0.5910
259,0.6176
260,0.5537
261,0.5675
262,0.6176
263,0.5965
264,0.6300
265,0.5995
266,0.5999
267,0.6249
268,0.5862
269,0.6607
270,0.5469
271,0.5461
272,0.5879
273,0.5961
274,0.5925
275,0.5738
276,0.5845
277,0.5738
278,0.5569
279,0.6128
280,0.5955
281,0.5926
282,0.5912
283,0.6999
284,0.6484
285,0.6179
286,0.6533
287,0.6027
288,0.5661
289,0.5696
290,0.6584
291,0.6245
292,0.6116
293,0.5799
294,0.5588
295,0.5794
296,0.6232
297,0.6590
298,0.5928
299,0.5991
300,0.6261
301,0.6037
302,0.6114
303,0.5962
304,0.5948
305,0.6052
306,0.5995
307,0.6072
308,0.5998
309,0.6461
310,0.6053
311,0.5532
312,0.6123
313,0.6836
314,0.5473
315,0.6441
316,0.6633
317,0.6191
318,0.6091
319,0.6174
320,0.5804
321,0.6200
322,0.6537
323,0.5593
324,0.5840
325,0.6079
326,0.5577
327,0.6481
328,0.5742
329,0.5793
330,0.5807
331,0.6243
332,0.5489
333,0.6183
334,0.6383
335,0.5856
336,0.5491
337,0.5837
338,0.5302
339,0.5892
340,0.6516
341,0.5804
342,0.5644
343,0.5383
344,0.5628
345,0.5739
346,0.5499
347,0.5869
348,0.5422
349,0.6558
350,0.5447
351,0.5966
352,0.5241
353,0.5368
354,0.5899
355,0.5299
356,0.5414
357,0.5657
358,0.6758
359,0.5817
360,0.6152
361,0.5743
362,0.6037
363,0.5691
364,0.5849
365,0.6264
366,0.5697
367,0.6051
368,0.6409
369,0.6015
370,0.6133
371,0.5932
372,0.5430
373,0.6098
374,0.5663
375,0.5882
376,0.5452
377,0.5683
378,0.5524
379,0.6588
380,0.6700
381,0.5654
382,0.5874
383,0.5719
384,0.6767
385,0.6184
386,0.6300
387,0.5972
388,0.5960
389,0.6283
390,0.6231
391,0.6105
392,0.5520
393,0.6271
394,0.6154
395,0.6172
396,0.5592
397,0.6296
398,0.5588
399,0.6112
400,0.5883
401,0.5320
402,0.5880
403,0.4250
404,0.5765
405,0.6060
406,0.5892
407,0.6718
408,0.6467
409,0.5586
410,0.6308
411,0.5983
412,0.5671
413,0.5725
414,0.6193
415,0.5455
416,0.5971
417,0.5754
418,0.6004
419,0.5514
420,0.6388
421,0.5641
422,0.6457
423,0.5974
424,0.5678
425,0.6263
426,0.5345
427,0.6832
428,0.6232
429,0.5823
430,0.6226
431,0.5610
432,0.5967
433,0.6710
434,0.6113
435,0.5764
436,0.5848
437,0.5728
438,0.6352
439,0.6157
440,0.5658
441,0.5757
442,0.5869
443,0.6350
444,0.6483
445,0.6143
446,0.5652
447,0.6093
448,0.5910
449,0.5142
450,0.6086
451,0.5435
452,0.5998
453,0.6109
454,0.5052
455,0.6782
456,0.6479
457,0.6084
458,0.6557
459,0.6077
460,0.5813
461,0.6853
462,0.5395
463,0.5506
464,0.6379
465,0.6416
466,0.5434
467,0.6233
468,0.5789
469,0.5658
470,0.5703
471,0.5888
472,0.6635
473,0.6040
474,0.6658
475,0.5852
476,0.5704
477,0.5653
478,0.6195
479,0.5598
480,0.5986
481,0.6593
482,0.5529
483,0.6107
484,0.6245
485,0.6196
486,0.5568
487,0.5893
488,0.6325
489,0.5695
490,0.5443
491,0.5956
492,0.6218
493,0.6748
494,0.5709
495,0.5762
496,0.6599
497,0.6162
498,0.6280
499,0.5811
500,0.5932
501,0.5920
502,0.5739
503,0.6835
504,0.6054
505,0.6702
506,0.5810
507,0.5700
508,0.5810
509,0.5479
510,0.5798
511,0.5466
512,0.6075
513,0.5404
514,0.6460
515,0.5949
516,0.6388
517,0.5499
518,0.5415
519,0.6705
520,0.5583
