mini_batch_iteration,loss
0,0.7436
1,0.6647
2,0.6280
3,0.7010
4,0.5035
5,0.4854
6,0.4522
7,0.3780
8,0.3839
9,0.3512
10,0.2698
11,0.2963
12,0.2629
13,0.6042
14,0.2557
15,0.2378
16,0.3696
17,0.2493
18,0.5327
19,0.3175
20,0.2552
21,0.3637
22,0.5043
23,0.2527
24,0.3107
25,0.2861
26,0.1878
27,0.2581
28,0.2139
29,0.2682
30,0.3052
31,0.2395
32,0.3562
33,0.2346
34,0.1578
35,0.2231
36,0.4370
37,0.3529
38,0.3246
39,0.4684
40,0.3432
41,0.1951
42,0.2614
43,0.3956
44,0.2448
45,0.2869
46,0.3904
47,0.2809
48,0.2328
49,0.1931
50,0.2690
51,0.2087
52,0.1870
53,0.3881
54,0.2173
55,0.1920
56,0.1907
57,0.2751
58,0.5904
59,0.1285
60,0.3081
61,0.2145
62,0.2404
63,0.2371
64,0.3266
65,0.1735
66,0.5573
67,0.2032
68,0.2196
69,0.1745
70,0.2942
71,0.4628
72,0.2492
73,0.2782
74,0.2850
75,0.3090
76,0.3260
77,0.3180
78,0.1933
79,0.4169
80,0.2604
81,0.3145
82,0.1589
83,0.2897
84,0.1293
85,0.2893
86,0.2510
87,0.2360
88,0.2043
89,0.1934
90,0.2181
91,0.2802
92,0.1816
93,0.2387
94,0.1894
95,0.0903
96,0.3238
97,0.1637
98,0.1610
99,0.1570
100,0.2006
101,0.1949
102,0.3076
103,0.1550
104,0.5098
105,0.2648
106,0.3010
107,0.2125
108,0.2583
109,0.1128
110,0.2273
111,0.1365
112,0.1270
113,0.1923
114,0.3030
115,0.2260
116,0.2005
117,0.2684
118,0.2039
119,0.2171
120,0.5235
121,0.2161
122,0.2111
123,0.1819
124,0.2827
125,0.4521
126,0.2925
127,0.2093
128,0.3175
129,0.2041
130,0.2059
131,0.2598
132,0.3467
133,0.2397
134,0.1681
135,0.1483
136,0.2586
137,0.1886
138,0.1954
139,0.4472
140,0.3167
141,0.3188
142,0.1250
143,0.1897
144,0.5517
145,0.2088
146,0.2621
147,0.1466
148,0.2018
149,0.1047
150,0.1825
151,0.2261
152,0.1980
153,0.2728
154,0.2201
155,0.2734
156,0.2681
157,0.2825
158,0.2227
159,0.1911
160,0.1881
161,0.1418
162,0.3181
163,0.4247
164,0.4881
