mini_batch_iteration,loss
0,0.7232
1,0.6275
2,0.5114
3,0.3909
4,0.4077
5,0.2325
6,0.3364
7,0.2613
8,0.2319
9,0.2090
10,0.3936
11,0.2571
12,0.2139
13,0.3810
14,0.2763
15,0.3156
16,0.2178
17,0.1890
18,0.4876
19,0.2701
20,0.2666
21,0.1610
22,0.3266
23,0.2191
24,0.2919
25,0.1776
26,0.2086
27,0.1942
28,0.2048
29,0.2674
30,0.1607
31,0.3039
32,0.1722
33,0.2357
34,0.1670
35,0.1920
36,0.1628
37,0.1565
38,0.2511
39,0.1149
40,0.1465
41,0.1293
42,0.1939
43,0.1512
44,0.1356
45,0.1977
46,0.2323
47,0.1959
48,0.2307
49,0.2347
50,0.1586
51,0.1945
52,0.2032
53,0.4001
54,0.2208
55,0.3161
56,0.3408
57,0.2810
58,0.3104
59,0.3146
60,0.2175
61,0.2220
62,0.2057
63,0.1724
64,0.2247
65,0.1817
66,0.1376
67,0.1798
68,0.2395
69,0.2219
70,0.1557
71,0.2691
72,0.1875
73,0.1835
74,0.2516
75,0.1854
76,0.1007
77,0.1245
78,0.2810
79,0.3004
80,0.1587
81,0.1584
82,0.2732
83,0.1974
84,0.1855
85,0.1636
86,0.1724
87,0.3064
88,0.1727
89,0.1699
90,0.1497
91,0.2919
92,0.1660
93,0.2339
94,0.3014
95,0.2746
96,0.2111
97,0.1339
98,0.1869
99,0.1624
100,0.1548
101,0.1761
102,0.1525
103,0.1843
104,0.2048
105,0.1826
106,0.2108
107,0.1656
108,0.2040
109,0.2101
110,0.1202
111,0.1802
112,0.1000
113,0.1470
114,0.1703
115,0.1934
116,0.1565
117,0.2230
118,0.1787
119,0.2885
120,0.1779
121,0.1853
122,0.1194
123,0.1588
124,0.2417
125,0.1724
126,0.1777
127,0.1260
128,0.1721
129,0.1818
130,0.1654
131,0.2164
132,0.4203
133,0.1230
134,0.1828
135,0.2282
136,0.2208
137,0.1475
138,0.2237
139,0.2182
140,0.2293
141,0.2378
142,0.2844
143,0.1881
144,0.2462
145,0.1969
146,0.1508
147,0.1569
148,0.1406
149,0.1488
150,0.2161
151,0.1732
152,0.1220
153,0.1686
154,0.1444
155,0.2212
156,0.2019
157,0.2492
158,0.2078
159,0.1499
160,0.1885
161,0.1645
162,0.1525
163,0.1320
164,0.1494
165,0.1898
166,0.1488
167,0.1216
168,0.2795
169,0.1223
170,0.1475
171,0.1356
172,0.2349
173,0.1006
174,0.1951
175,0.1220
176,0.1729
177,0.1437
178,0.1089
179,0.1716
180,0.1413
181,0.1434
182,0.1826
183,0.1435
184,0.1679
185,0.2142
186,0.1272
187,0.1580
188,0.2068
189,0.1501
190,0.1094
191,0.1860
192,0.0822
193,0.1344
194,0.2099
195,0.1533
196,0.1986
197,0.0965
198,0.2045
199,0.1948
200,0.2206
201,0.0566
202,0.1914
203,0.1065
204,0.1779
205,0.1770
206,0.1886
207,0.2534
208,0.0853
209,0.1641
210,0.1191
211,0.1209
212,0.1393
213,0.1510
214,0.2338
215,0.0843
216,0.1072
217,0.1819
218,0.1854
219,0.1404
220,0.1785
221,0.0873
222,0.1579
223,0.2855
224,0.1537
225,0.1589
226,0.1569
227,0.1547
228,0.2390
229,0.1825
230,0.1492
