mini_batch_iteration,loss
0,0.7151
1,0.6821
2,0.6290
3,0.6535
4,0.5829
5,0.5778
6,0.5245
7,0.5137
8,0.4734
9,0.4690
10,0.4123
11,0.4168
12,0.3839
13,0.3295
14,0.3513
15,0.3317
16,0.3342
17,0.3520
18,0.3752
19,0.2800
20,0.2618
21,0.2446
22,0.2913
23,0.2448
24,0.2199
25,0.3078
26,0.1817
27,0.2808
28,0.2015
29,0.2812
30,0.2267
31,0.1830
32,0.2270
33,0.2518
34,0.2251
35,0.2120
36,0.2451
37,0.1705
38,0.1787
39,0.2150
40,0.1548
41,0.2033
42,0.2571
43,0.2480
44,0.1609
45,0.2451
46,0.2064
47,0.2268
48,0.2033
49,0.3429
50,0.2359
51,0.1376
52,0.1815
53,0.1678
54,0.1956
55,0.1795
56,0.1394
57,0.2247
58,0.2440
59,0.2291
60,0.1346
61,0.2348
62,0.2156
63,0.2778
64,0.1579
65,0.1359
66,0.1671
67,0.1761
68,0.1467
69,0.2032
70,0.1720
71,0.2272
72,0.2435
73,0.1863
74,0.2114
75,0.1865
76,0.1419
77,0.1865
78,0.1227
79,0.1684
80,0.2104
81,0.1979
82,0.2132
83,0.1237
84,0.2241
85,0.2860
86,0.1537
87,0.0910
88,0.2392
89,0.1659
90,0.1896
91,0.1825
92,0.1778
93,0.1419
94,0.2287
95,0.1518
96,0.1693
97,0.2447
98,0.2149
99,0.1191
100,0.1670
101,0.1444
102,0.1341
103,0.1428
104,0.1663
105,0.1180
106,0.1927
107,0.1707
108,0.1772
109,0.1222
110,0.2465
111,0.1204
112,0.1169
113,0.1305
114,0.1576
115,0.1490
116,0.0860
117,0.1762
118,0.1842
119,0.1107
120,0.0856
121,0.1635
122,0.1620
123,0.1733
124,0.0945
125,0.1546
126,0.0993
127,0.1807
128,0.2593
129,0.1437
130,0.1395
131,0.1840
132,0.1696
133,0.0900
134,0.1226
135,0.1277
136,0.0923
137,0.1489
138,0.0543
139,0.1208
140,0.0964
141,0.1916
142,0.1029
143,0.1771
144,0.1512
145,0.0753
146,0.1698
147,0.2040
148,0.0960
149,0.1211
150,0.1664
151,0.0998
152,0.1390
153,0.1204
154,0.1330
155,0.1386
156,0.1512
157,0.1261
158,0.1699
159,0.1415
160,0.1010
161,0.0618
162,0.1321
163,0.1388
164,0.1090
165,0.1189
166,0.0924
167,0.1188
