mini_batch_iteration,loss
0,0.7248
1,5.7690
2,13.4642
3,7.6090
4,1.4522
5,1.7884
6,1.3997
7,0.7328
8,0.7335
9,0.7648
10,0.6702
11,0.7697
12,0.7329
13,0.6549
14,0.7156
15,0.7167
16,0.6528
17,0.5902
18,0.7286
19,0.6190
20,0.8240
21,0.8346
22,0.6898
23,0.6653
24,0.6876
25,0.7105
26,0.7662
27,0.7547
28,0.7634
29,0.6822
30,0.7151
31,0.6543
32,0.6610
33,0.6195
34,0.8019
35,0.7404
36,0.7506
37,0.6644
38,0.6915
39,0.7098
40,0.6823
41,0.7577
42,0.6721
43,0.6824
44,0.6096
45,0.7380
46,0.6812
47,0.7605
48,0.7142
49,0.6940
50,0.6522
51,0.6851
52,0.6691
53,0.6962
54,0.6053
55,0.8946
56,0.7792
57,0.6267
58,0.7181
59,0.7316
60,0.7286
61,0.7037
62,0.7017
63,0.7518
64,0.7740
65,0.7754
66,0.7477
67,0.7204
68,0.6763
69,0.6913
70,0.6616
71,0.6811
72,0.7828
73,0.6973
74,0.6751
75,0.6626
76,0.7167
77,0.6733
78,0.6844
79,0.6819
80,0.7360
81,0.7231
82,0.6271
83,0.8081
84,0.7295
85,0.6673
86,0.6804
87,0.7224
88,0.6276
89,0.6906
90,0.7385
91,0.6618
92,0.6984
93,0.7602
94,0.7296
95,0.5954
96,0.7477
97,0.6381
98,0.8062
99,0.6926
100,0.7011
101,0.7007
102,0.7027
103,0.6866
104,0.6985
105,0.7474
106,0.6582
107,0.7016
108,0.7151
109,0.6757
110,0.7187
111,0.7106
112,0.7568
113,0.7319
114,0.6716
115,0.6891
116,0.7899
117,0.7191
118,0.7357
119,0.6751
120,0.7162
121,0.7159
122,0.6815
123,0.8420
124,0.7585
125,0.7573
126,0.6242
127,0.7956
128,0.6867
129,0.6703
130,0.6351
131,0.7510
132,0.6763
133,0.7095
134,0.6789
135,0.7193
136,0.6694
137,0.8315
138,0.6166
139,0.7248
140,0.6913
141,0.7009
142,0.7189
143,0.6782
144,0.7249
145,0.6633
146,0.7624
147,0.8189
148,0.8392
149,0.7108
150,0.6584
151,0.6882
152,0.6634
153,0.6825
154,0.7399
155,0.8515
156,0.6796
157,0.7774
158,0.6566
159,0.6834
160,0.5694
161,0.7228
162,0.8003
163,0.8875
164,0.6680
165,0.7009
166,0.8386
