mini_batch_iteration,loss
0,0.7008
1,0.6930
2,0.7133
3,0.6794
4,0.6830
5,0.6794
6,0.6743
7,0.6989
8,0.6778
9,0.6809
10,0.6696
11,0.6841
12,0.6750
13,0.6793
14,0.6817
15,0.6768
16,0.6729
17,0.6647
18,0.6804
19,0.6984
20,0.7044
21,0.6619
22,0.6806
23,0.6645
24,0.7046
25,0.6877
26,0.6849
27,0.6725
28,0.6906
29,0.6710
30,0.6768
31,0.6821
32,0.6809
33,0.6591
34,0.6855
35,0.6566
36,0.6731
37,0.6632
38,0.6719
39,0.6485
40,0.6544
41,0.6683
42,0.6934
43,0.6734
44,0.6696
45,0.6333
46,0.6826
47,0.6665
48,0.6720
49,0.6553
50,0.6622
51,0.6784
52,0.6698
53,0.6779
54,0.6825
55,0.6919
56,0.6851
57,0.6708
58,0.6795
59,0.6818
60,0.6680
61,0.6646
62,0.6799
63,0.6636
64,0.6404
65,0.6734
66,0.6890
67,0.7006
68,0.6625
69,0.6526
70,0.6847
71,0.6791
72,0.6813
73,0.6947
74,0.6618
75,0.6660
76,0.6850
77,0.6728
78,0.6744
79,0.6865
80,0.6781
81,0.6826
82,0.6714
83,0.6706
84,0.6676
85,0.6812
86,0.6835
87,0.6696
88,0.6846
89,0.6792
90,0.6814
91,0.6604
92,0.6883
93,0.6765
94,0.6746
95,0.6874
96,0.6960
97,0.6723
98,0.6730
99,0.6741
100,0.6843
101,0.6950
102,0.6716
103,0.6961
104,0.6818
105,0.6814
106,0.6811
107,0.6792
108,0.6711
109,0.6840
110,0.6557
111,0.6855
112,0.6865
113,0.6914
114,0.7026
115,0.6828
116,0.6760
117,0.6742
118,0.6904
119,0.6748
120,0.6756
121,0.6833
122,0.6758
123,0.6653
124,0.6792
125,0.6757
126,0.6799
127,0.6831
128,0.6850
129,0.6619
130,0.6843
131,0.6734
132,0.7182
133,0.6958
134,0.6609
135,0.6655
136,0.6813
137,0.6833
138,0.6858
139,0.6889
140,0.6824
141,0.6829
142,0.6689
143,0.6839
144,0.6804
145,0.6798
146,0.6739
147,0.6822
148,0.6830
149,0.6762
150,0.6631
151,0.6925
152,0.6762
153,0.6862
154,0.6781
155,0.6845
156,0.6708
157,0.6835
158,0.7001
159,0.6903
160,0.6690
161,0.6783
162,0.6803
163,0.6818
164,0.6656
165,0.6909
166,0.6847
167,0.6655
168,0.6700
169,0.6704
170,0.6728
171,0.6851
172,0.6779
173,0.6882
174,0.6935
175,0.6730
176,0.6801
177,0.6675
178,0.6819
179,0.6792
180,0.6893
181,0.6805
182,0.6606
183,0.6684
184,0.6683
185,0.6795
186,0.6892
187,0.6811
188,0.6916
189,0.6800
190,0.6745
191,0.6817
192,0.6870
193,0.6737
194,0.6828
195,0.6719
196,0.6808
197,0.6869
198,0.6842
199,0.6713
200,0.6630
201,0.6569
202,0.6841
203,0.6824
204,0.6923
205,0.7087
206,0.6727
207,0.6863
208,0.6743
209,0.6782
210,0.6707
211,0.6784
212,0.6765
213,0.6670
214,0.6822
215,0.6862
216,0.6784
217,0.6843
218,0.6606
219,0.6664
220,0.6822
221,0.6861
222,0.6801
223,0.6841
224,0.6942
225,0.6901
226,0.6820
227,0.6779
228,0.6698
229,0.6861
230,0.6882
231,0.6779
232,0.6778
233,0.6799
234,0.6819
235,0.6778
236,0.6695
237,0.6798
238,0.6881
239,0.6651
240,0.6860
241,0.6966
242,0.6839
243,0.7008
244,0.6734
245,0.6754
246,0.6691
247,0.6839
248,0.6860
249,0.6860
250,0.6860
251,0.6796
252,0.6690
253,0.6796
254,0.6689
255,0.6903
256,0.6795
257,0.6731
258,0.6774
259,0.6817
260,0.6686
261,0.6642
262,0.6641
263,0.6639
264,0.6838
265,0.6971
266,0.6770
267,0.6860
268,0.6837
269,0.6769
270,0.6656
271,0.6678
272,0.6882
273,0.6654
274,0.6791
275,0.6790
276,0.6721
277,0.6767
278,0.6929
279,0.6836
280,0.6602
281,0.6906
282,0.6742
283,0.6741
284,0.6883
285,0.6930
286,0.6883
287,0.6836
288,0.6693
289,0.6836
290,0.6693
291,0.6693
292,0.6788
293,0.6502
294,0.6692
295,0.6835
296,0.6811
297,0.6859
298,0.6908
299,0.6908
300,0.6859
301,0.6665
302,0.6398
303,0.6811
304,0.6713
305,0.6639
306,0.6859
307,0.6761
308,0.6810
309,0.6810
310,0.6810
311,0.6959
312,0.6909
313,0.6834
314,0.6785
315,0.6610
316,0.6710
317,0.6610
318,0.6559
319,0.6558
320,0.6834
321,0.6961
322,0.6606
323,0.6758
324,0.6783
325,0.6834
326,0.6629
327,0.6988
328,0.6962
329,0.6551
330,0.6654
331,0.7014
332,0.6731
333,0.6860
334,0.6575
335,0.6601
336,0.6756
337,0.6860
338,0.6625
339,0.6651
340,0.7017
341,0.6650
342,0.6702
343,0.6545
344,0.6596
345,0.6675
346,0.6833
347,0.6780
348,0.6967
349,0.6807
350,0.6967
351,0.6914
352,0.6940
353,0.6887
354,0.7020
355,0.6913
356,0.6781
357,0.6992
358,0.7096
359,0.6494
360,0.6938
361,0.6912
362,0.6679
363,0.6705
364,0.6782
365,0.6654
366,0.6834
367,0.6655
368,0.6783
369,0.6629
370,0.7090
371,0.7038
372,0.6503
373,0.6860
374,0.6732
375,0.6707
376,0.6885
377,0.6859
378,0.6885
