mini_batch_iteration,loss
0,0.7026
1,0.6663
2,0.6856
3,0.6935
4,0.6639
5,0.6960
6,0.6731
7,0.6831
8,0.6716
9,0.6774
10,0.6782
11,0.6598
12,0.6757
13,0.6398
14,0.6731
15,0.6538
16,0.6722
17,0.6466
18,0.6582
19,0.6664
20,0.6919
21,0.6674
22,0.6319
23,0.6774
24,0.6433
25,0.6652
26,0.6144
27,0.6466
28,0.6568
29,0.6375
30,0.6318
31,0.6978
32,0.6435
33,0.7571
34,0.6602
35,0.6396
36,0.6414
37,0.6656
38,0.6549
39,0.6657
40,0.6548
41,0.6694
42,0.6582
43,0.6420
44,0.6315
45,0.6211
46,0.6209
47,0.6356
48,0.7331
49,0.6446
50,0.6680
51,0.6974
52,0.6619
53,0.6708
54,0.6714
55,0.6669
56,0.6471
57,0.6530
58,0.6824
59,0.6627
60,0.6557
61,0.6418
62,0.6838
63,0.6839
64,0.6766
65,0.6580
66,0.6585
67,0.6840
68,0.6737
69,0.6566
70,0.6714
71,0.6834
72,0.6670
73,0.6801
74,0.6648
75,0.6596
76,0.6717
77,0.6647
78,0.6757
79,0.6659
80,0.6727
81,0.6570
82,0.6561
83,0.6760
84,0.6625
85,0.6587
86,0.6407
87,0.6516
88,0.6846
89,0.6757
90,0.6816
91,0.6803
92,0.6687
93,0.6695
94,0.7001
95,0.6644
96,0.6683
97,0.6949
98,0.6837
99,0.6742
100,0.6719
101,0.6771
102,0.6522
103,0.6753
104,0.6694
105,0.6752
106,0.6565
107,0.6546
108,0.7082
109,0.6417
110,0.6490
111,0.6397
112,0.6413
113,0.6707
114,0.6543
115,0.6886
116,0.6714
117,0.7022
118,0.6858
119,0.6735
120,0.6821
121,0.7007
122,0.6764
123,0.6582
124,0.6815
125,0.6821
126,0.6977
127,0.7034
128,0.6932
129,0.6702
130,0.7047
131,0.6696
132,0.6922
133,0.6801
134,0.6850
135,0.6850
136,0.6961
137,0.6824
138,0.6791
139,0.6688
140,0.6813
141,0.6761
142,0.6854
143,0.6977
144,0.6769
145,0.6846
146,0.6884
147,0.6845
148,0.6879
149,0.6817
150,0.6835
151,0.6847
152,0.6779
153,0.6847
154,0.6848
155,0.6878
156,0.6935
157,0.6855
158,0.6944
159,0.6876
160,0.6908
161,0.6779
162,0.6849
163,0.6795
164,0.6912
165,0.6783
166,0.6782
167,0.6840
168,0.6885
169,0.6797
170,0.6855
171,0.6734
172,0.6855
173,0.6793
174,0.6807
175,0.6853
176,0.6930
177,0.6806
178,0.6852
179,0.6774
180,0.6679
181,0.6820
182,0.6739
183,0.6819
184,0.6671
185,0.6669
186,0.6749
187,0.6883
188,0.6951
189,0.6693
190,0.6795
191,0.6742
192,0.6688
193,0.6918
194,0.6757
195,0.6719
196,0.6809
197,0.6716
198,0.6845
199,0.6807
200,0.6768
201,0.6580
202,0.6901
203,0.6746
204,0.6901
205,0.6686
206,0.6684
207,0.6842
208,0.6901
209,0.6641
210,0.6820
211,0.6739
212,0.6861
213,0.6819
214,0.6737
215,0.6778
216,0.6819
217,0.6714
218,0.6545
219,0.6775
220,0.6669
221,0.6881
222,0.6688
223,0.6817
224,0.6620
225,0.6684
226,0.6749
227,0.6682
228,0.6904
229,0.6927
230,0.6927
231,0.6905
232,0.6746
233,0.6928
234,0.6814
235,0.6746
236,0.6791
237,0.6563
238,0.6791
239,0.6814
240,0.6629
241,0.6605
242,0.6743
243,0.7022
244,0.6789
245,0.6836
246,0.6906
247,0.6930
248,0.6601
249,0.6742
250,0.6529
251,0.6930
252,0.6859
253,0.6717
254,0.6764
255,0.6621
256,0.6859
257,0.6811
258,0.6643
259,0.6619
260,0.6883
261,0.6762
262,0.7005
263,0.7029
264,0.6689
265,0.6884
266,0.6689
267,0.6786
268,0.6786
269,0.6908
270,0.6738
271,0.6543
272,0.6689
273,0.6884
274,0.6933
275,0.6884
276,0.6859
277,0.6884
278,0.6884
279,0.6737
280,0.6713
281,0.6737
282,0.6884
283,0.6932
284,0.6640
285,0.6640
286,0.6981
287,0.6591
288,0.6811
289,0.6933
290,0.7030
291,0.6908
292,0.6762
293,0.6762
294,0.6908
295,0.7029
296,0.6787
297,0.6594
298,0.6546
299,0.6883
300,0.6787
301,0.6883
302,0.6803
303,0.6859
304,0.6835
305,0.6811
306,0.6715
307,0.6787
308,0.6859
309,0.6955
310,0.6883
311,0.7003
312,0.6621
313,0.6835
314,0.6907
315,0.6764
316,0.6764
317,0.7073
318,0.6954
319,0.6930
320,0.6695
321,0.6695
322,0.6719
323,0.6906
324,0.6836
325,0.6743
326,0.6836
327,0.6720
328,0.6813
329,0.6673
330,0.6766
331,0.6743
332,0.6859
333,0.6766
334,0.6696
335,0.6789
336,0.6976
337,0.6836
338,0.6766
339,0.6883
340,0.6602
341,0.6836
342,0.6648
343,0.6742
344,0.6694
345,0.6741
346,0.7073
347,0.6527
348,0.6812
349,0.6788
350,0.6835
351,0.6812
352,0.6788
353,0.6859
354,0.6739
355,0.6739
356,0.6763
357,0.6763
358,0.6666
359,0.6787
360,0.6811
361,0.6908
362,0.6786
363,0.6981
364,0.6713
365,0.6811
366,0.6884
367,0.6908
368,0.6932
369,0.6641
370,0.6738
371,0.6544
372,0.6714
373,0.6811
374,0.6762
375,0.6713
376,0.6835
377,0.6835
378,0.6737
379,0.6638
380,0.6786
381,0.6711
382,0.6736
383,0.6810
384,0.6785
385,0.6536
386,0.6884
387,0.6634
388,0.6884
389,0.6508
390,0.6633
391,0.6758
392,0.6910
393,0.6707
394,0.6757
395,0.6731
396,0.6783
397,0.6679
398,0.6679
399,0.6834
400,0.6886
401,0.6678
402,0.6729
403,0.7343
404,0.6651
405,0.6755
406,0.6834
407,0.6938
408,0.6860
409,0.6678
410,0.6860
411,0.6834
412,0.6782
413,0.6808
414,0.6756
415,0.6911
416,0.6911
417,0.6680
418,0.6808
419,0.6860
420,0.7039
421,0.6860
422,0.6783
423,0.6732
424,0.6581
425,0.6986
426,0.6581
427,0.6809
428,0.6657
429,0.6683
430,0.6733
431,0.6429
432,0.6834
433,0.6605
434,0.6732
435,0.6732
436,0.6731
437,0.6757
438,0.6756
439,0.6782
440,0.6626
441,0.6912
442,0.6677
443,0.6938
444,0.6703
445,0.6807
