mini_batch_iteration,loss
0,0.7059
1,0.7074
2,0.7636
3,0.7219
4,0.6402
5,0.7205
6,0.6807
7,0.6053
8,0.8345
9,0.7022
10,0.5713
11,0.7064
12,0.6130
13,0.6232
14,0.7024
15,0.6652
16,0.6079
17,0.7222
18,0.5505
19,0.6884
20,0.7168
21,0.7341
22,0.6241
23,0.7450
24,0.6871
25,0.6304
26,0.7163
27,0.6865
28,0.7516
29,0.6845
30,0.7236
31,0.7511
32,0.7903
33,0.6066
34,0.5460
35,0.7239
36,0.5888
37,0.6709
38,0.8349
39,0.7478
40,0.7083
41,0.9221
42,0.6618
43,0.6878
44,0.6719
45,0.6833
46,0.6911
47,0.6977
48,0.6807
49,0.6796
50,0.6493
51,0.7915
52,0.8095
53,0.5975
54,0.7457
55,0.6255
56,0.6747
57,0.7998
58,0.7172
59,0.6064
60,0.6170
61,0.5786
62,0.6970
63,0.7287
64,0.7014
65,0.6060
66,0.6483
67,0.6780
68,0.6551
69,0.6951
70,0.6942
71,0.6790
72,0.7401
73,0.7285
74,0.6464
75,0.6979
76,0.7144
77,0.6399
78,0.6263
79,0.6619
80,0.6234
81,0.6384
82,0.8337
83,0.6725
84,0.6075
85,0.8254
86,0.6951
87,0.6432
88,0.6594
89,0.7862
90,0.7036
91,0.6462
92,0.7254
93,0.6068
94,0.6955
95,0.6674
96,0.5493
97,0.6411
98,0.7340
99,0.7772
100,0.6074
101,0.8271
102,0.5006
103,0.7525
104,0.6799
105,0.7024
106,0.7094
107,0.6193
108,0.6924
109,0.6920
110,0.6859
111,0.6857
112,0.6655
113,0.6653
114,0.6599
115,0.5586
116,0.6314
117,0.6706
118,0.6764
119,0.6497
120,0.6557
121,0.8596
122,0.6760
123,0.6128
124,0.6966
125,0.7175
126,0.7143
127,0.7366
128,0.6532
129,0.7222
130,0.7274
131,0.6856
132,0.7293
133,0.6826
134,0.6439
135,0.7235
136,0.7350
137,0.6559
138,0.7670
139,0.6558
140,0.7930
141,0.6673
142,0.6722
143,0.6454
144,0.6717
145,0.6574
146,0.6910
147,0.6556
148,0.6427
149,0.6725
150,0.5801
151,0.6623
152,0.6761
153,0.6692
154,0.6771
155,0.6287
156,0.7990
157,0.6007
158,0.7141
