mini_batch_iteration,loss
0,0.6838
1,0.6841
2,0.6119
3,0.6140
4,0.5049
5,0.6090
6,0.5138
7,0.5041
8,0.4623
9,0.3772
10,0.6413
11,0.4555
12,0.4553
13,0.4248
14,0.3130
15,0.3361
16,0.3123
17,0.3803
18,0.2610
19,0.3417
20,0.3310
21,0.3725
22,0.4372
23,0.4462
24,0.4424
25,0.5424
26,0.2830
27,0.3107
28,0.5195
29,0.3336
30,0.4614
31,0.3843
32,0.5554
33,0.3433
34,0.2690
35,0.3577
36,0.5031
37,0.3384
38,0.3873
39,0.3508
40,0.3449
41,0.3754
42,0.3365
43,0.3193
44,0.3893
45,0.3060
46,0.3875
47,0.2371
48,0.3161
49,0.3624
50,0.2668
51,0.3520
52,0.5228
53,0.3657
54,0.3133
55,0.3013
56,0.2730
57,0.4478
58,0.2669
59,0.4573
60,0.2346
61,0.3705
62,0.3922
63,0.3773
64,0.3095
65,0.3250
66,0.3992
67,0.2079
68,0.3874
69,0.3495
70,0.3553
71,0.3230
72,0.2705
73,0.3267
74,0.3498
75,0.4231
76,0.3285
77,0.3903
78,0.3435
79,0.3359
80,0.2969
81,0.3247
82,0.4154
83,0.3139
84,0.3279
85,0.3042
86,0.2587
87,0.2280
88,0.3442
89,0.3586
90,0.3077
91,0.2346
92,0.2330
93,0.2562
94,0.2792
95,0.3576
96,0.3432
97,0.3609
98,0.3064
99,0.2671
100,0.3854
101,0.3670
102,0.2710
103,0.3358
104,0.3015
105,0.3349
106,0.3487
107,0.3897
108,0.2747
109,0.3472
110,0.3103
111,0.6024
112,0.4146
113,0.3166
114,0.3732
115,0.2897
116,0.2809
117,0.3851
118,0.3197
119,0.2708
120,0.3053
121,0.2649
122,0.2650
123,0.4069
124,0.3225
125,0.3269
126,0.3118
127,0.2495
128,0.2615
129,0.2868
130,0.3670
131,0.2928
132,0.3237
133,0.2595
134,0.4733
135,0.2989
136,0.3524
137,0.3896
138,0.2981
139,0.3392
140,0.3459
141,0.3045
142,0.3531
143,0.2996
144,0.3740
145,0.3359
146,0.2889
147,0.4073
148,0.3001
149,0.3137
150,0.3610
151,0.2955
152,0.4018
153,0.3266
154,0.2869
155,0.2762
156,0.2819
157,0.2340
158,0.2585
159,0.4148
160,0.3784
161,0.2417
162,0.3855
163,0.2714
164,0.3967
165,0.2507
166,0.1645
167,0.2285
168,0.3149
169,0.2494
170,0.2973
171,0.3373
172,0.2622
173,0.2864
174,0.3412
175,0.2227
176,0.2718
177,0.3664
178,0.2740
179,0.3024
180,0.2834
181,0.3088
182,0.2736
183,0.2905
184,0.2403
185,0.3196
186,0.3910
187,0.2346
188,0.2926
189,0.2720
190,0.2127
191,0.3632
192,0.2917
193,0.2774
194,0.2844
195,0.2755
196,0.2320
197,0.3122
198,0.1971
