mini_batch_iteration,loss
0,0.7130
1,0.5865
2,0.5816
3,0.5946
4,0.4767
5,0.3907
6,0.4967
7,0.3926
8,0.4450
9,0.4776
10,0.4168
11,0.4583
12,0.4207
13,0.2953
14,0.3731
15,0.3421
16,0.4108
17,0.3061
18,0.5148
19,0.4336
20,0.3329
21,0.3297
22,0.3745
23,0.2719
24,0.2614
25,0.4560
26,0.3109
27,0.4251
28,0.3368
29,0.2795
30,0.3213
31,0.3007
32,0.2747
33,0.3328
34,0.3063
35,0.2370
36,0.3024
37,0.3147
38,0.3806
39,0.3445
40,0.4147
41,0.2827
42,0.2569
43,0.2146
44,0.2558
45,0.2537
46,0.2464
47,0.2450
48,0.2824
49,0.2636
50,0.3223
51,0.3313
52,0.3541
53,0.2900
54,0.1665
55,0.3673
56,0.3057
57,0.4151
58,0.3461
59,0.2492
60,0.2854
61,0.3064
62,0.3539
63,0.2495
64,0.3264
65,0.3027
66,0.4353
67,0.2877
68,0.2259
69,0.3058
70,0.2814
71,0.2003
72,0.3072
73,0.2375
74,0.3316
75,0.3879
76,0.1546
77,0.3785
78,0.2461
79,0.1919
80,0.3171
81,0.2294
82,0.2896
83,0.2721
84,0.3727
85,0.4578
86,0.2611
87,0.3181
88,0.3086
89,0.2468
90,0.3110
91,0.2563
92,0.3564
93,0.2240
94,0.2881
95,0.2747
96,0.2940
97,0.2638
98,0.2358
99,0.3788
100,0.3738
101,0.3439
102,0.3516
103,0.2053
104,0.2923
105,0.2066
106,0.3700
107,0.4049
108,0.2730
109,0.3578
110,0.2412
111,0.2403
112,0.1859
113,0.1944
114,0.2404
115,0.2200
116,0.2583
117,0.2554
118,0.3297
119,0.3970
120,0.2404
121,0.2874
122,0.2889
123,0.1961
124,0.2111
125,0.2022
126,0.2835
127,0.2464
128,0.2448
129,0.3423
130,0.2079
131,0.4141
132,0.2289
133,0.1735
134,0.2572
135,0.2704
136,0.3675
137,0.2997
138,0.3054
139,0.2170
140,0.2546
141,0.4557
142,0.2684
143,0.1741
144,0.2001
145,0.2751
146,0.3052
147,0.1903
148,0.2857
149,0.2320
150,0.2362
151,0.2820
152,0.2605
153,0.2696
154,0.2562
155,0.2493
156,0.1434
157,0.2558
158,0.2725
159,0.1959
160,0.2511
161,0.2710
162,0.2288
163,0.3488
164,0.2710
