mini_batch_iteration,loss
0,0.7116
1,0.6068
2,0.4934
3,0.4370
4,0.2483
5,0.3461
6,0.2454
7,0.3369
8,0.3133
9,0.3626
10,0.3627
11,0.4404
12,0.3178
13,0.2775
14,0.2879
15,0.2524
16,0.2333
17,0.4450
18,0.3262
19,0.2300
20,0.2192
21,0.3545
22,0.2392
23,0.1746
24,0.5426
25,0.3312
26,0.2744
27,0.3881
28,0.3907
29,0.2895
30,0.2629
31,0.2369
32,0.4678
33,0.2068
34,0.2051
35,0.2277
36,0.2846
37,0.1750
38,0.3257
39,0.2538
40,0.2229
41,0.1979
42,0.2477
43,0.3183
44,0.1924
45,0.3156
46,0.2797
47,0.3360
48,0.2497
49,0.2737
50,0.2097
51,0.2376
52,0.2981
53,0.3151
54,0.3166
55,0.1712
56,0.4926
57,0.2214
58,0.3505
59,0.2616
60,0.2311
61,0.3840
62,0.3377
63,0.2962
64,0.2719
65,0.2030
66,0.1943
67,0.4551
68,0.1386
69,0.2632
70,0.2717
71,0.2882
72,0.3728
73,0.3149
74,0.3084
75,0.1919
76,0.3524
77,0.3013
78,0.2744
79,0.2660
80,0.2901
81,0.1905
82,0.2922
83,0.2482
84,0.2030
85,0.3270
86,0.2245
87,0.2955
88,0.2493
89,0.2027
90,0.2368
91,0.2438
92,0.2209
93,0.2681
94,0.2633
95,0.1614
96,0.3517
97,0.2121
98,0.1961
99,0.2345
100,0.1359
101,0.2062
102,0.2215
103,0.3017
104,0.2441
105,0.2312
106,0.1935
107,0.2838
108,0.2215
109,0.1991
110,0.2463
111,0.2895
112,0.2118
113,0.1530
114,0.1630
115,0.2812
116,0.2155
117,0.2733
118,0.2198
119,0.2977
120,0.2288
121,0.3019
122,0.1698
123,0.2876
124,0.1286
125,0.1818
126,0.2396
127,0.2282
128,0.2725
129,0.2646
130,0.2615
131,0.2049
132,0.1767
133,0.1713
134,0.2092
135,0.1750
136,0.2756
137,0.1457
138,0.1710
139,0.2099
140,0.2918
141,0.1207
142,0.2086
143,0.3876
144,0.2028
145,0.1577
146,0.3316
147,0.1935
148,0.2527
149,0.1490
150,0.1610
151,0.2198
152,0.1300
153,0.3129
154,0.2008
155,0.2941
156,0.2137
157,0.1646
158,0.1309
159,0.1971
160,0.3397
161,0.1527
162,0.1997
163,0.2160
164,0.2418
165,0.2478
166,0.1624
167,0.2513
168,0.2475
169,0.2186
170,0.2992
171,0.1782
172,0.2352
173,0.1815
174,0.2982
175,0.2149
176,0.2273
177,0.1400
178,0.2155
179,0.2516
180,0.2084
181,0.3583
182,0.1444
183,0.2359
184,0.2118
185,0.1551
186,0.2296
187,0.1696
188,0.1782
189,0.1411
190,0.1605
191,0.2134
192,0.2109
193,0.2249
194,0.2378
195,0.4220
196,0.1939
197,0.2708
198,0.3061
199,0.2127
200,0.1955
201,0.1805
202,0.1622
203,0.2487
204,0.1293
205,0.2237
206,0.2214
207,0.1337
208,0.3436
209,0.1720
210,0.1589
211,0.1797
212,0.2524
213,0.1648
214,0.2261
215,0.1981
216,0.1406
217,0.3037
218,0.1922
219,0.2817
220,0.1688
221,0.3012
222,0.2307
223,0.1407
224,0.2636
225,0.1944
226,0.1793
227,0.1498
228,0.1370
229,0.2397
230,0.2008
231,0.2424
232,0.1505
233,0.1872
234,0.1453
235,0.1427
236,0.1936
237,0.2140
238,0.2633
239,0.1686
240,0.1522
241,0.3709
242,0.2386
243,0.1481
244,0.3463
245,0.1743
246,0.2338
247,0.3137
248,0.3243
249,0.1257
250,0.1813
251,0.2835
252,0.1198
253,0.1544
254,0.1994
255,0.2571
256,0.3534
257,0.1839
258,0.2221
259,0.1959
260,0.1832
261,0.2394
262,0.2378
263,0.2252
264,0.2330
265,0.1979
266,0.1905
267,0.2771
268,0.3124
269,0.2938
270,0.1915
271,0.2183
272,0.1791
273,0.1938
274,0.3322
275,0.2016
276,0.2029
277,0.3491
278,0.1526
279,0.2012
280,0.1954
281,0.2552
282,0.1555
283,0.2400
284,0.2694
285,0.1738
286,0.1718
287,0.1830
288,0.1920
289,0.2122
290,0.2119
291,0.1934
292,0.3036
293,0.2242
294,0.2046
295,0.2174
296,0.1821
297,0.1513
298,0.1886
299,0.1504
300,0.2615
301,0.1164
302,0.1230
303,0.1442
304,0.2580
305,0.2644
306,0.2083
307,0.3095
308,0.2083
309,0.1312
310,0.1772
311,0.1739
312,0.1412
313,0.1669
314,0.4111
315,0.2279
316,0.1644
317,0.2098
318,0.1694
319,0.2557
320,0.1829
321,0.1892
322,0.1755
323,0.3064
324,0.2009
325,0.1669
326,0.1352
327,0.2573
328,0.1809
329,0.1668
330,0.2826
331,0.1686
332,0.1881
333,0.1622
334,0.1836
335,0.1276
336,0.1613
337,0.2071
338,0.2643
339,0.1839
340,0.2764
341,0.2080
342,0.1996
343,0.1765
344,0.1928
345,0.2068
346,0.1888
347,0.1924
348,0.2732
349,0.1562
350,0.1696
351,0.1861
352,0.1552
353,0.2278
354,0.1833
355,0.1333
356,0.2275
357,0.1239
358,0.1631
359,0.1880
360,0.3338
361,0.1743
362,0.1489
363,0.1624
364,0.1664
365,0.2193
366,0.1784
367,0.0919
368,0.1855
369,0.1473
370,0.2127
371,0.1151
372,0.1635
373,0.2036
374,0.2489
375,0.1713
376,0.2771
377,0.2655
378,0.1801
379,0.2375
380,0.1501
381,0.2601
382,0.1674
383,0.1904
384,0.1942
385,0.1370
386,0.1356
387,0.1576
388,0.2267
389,0.1236
390,0.2043
391,0.1811
392,0.1594
393,0.2546
394,0.2796
395,0.2022
396,0.2070
397,0.2466
398,0.1645
399,0.2573
400,0.1535
401,0.1782
402,0.1954
403,0.2927
404,0.1181
405,0.2078
406,0.1517
407,0.1923
408,0.2123
409,0.1529
410,0.2753
411,0.2846
412,0.1909
413,0.1652
414,0.2574
415,0.1318
416,0.1661
417,0.2147
418,0.1590
419,0.1417
420,0.1301
421,0.1667
422,0.1442
423,0.2159
424,0.1436
425,0.1306
426,0.1482
427,0.1292
428,0.1912
429,0.1179
430,0.1175
431,0.1470
432,0.1389
433,0.1508
434,0.1587
435,0.0924
436,0.1767
437,0.1084
438,0.1327
439,0.2269
440,0.1666
441,0.2409
442,0.1530
443,0.1491
444,0.1505
445,0.1435
446,0.1172
447,0.1388
448,0.1372
449,0.1392
450,0.2435
451,0.1009
452,0.1857
453,0.1441
454,0.1553
455,0.1720
456,0.1943
457,0.1371
458,0.1224
459,0.1444
460,0.1771
461,0.1744
462,0.1274
463,0.1995
464,0.1376
465,0.1719
466,0.1600
467,0.1288
468,0.2317
469,0.3137
470,0.1573
471,0.1839
472,0.1306
473,0.1359
474,0.1383
475,0.1568
476,0.1753
477,0.1382
478,0.2621
479,0.1319
480,0.1797
481,0.1299
482,0.2773
483,0.1240
484,0.1973
485,0.1437
486,0.1024
487,0.3393
488,0.3061
489,0.1890
490,0.1134
491,0.1951
492,0.1741
493,0.1955
494,0.2496
495,0.2115
496,0.1500
497,0.1606
498,0.1951
499,0.2022
500,0.1243
501,0.1167
502,0.1815
503,0.1514
504,0.1961
505,0.1426
506,0.0941
507,0.1229
508,0.1656
509,0.1155
510,0.1016
511,0.1770
512,0.0634
513,0.1307
514,0.1868
515,0.1313
516,0.0771
517,0.2546
518,0.2287
519,0.1209
520,0.1198
521,0.1318
522,0.2146
523,0.0963
524,0.1034
525,0.1119
526,0.1572
527,0.1424
528,0.1380
529,0.1369
530,0.1027
531,0.2069
532,0.1099
533,0.1137
534,0.2170
535,0.1074
536,0.1755
537,0.0744
538,0.1808
539,0.0849
540,0.1619
541,0.1066
542,0.1739
543,0.1293
544,0.1567
545,0.1761
546,0.1579
547,0.1196
548,0.2158
549,0.2652
550,0.0771
551,0.2337
552,0.0878
553,0.1366
554,0.1792
555,0.1463
556,0.1788
557,0.1719
558,0.1143
559,0.1817
560,0.1778
561,0.1549
562,0.2321
563,0.1501
564,0.0879
565,0.1512
566,0.2434
567,0.1583
568,0.1906
569,0.1692
570,0.2009
571,0.1493
572,0.1027
573,0.1353
574,0.1460
575,0.1584
576,0.2239
577,0.1813
578,0.1313
579,0.1835
580,0.1630
581,0.1527
582,0.1805
583,0.1502
584,0.1312
585,0.2192
586,0.1247
587,0.1487
588,0.1848
589,0.1711
590,0.1275
591,0.1301
592,0.1202
593,0.1539
594,0.1307
595,0.1733
596,0.1881
597,0.1355
598,0.2629
599,0.1247
600,0.1243
601,0.1663
602,0.1299
603,0.1676
604,0.0800
605,0.4459
606,0.1486
607,0.1584
608,0.2009
609,0.1230
610,0.2069
611,0.1468
612,0.1410
613,0.1324
614,0.2691
615,0.2710
616,0.1643
617,0.1080
618,0.1125
619,0.1678
620,0.2820
621,0.1274
622,0.2292
623,0.2125
624,0.1392
625,0.1453
626,0.2884
627,0.1531
628,0.1140
629,0.1648
630,0.1369
631,0.1358
632,0.1761
633,0.1521
634,0.3000
635,0.0967
636,0.1354
637,0.1122
638,0.1526
639,0.1243
640,0.0949
641,0.1704
642,0.1715
643,0.1903
644,0.1548
645,0.1207
646,0.1229
647,0.2325
648,0.1206
649,0.0825
650,0.1430
651,0.1256
652,0.1570
653,0.1376
654,0.1482
655,0.1397
656,0.1575
657,0.1370
658,0.1265
659,0.1795
660,0.1071
661,0.2208
662,0.1275
663,0.1255
664,0.1207
665,0.1885
666,0.1088
667,0.1619
668,0.1917
669,0.1294
670,0.1413
671,0.1207
672,0.1494
673,0.1398
674,0.1091
675,0.1170
676,0.1888
677,0.1293
678,0.1127
679,0.1266
680,0.1372
681,0.0838
682,0.1757
683,0.1373
684,0.1646
685,0.0973
686,0.0671
687,0.1317
688,0.0998
689,0.1557
690,0.1399
691,0.1497
692,0.1102
693,0.1995
694,0.1777
695,0.1386
696,0.0975
697,0.1424
698,0.1741
699,0.1095
700,0.1610
701,0.1052
702,0.1527
703,0.2367
704,0.1461
705,0.1391
706,0.2925
707,0.1009
708,0.1536
709,0.2066
710,0.1572
711,0.1601
712,0.2267
713,0.2322
714,0.1928
715,0.1439
716,0.1402
717,0.1461
718,0.1414
719,0.1302
720,0.1806
721,0.0954
722,0.1265
723,0.1248
724,0.1930
725,0.1286
726,0.1663
727,0.1125
728,0.1157
729,0.0952
730,0.1253
731,0.1493
732,0.2895
733,0.0882
734,0.1694
735,0.2038
736,0.1875
737,0.0635
738,0.1057
739,0.2315
740,0.0903
741,0.1622
742,0.1555
743,0.1326
744,0.1028
