mini_batch_iteration,loss
0,0.7146
1,0.6402
2,0.3856
3,0.3518
4,0.5039
5,0.3164
6,0.5562
7,0.3603
8,0.3144
9,0.2941
10,0.3200
11,0.3606
12,0.3608
13,0.2228
14,0.1896
15,0.3464
16,0.3538
17,0.2392
18,0.2158
19,0.2501
20,0.4448
21,0.2771
22,0.1871
23,0.2609
24,0.2580
25,0.6198
26,0.2493
27,0.2003
28,0.2549
29,0.2938
30,0.2014
31,0.2166
32,0.1605
33,0.1974
34,0.2949
35,0.2260
36,0.2289
37,0.1467
38,0.2288
39,0.2536
40,0.1895
41,0.1935
42,0.3068
43,0.1805
44,0.3131
45,0.1801
46,0.2369
47,0.1943
48,0.2409
49,0.1998
50,0.2886
51,0.1403
52,0.2026
53,0.2100
54,0.3206
55,0.1812
56,0.1176
57,0.1675
58,0.3509
59,0.4513
60,0.2309
61,0.2114
62,0.2004
63,0.1950
64,0.2131
65,0.1760
66,0.1805
67,0.1550
68,0.2837
69,0.1531
70,0.2077
71,0.1850
72,0.1653
73,0.2481
74,0.1223
75,0.2618
76,0.1945
77,0.2810
78,0.2406
79,0.2644
80,0.2453
81,0.2105
82,0.2063
83,0.1949
84,0.1954
85,0.2137
86,0.1827
87,0.2858
88,0.1015
89,0.3089
90,0.2957
91,0.2040
92,0.4038
93,0.2903
94,0.2073
95,0.2968
96,0.2973
97,0.3358
98,0.2983
99,0.2024
100,0.1701
101,0.1611
102,0.1969
103,0.2516
104,0.1724
105,0.2040
106,0.1572
107,0.1605
108,0.1518
109,0.1099
110,0.2113
111,0.2506
112,0.2416
113,0.2019
114,0.1316
115,0.1883
116,0.2884
117,0.1927
118,0.3602
119,0.1832
120,0.2393
121,0.1586
122,0.2124
123,0.2189
124,0.2691
125,0.2211
126,0.1321
127,0.1573
128,0.1524
129,0.1382
130,0.1988
131,0.1890
132,0.1830
133,0.1565
134,0.2036
135,0.2007
136,0.1735
137,0.1305
138,0.2364
139,0.1214
140,0.2769
141,0.1362
142,0.3384
143,0.2163
144,0.1775
145,0.1464
146,0.1909
147,0.1976
148,0.1308
149,0.2355
150,0.2098
151,0.2658
152,0.1347
153,0.1782
154,0.1451
155,0.1355
156,0.2329
157,0.1888
158,0.1457
159,0.0742
160,0.2091
161,0.2280
162,0.1278
163,0.2418
164,0.1551
165,0.1442
166,0.1730
167,0.1907
168,0.1419
169,0.2392
170,0.1922
171,0.2009
172,0.1611
173,0.1297
174,0.2216
175,0.1362
176,0.1959
177,0.2245
178,0.2066
179,0.1379
180,0.1659
181,0.2005
182,0.1737
183,0.1788
184,0.1699
185,0.2415
186,0.1321
187,0.1573
188,0.1748
189,0.1525
190,0.2217
191,0.2158
192,0.1533
193,0.2741
194,0.1811
195,0.1406
196,0.1498
197,0.2126
198,0.1731
199,0.2726
200,0.1840
201,0.4498
202,0.1617
203,0.1703
204,0.1893
205,0.1778
206,0.2183
207,0.1666
208,0.2827
209,0.1582
210,0.1771
211,0.1380
212,0.1258
213,0.1458
214,0.1541
215,0.1023
216,0.2419
217,0.1932
218,0.1554
219,0.1405
220,0.1842
221,0.1492
222,0.1315
223,0.1284
224,0.1626
225,0.1362
226,0.1218
227,0.1544
228,0.2502
229,0.0968
230,0.1695
231,0.1111
232,0.1347
233,0.1628
234,0.0936
235,0.1062
236,0.3336
237,0.1355
238,0.1428
239,0.2218
240,0.2410
241,0.1285
242,0.3977
243,0.1592
244,0.1428
245,0.2571
246,0.1467
247,0.2669
248,0.1127
249,0.1627
250,0.2001
251,0.1261
252,0.1191
253,0.1359
254,0.2849
255,0.2025
256,0.1676
257,0.1928
258,0.1441
259,0.1485
260,0.1261
261,0.1871
262,0.1222
263,0.2489
264,0.1442
265,0.1301
266,0.1606
267,0.1811
268,0.2430
269,0.1394
270,0.1365
271,0.1146
272,0.1477
273,0.1334
274,0.3435
275,0.1329
276,0.1691
277,0.1229
278,0.1565
279,0.1747
280,0.1520
281,0.2087
282,0.1794
283,0.1981
284,0.1502
285,0.1184
286,0.3017
287,0.1994
288,0.2552
289,0.1417
290,0.1400
291,0.1682
292,0.1838
293,0.2398
294,0.1441
295,0.1627
296,0.2610
297,0.2504
298,0.1337
299,0.1715
300,0.1347
301,0.1376
302,0.1498
303,0.1418
304,0.1382
305,0.1270
306,0.1910
307,0.2977
308,0.1733
309,0.0769
310,0.1011
311,0.1483
312,0.1422
313,0.1338
314,0.1166
315,0.1068
316,0.2300
317,0.1805
318,0.3835
319,0.2039
320,0.2454
321,0.1974
322,0.2121
323,0.1490
324,0.1768
325,0.1586
326,0.2070
327,0.2063
328,0.2387
329,0.2061
330,0.1483
331,0.1300
332,0.1399
333,0.1576
334,0.1415
335,0.2750
336,0.2191
337,0.2040
338,0.1465
339,0.2231
340,0.1567
341,0.1708
342,0.1773
343,0.1410
344,0.2009
345,0.2082
346,0.1663
347,0.1865
348,0.2796
349,0.2407
350,0.1808
351,0.1124
352,0.2282
353,0.1408
354,0.1827
355,0.1404
356,0.1553
357,0.1988
358,0.1853
359,0.1654
360,0.2255
361,0.1418
362,0.1346
363,0.1317
364,0.1156
365,0.1704
366,0.1720
367,0.1770
368,0.1847
369,0.1820
370,0.0924
371,0.1110
372,0.1187
373,0.1684
374,0.1118
375,0.1438
376,0.0923
377,0.0962
378,0.0915
379,0.2567
380,0.2349
381,0.0857
382,0.1612
383,0.0793
384,0.1743
385,0.3387
386,0.3019
387,0.2479
388,0.1033
389,0.2007
390,0.1828
391,0.1493
392,0.1956
393,0.2009
394,0.1700
395,0.1521
396,0.1505
397,0.2144
398,0.1250
399,0.1344
400,0.0868
401,0.1088
402,0.0707
403,0.0644
404,0.1956
405,0.2598
406,0.1450
407,0.2212
408,0.1534
409,0.1385
410,0.1347
411,0.1254
412,0.1800
413,0.2385
414,0.0995
415,0.1178
416,0.1509
417,0.1178
418,0.1167
419,0.1731
420,0.1108
421,0.0919
422,0.0921
423,0.1432
424,0.1632
425,0.1158
426,0.1512
427,0.1689
428,0.1178
429,0.1883
430,0.1895
431,0.1497
432,0.1136
433,0.1067
434,0.1073
435,0.1150
436,0.1381
437,0.0685
438,0.1363
439,0.1268
440,0.2236
441,0.1633
442,0.2411
443,0.1163
444,0.1365
445,0.0935
446,0.1524
447,0.1089
448,0.1784
449,0.0751
450,0.2030
451,0.1382
452,0.0925
453,0.1404
454,0.2515
455,0.1929
456,0.1236
457,0.1207
458,0.1402
459,0.0961
460,0.1615
461,0.1824
462,0.1092
463,0.1196
464,0.1322
465,0.2041
466,0.1253
467,0.1009
468,0.0868
469,0.0669
470,0.2372
471,0.1024
472,0.1853
473,0.1365
474,0.1438
475,0.1243
476,0.1360
477,0.1541
478,0.1583
479,0.1365
480,0.1338
481,0.0998
482,0.1010
483,0.0691
484,0.1073
485,0.1003
486,0.3157
487,0.1935
488,0.2093
489,0.1925
490,0.1817
491,0.1885
492,0.1021
493,0.1337
494,0.1059
495,0.1219
496,0.1463
497,0.1297
498,0.1655
499,0.2344
500,0.2331
501,0.1800
502,0.1562
503,0.1617
504,0.1937
505,0.1773
506,0.1397
507,0.1977
508,0.1451
509,0.1895
510,0.0682
511,0.1963
512,0.1081
513,0.1836
514,0.1332
515,0.1204
516,0.0935
517,0.2355
518,0.1575
519,0.1684
520,0.1830
521,0.1756
522,0.0920
523,0.0951
524,0.0752
525,0.1026
526,0.0974
527,0.1365
528,0.0920
529,0.1434
530,0.1166
531,0.1238
532,0.1324
533,0.1591
534,0.0600
535,0.1134
536,0.1355
537,0.0829
