mini_batch_iteration,loss
0,0.6979
1,0.5307
2,0.3814
3,0.2808
4,0.2233
5,0.2892
6,0.3737
7,0.4761
8,0.2341
9,0.3120
10,0.2332
11,0.1989
12,0.2429
13,0.2262
14,0.2440
15,0.2047
16,0.2741
17,0.3080
18,0.3440
19,0.3402
20,0.3245
21,0.2993
22,0.4059
23,0.1864
24,0.2251
25,0.2473
26,0.2550
27,0.2675
28,0.3213
29,0.2521
30,0.2528
31,0.3069
32,0.2266
33,0.2639
34,0.1355
35,0.2057
36,0.3518
37,0.2963
38,0.2221
39,0.2608
40,0.3148
41,0.1849
42,0.2783
43,0.1441
44,0.2383
45,0.1662
46,0.3008
47,0.2061
48,0.2465
49,0.3152
50,0.2060
51,0.2325
52,0.2045
53,0.2837
54,0.2202
55,0.2670
56,0.1840
57,0.1731
58,0.1741
59,0.1472
60,0.2894
61,0.2502
62,0.2158
63,0.1794
64,0.2032
65,0.2349
66,0.1612
67,0.1974
68,0.2159
69,0.1972
70,0.2237
71,0.1921
72,0.1841
73,0.1596
74,0.2391
75,0.1444
76,0.1643
77,0.1466
78,0.2728
79,0.1317
80,0.2517
81,0.1698
82,0.3103
83,0.2173
84,0.1163
85,0.1826
86,0.2183
87,0.1686
88,0.1550
89,0.2471
90,0.2645
91,0.2376
92,0.3429
93,0.1951
94,0.2271
95,0.1990
96,0.2016
97,0.2149
98,0.1390
99,0.1249
100,0.1449
101,0.1495
102,0.1854
103,0.1403
104,0.2442
105,0.2248
106,0.0874
107,0.3815
108,0.1844
109,0.1948
110,0.2229
111,0.1364
112,0.1839
113,0.2025
114,0.1751
115,0.2182
116,0.2105
117,0.1844
118,0.2450
119,0.1668
120,0.1792
121,0.2030
122,0.1725
123,0.1424
124,0.1360
125,0.1856
126,0.1722
127,0.1514
128,0.1359
129,0.1960
130,0.1965
131,0.4158
132,0.1687
133,0.1354
134,0.2619
135,0.2129
136,0.1641
137,0.1708
138,0.1472
139,0.2672
140,0.1358
141,0.1448
142,0.2764
143,0.2502
144,0.1412
145,0.1290
146,0.2749
147,0.1540
148,0.2583
149,0.1552
150,0.1841
151,0.2459
152,0.1981
153,0.3402
154,0.2684
155,0.2108
156,0.2541
157,0.2351
158,0.1820
159,0.1487
160,0.3054
161,0.1895
162,0.1200
163,0.2384
164,0.1649
165,0.1608
166,0.1743
167,0.2523
168,0.1304
169,0.1794
170,0.1816
171,0.1143
172,0.1517
173,0.1639
174,0.1692
175,0.1250
176,0.1364
177,0.1306
178,0.1956
179,0.2217
180,0.2101
181,0.1495
182,0.1368
183,0.2462
184,0.1187
