mini_batch_iteration,loss
0,0.6884
1,0.6796
2,0.6538
3,0.6790
4,0.6902
5,0.7294
6,0.7301
7,0.6591
8,0.7400
9,0.5874
10,0.7065
11,0.6762
12,0.6831
13,0.6782
14,0.6609
15,0.6964
16,0.6718
17,0.6850
18,0.6684
19,0.6733
20,0.6897
21,0.6261
22,0.6195
23,0.6362
24,0.5110
25,0.6254
26,0.8167
27,0.6604
28,0.5808
29,0.5341
30,0.6168
31,0.6260
32,0.6026
33,0.7794
34,0.5369
35,0.5621
36,0.5769
37,0.5686
38,0.6304
39,0.6425
40,0.6828
41,0.6332
42,0.5843
43,0.6649
44,0.6212
45,0.6014
46,0.6483
47,0.6941
48,0.7209
49,0.5491
50,0.5947
51,0.5309
52,0.5239
53,0.6068
54,0.5780
55,0.6632
56,0.6677
57,0.5354
58,0.5759
59,0.6562
60,0.5826
61,0.6179
62,0.5822
63,0.5617
64,0.5909
65,0.6015
66,0.6095
67,0.6780
68,0.5697
69,0.5900
70,0.5722
71,0.6271
72,0.6032
73,0.6503
74,0.5757
75,0.5297
76,0.5604
77,0.5873
78,0.5108
79,0.6027
80,0.6988
81,0.5382
82,0.6261
83,0.5600
84,0.6655
85,0.6757
86,0.5274
87,0.6006
88,0.6854
89,0.6092
90,0.5904
91,0.5948
92,0.6710
93,0.6944
94,0.5120
95,0.5140
96,0.5397
97,0.6482
98,0.5889
99,0.5768
100,0.6919
101,0.5138
102,0.6548
103,0.5235
104,0.5478
105,0.5613
106,0.5669
107,0.5238
108,0.6091
109,0.6111
110,0.5554
111,0.4996
112,0.4933
113,0.6369
114,0.5353
115,0.4955
116,0.5606
117,0.4406
118,0.4959
119,0.6276
120,0.5463
121,0.6116
122,0.5429
123,0.5029
124,0.5956
125,0.5840
126,0.5550
127,0.7476
128,0.5003
129,0.7738
130,0.4652
131,0.5387
132,0.5701
133,0.6176
134,0.6038
135,0.5653
136,0.5336
137,0.6236
138,0.6809
139,0.6438
140,0.6005
141,0.5286
142,0.5161
143,0.6708
144,0.4985
145,0.6622
146,0.5200
147,0.5320
148,0.5574
149,0.5668
150,0.4922
151,0.5480
152,0.5198
153,0.4958
154,0.5961
155,0.4739
156,0.5009
157,0.5813
158,0.6597
159,0.6532
160,0.5927
161,0.4879
162,0.4669
163,0.6967
164,0.5048
165,0.5170
166,0.5655
167,0.4636
168,0.4971
169,0.4758
170,0.5489
171,0.4622
172,0.5472
173,0.7995
174,0.5789
175,0.5500
176,0.5453
177,0.6593
178,0.4566
179,0.5037
180,0.5714
181,0.5593
182,0.5085
183,0.5230
184,0.5495
185,0.5681
186,0.6521
187,0.4896
188,0.5976
189,0.4946
190,0.5041
191,0.5081
192,0.5462
193,0.6018
194,0.5898
195,0.5106
196,0.5091
197,0.5826
198,0.6571
199,0.4938
200,0.4392
201,0.5225
202,0.4442
203,0.4631
204,0.5147
205,0.4037
206,0.5116
207,0.4583
208,0.5542
209,0.4773
210,0.4799
211,0.4307
212,0.5260
213,0.4515
214,0.4221
215,0.3973
216,0.4115
217,0.5006
218,0.3771
219,0.5239
220,0.4578
221,0.5816
222,0.5124
223,0.4405
224,0.4931
225,0.3818
226,0.5567
227,0.5411
228,0.5003
229,0.4264
230,0.7285
231,0.4624
232,0.4771
233,0.4487
234,0.4279
235,0.5615
236,0.5084
237,0.4603
238,0.5684
239,0.4676
240,0.4962
241,0.5566
242,0.5110
243,0.5610
244,0.4800
245,0.5951
246,0.4732
247,0.4120
248,0.4886
249,0.4271
250,0.4769
251,0.5172
252,0.3593
253,0.5228
254,0.5180
255,0.5681
256,0.4604
257,0.5041
258,0.3313
259,0.4441
260,0.4068
261,0.5197
262,0.4175
263,0.5081
264,0.4720
265,0.5050
266,0.5830
267,0.4108
268,0.4558
269,0.6676
270,0.6417
271,0.4677
272,0.4133
273,0.4072
274,0.4812
275,0.5078
276,0.3961
277,0.5255
278,0.4784
279,0.4749
280,0.5647
281,0.4743
282,0.5952
283,0.5067
284,0.4327
285,0.5062
286,0.5662
287,0.6219
288,0.5823
289,0.5272
290,0.6644
291,0.5974
292,0.4914
293,0.4732
294,0.4696
295,0.5157
296,0.4965
297,0.6158
298,0.3706
299,0.5850
300,0.4853
301,0.5567
302,0.4334
303,0.4181
304,0.4809
305,0.5545
306,0.5180
307,0.4762
308,0.5727
309,0.3797
310,0.5133
311,0.4354
312,0.4368
313,0.4533
314,0.4815
315,0.6067
316,0.4264
317,0.4599
318,0.5313
319,0.6568
320,0.7494
321,0.5539
322,0.5097
323,0.4573
324,0.4940
325,0.5075
326,0.5071
327,0.4108
328,0.5815
329,0.7837
330,0.4699
331,0.5027
332,0.4613
333,0.5277
334,0.4327
335,0.6018
336,0.3933
337,0.4831
338,0.4800
339,0.5683
340,0.5692
341,0.5238
342,0.5868
343,0.5298
344,0.5256
345,0.5591
346,0.5243
347,0.4577
348,0.5283
349,0.5158
350,0.4835
351,0.4787
352,0.5031
353,0.5369
354,0.4132
355,0.3896
356,0.4516
357,0.4008
358,0.6219
359,0.4709
360,0.7029
361,0.4923
362,0.4737
363,0.4518
364,0.5640
365,0.6293
366,0.5365
367,0.4588
368,0.6362
369,0.4674
370,0.5760
371,0.5333
372,0.5030
373,0.4964
374,0.4649
375,0.5014
376,0.4288
377,0.4570
378,0.4219
379,0.4611
380,0.5479
381,0.5102
382,0.5357
383,0.4953
384,0.4337
385,0.4958
386,0.4571
387,0.5915
388,0.4308
389,0.5075
390,0.5227
391,0.5123
392,0.5028
393,0.4380
394,0.4556
395,0.5058
396,0.4659
397,0.4733
398,0.4553
399,0.5915
400,0.4660
401,0.4596
402,0.4367
403,0.4398
404,0.3852
405,0.3905
406,0.4973
407,0.4246
408,0.4519
409,0.4699
410,0.4854
411,0.3878
412,0.4065
413,0.3460
414,0.5090
415,0.3766
416,0.4837
417,0.4059
418,0.4572
419,0.3369
420,0.4293
421,0.3896
422,0.4707
423,0.3900
424,0.5726
425,0.3685
426,0.4102
427,0.4988
428,0.5251
429,0.4264
430,0.4383
431,0.4148
432,0.4388
433,0.3731
434,0.4175
435,0.5039
436,0.4286
437,0.3888
438,0.4319
439,0.4156
440,0.4495
441,0.3946
442,0.3623
443,0.4035
444,0.4128
445,0.4888
446,0.4824
447,0.4597
448,0.4470
449,0.3679
450,0.3913
451,0.3630
452,0.4771
453,0.4592
454,0.3850
455,0.4798
456,0.4753
457,0.4962
458,0.4830
459,0.4699
460,0.4954
461,0.3517
462,0.3812
463,0.4214
464,0.4178
465,0.4061
466,0.5005
467,0.4295
468,0.5297
469,0.6057
470,0.4804
471,0.5382
472,0.4038
473,0.4235
474,0.4397
475,0.4379
476,0.4619
477,0.5844
478,0.3973
479,0.4932
480,0.4002
481,0.5653
482,0.4428
483,0.3644
484,0.5490
485,0.5988
486,0.4764
487,0.4634
488,0.4212
489,0.4980
490,0.4984
491,0.3829
492,0.4685
493,0.5182
494,0.7520
495,0.4303
496,0.4199
497,0.5096
498,0.4436
499,0.4474
500,0.4401
501,0.5091
502,0.4826
503,0.4742
504,0.3969
505,0.5211
506,0.4206
507,0.4390
508,0.4190
509,0.3571
510,0.4241
511,0.4421
512,0.5071
513,0.4355
514,0.4232
515,0.3270
516,0.4384
517,0.4954
518,0.5141
519,0.4212
520,0.4365
521,0.2641
522,0.5813
523,0.3285
524,0.3900
525,0.5360
526,0.4120
527,0.3672
528,0.4189
529,0.4377
530,0.3705
531,0.4396
532,0.5898
533,0.4044
534,0.4256
535,0.4917
536,0.5126
537,0.5733
538,0.3882
539,0.5676
540,0.3801
541,0.3995
542,0.3576
543,0.3853
544,0.4641
545,0.3331
546,0.4580
547,0.5276
548,0.4200
549,0.3487
550,0.3832
551,0.6126
552,0.4157
553,0.4383
554,0.3314
555,0.6223
556,0.6016
557,0.5899
558,0.4929
559,0.5810
560,0.3398
561,0.3633
562,0.3964
563,0.4185
564,0.3689
565,0.3812
566,0.4839
567,0.4542
568,0.5352
569,0.4090
570,0.3835
571,0.3422
572,0.4070
573,0.4763
574,0.4480
575,0.4407
576,0.4121
577,0.4542
578,0.4209
579,0.4837
580,0.4310
581,0.4373
582,0.3923
583,0.4607
584,0.5119
585,0.4364
586,0.2869
587,0.4068
588,0.3654
589,0.4345
590,0.6019
591,0.4783
592,0.5708
593,0.3985
594,0.6165
595,0.4009
596,0.4375
597,0.5545
598,0.4578
599,0.4319
600,0.4764
601,0.4146
602,0.4223
603,0.3058
604,0.4311
605,0.3690
606,0.3610
607,0.3508
608,0.3637
609,0.3920
610,0.4004
611,0.3087
612,0.4466
613,0.3857
614,0.3779
615,0.3477
616,0.3365
617,0.4497
618,0.3164
619,0.5792
620,0.4418
621,0.3509
622,0.4018
623,0.2604
624,0.2861
625,0.3627
626,0.4523
627,0.4113
628,0.3317
629,0.3480
630,0.3387
631,0.3886
632,0.3018
633,0.4670
634,0.4095
635,0.3710
636,0.3861
637,0.3198
638,0.3573
639,0.4970
640,0.4226
641,0.3754
642,0.3840
643,0.3312
644,0.3524
645,0.3619
646,0.4951
647,0.2961
648,0.3397
649,0.4771
650,0.4193
651,0.4807
652,0.4965
653,0.3599
654,0.4450
655,0.3244
656,0.4184
657,0.3776
658,0.4051
659,0.3551
660,0.3975
661,0.3589
662,0.3919
663,0.2827
664,0.3096
665,0.3238
666,0.4285
667,0.4077
668,0.3894
669,0.5662
670,0.3408
671,0.4894
672,0.4474
673,0.4179
674,0.4647
675,0.5788
676,0.4408
677,0.4255
678,0.5008
679,0.3148
680,0.3848
681,0.3822
682,0.4613
683,0.3960
684,0.5452
685,0.4087
686,0.3433
687,0.4582
688,0.3892
689,0.4556
690,0.4358
691,0.3688
692,0.4405
693,0.3347
694,0.4141
695,0.3007
696,0.5274
697,0.3890
698,0.5131
699,0.3757
700,0.3551
701,0.3695
702,0.3295
703,0.3956
704,0.5336
705,0.3991
706,0.3119
707,0.2245
708,0.2892
709,0.5300
710,0.3688
711,0.3595
712,0.2899
713,0.3384
714,0.3913
715,0.3477
716,0.4371
717,0.5583
718,0.3154
719,0.4235
720,0.4057
721,0.3818
722,0.3894
723,0.3758
724,0.2363
725,0.4321
726,0.4454
727,0.5097
728,0.4024
729,0.3652
730,0.4620
731,0.4022
732,0.4605
733,0.3515
734,0.3187
735,0.4927
736,0.3357
737,0.4374
738,0.3379
739,0.3513
740,0.4811
741,0.3723
742,0.4401
743,0.3825
744,0.3989
745,0.4518
746,0.3463
747,0.4580
748,0.3936
749,0.4937
750,0.4160
751,0.4635
752,0.4786
753,0.5580
754,0.5698
755,0.4797
756,0.4302
757,0.4213
758,0.4034
759,0.4346
760,0.4208
761,0.4347
762,0.4837
763,0.4712
764,0.4602
765,0.5343
766,0.4646
767,0.4662
768,0.4740
769,0.6061
770,0.4075
771,0.4115
772,0.3548
773,0.4559
774,0.4011
775,0.5523
776,0.4525
777,0.3514
778,0.4730
779,0.4324
780,0.4822
781,0.3865
782,0.3936
783,0.3809
784,0.3594
785,0.4840
786,0.4686
787,0.3866
788,0.4487
789,0.4780
790,0.3742
791,0.4086
792,0.3942
793,0.3712
794,0.4808
795,0.4268
796,0.4266
797,0.4514
798,0.3088
799,0.3476
800,0.4796
801,0.4440
802,0.3868
803,0.2541
804,0.3355
805,0.4098
806,0.3726
807,0.3581
808,0.2732
809,0.3479
810,0.3294
811,0.2259
812,0.2641
813,0.4307
814,0.3737
815,0.3611
816,0.3337
817,0.3905
818,0.4060
819,0.3099
820,0.2845
821,0.3185
822,0.4143
823,0.3189
824,0.2770
825,0.5056
826,0.5687
827,0.3825
828,0.3861
829,0.3942
830,0.3014
831,0.3623
832,0.2770
833,0.3546
834,0.2966
835,0.3310
836,0.4478
837,0.4989
838,0.4027
839,0.3651
840,0.2902
841,0.3322
842,0.3505
843,0.3916
844,0.3900
845,0.3275
846,0.2867
847,0.3941
848,0.4231
849,0.4021
850,0.2870
851,0.3127
852,0.3529
853,0.4384
854,0.3198
855,0.4265
856,0.4633
857,0.3886
858,0.4554
859,0.3679
860,0.3583
861,0.4232
862,0.3124
863,0.2691
864,0.6680
865,0.3212
866,0.3429
867,0.4334
868,0.2960
869,0.3796
870,0.3353
871,0.3935
872,0.3136
873,0.3347
874,0.3232
875,0.3980
876,0.5252
877,0.4337
878,0.3302
879,0.4504
880,0.3399
881,0.3474
882,0.2393
883,0.3928
884,0.2526
885,0.3798
886,0.3831
887,0.4877
888,0.3255
889,0.2964
890,0.3914
891,0.3669
892,0.5513
893,0.3913
894,0.3637
895,0.3513
896,0.4121
897,0.3921
898,0.5697
899,0.5271
900,0.3253
901,0.4134
902,0.4444
903,0.3957
904,0.3596
905,0.3713
906,0.5438
907,0.3430
908,0.4529
909,0.4239
910,0.3319
911,0.4756
912,0.3979
913,0.3935
914,0.2965
915,0.4351
916,0.3254
917,0.4125
918,0.3250
919,0.3146
920,0.3768
921,0.3477
922,0.3234
923,0.3170
924,0.3403
925,0.3691
926,0.5120
927,0.2761
928,0.4969
929,0.2889
930,0.3268
931,0.3866
932,0.3064
933,0.3395
934,0.3362
935,0.5919
936,0.4536
937,0.4461
938,0.4283
939,0.3732
940,0.3330
941,0.4156
942,0.3698
943,0.4479
944,0.3642
945,0.3634
946,0.3474
947,0.2839
948,0.4080
949,0.3328
950,0.4464
951,0.4436
952,0.4442
