mini_batch_iteration,loss
0,0.6787
1,0.9354
2,0.6566
3,0.7195
4,0.6889
5,0.6317
6,0.6553
7,0.6117
8,0.6844
9,0.6705
10,0.7340
11,0.6260
12,0.7499
13,0.6827
14,0.6791
15,0.6408
16,0.6838
17,0.6605
18,0.6101
19,0.6280
20,0.7166
21,0.6802
22,0.6035
23,0.6416
24,0.6416
25,0.6946
26,0.6566
27,0.7031
28,0.6281
29,0.6118
30,0.7059
31,0.6782
32,0.6423
33,0.6668
34,0.6563
35,0.5819
36,0.6159
37,0.6657
38,0.6268
39,0.6181
40,0.5928
41,0.7392
42,0.6667
43,0.6022
44,0.6267
45,0.6351
46,0.6002
47,0.6252
48,0.5749
49,0.5557
50,0.6446
51,0.6781
52,0.6164
53,0.6740
54,0.5929
55,0.6441
56,0.6467
57,0.6041
58,0.6045
59,0.5800
60,0.6116
61,0.5979
62,0.6356
63,0.6615
64,0.6064
65,0.6360
66,0.5763
67,0.6060
68,0.7008
69,0.5892
70,0.7148
71,0.6190
72,0.7034
73,0.5657
74,0.6291
75,0.6035
76,0.6046
77,0.5904
78,0.5977
79,0.6478
80,0.6784
81,0.5698
82,0.5415
83,0.6105
84,0.6987
85,0.6262
86,0.6947
87,0.6255
88,0.6377
89,0.5937
90,0.6664
91,0.6307
92,0.6748
93,0.6032
94,0.6268
95,0.6159
96,0.6667
97,0.6014
98,0.6178
99,0.6349
100,0.6561
101,0.5684
102,0.6116
103,0.5749
104,0.5796
105,0.6003
106,0.6862
107,0.5704
108,0.5370
109,0.5966
110,0.6795
111,0.6360
112,0.6680
113,0.5940
114,0.6329
115,0.6569
116,0.5530
117,0.6914
118,0.5898
119,0.6571
120,0.5793
121,0.6161
122,0.5971
123,0.5924
124,0.5847
125,0.5693
126,0.6890
127,0.6196
128,0.6298
129,0.6202
130,0.5379
131,0.6519
132,0.5627
133,0.6895
134,0.6837
135,0.5853
136,0.6698
137,0.6709
138,0.5916
139,0.5585
140,0.6301
141,0.5899
142,0.6942
143,0.6049
144,0.5814
145,0.6061
146,0.6242
147,0.5836
148,0.6966
149,0.6056
150,0.6253
151,0.5480
152,0.6139
153,0.6704
154,0.5707
155,0.5821
156,0.6292
157,0.6874
158,0.5787
159,0.6130
160,0.5151
161,0.6092
162,0.6854
163,0.5914
164,0.6063
165,0.6555
166,0.6234
167,0.6687
168,0.5844
169,0.5506
170,0.5988
171,0.5748
172,0.6246
173,0.5563
174,0.6182
175,0.6294
176,0.6094
177,0.5030
178,0.5511
179,0.5860
180,0.5731
181,0.6219
182,0.6456
183,0.5549
184,0.6359
185,0.6060
186,0.5968
187,0.7133
188,0.5946
189,0.5922
190,0.6350
191,0.6016
192,0.5816
193,0.5865
194,0.6230
195,0.6397
196,0.6815
197,0.5488
198,0.6144
199,0.5647
200,0.5517
201,0.6202
202,0.5309
203,0.5790
204,0.5935
205,0.5382
206,0.5731
207,0.5482
208,0.5349
209,0.6409
210,0.5960
211,0.5783
212,0.6204
213,0.7424
214,0.5705
215,0.5700
216,0.5681
217,0.6429
218,0.6309
219,0.6281
220,0.6038
221,0.6729
222,0.5626
223,0.6061
224,0.5837
225,0.5739
226,0.5517
227,0.6014
228,0.6297
229,0.5595
230,0.6487
231,0.5924
232,0.6276
233,0.6221
234,0.6356
235,0.5838
236,0.5559
237,0.5602
238,0.5793
239,0.6190
240,0.5864
241,0.5410
242,0.5504
243,0.5230
244,0.6090
245,0.6274
246,0.6170
247,0.5703
248,0.5928
249,0.5474
250,0.5316
251,0.5790
252,0.5234
253,0.5467
254,0.6138
255,0.6392
256,0.5967
257,0.5277
258,0.5135
259,0.5863
260,0.5525
261,0.7232
262,0.6088
263,0.5648
264,0.5905
265,0.5534
266,0.5547
267,0.5733
268,0.5636
269,0.5494
270,0.5556
271,0.5666
272,0.6120
273,0.5289
274,0.5128
275,0.6460
276,0.5552
277,0.6797
278,0.6385
279,0.5989
280,0.5276
281,0.5673
282,0.6217
283,0.5806
284,0.5781
285,0.5653
286,0.6316
287,0.5756
288,0.5611
289,0.6416
290,0.6884
291,0.5461
292,0.5669
293,0.5239
294,0.5983
295,0.5692
296,0.5633
297,0.5347
298,0.6237
299,0.5112
300,0.6654
301,0.5586
302,0.5246
