mini_batch_iteration,loss
0,0.7317
1,0.7278
2,0.7685
3,0.6793
4,0.6922
5,0.7321
6,0.6984
7,0.6613
8,0.7481
9,0.7429
10,0.6690
11,0.6628
12,0.6717
13,0.6705
14,0.7053
15,0.6940
16,0.6680
17,0.6906
18,0.6615
19,0.6872
20,0.7017
21,0.7273
22,0.7180
23,0.6977
24,0.7198
25,0.7074
26,0.6876
27,0.6984
28,0.6535
29,0.6248
30,0.6494
31,0.6808
32,0.6899
33,0.6749
34,0.6523
35,0.6316
36,0.6843
37,0.6162
38,0.6650
39,0.6783
40,0.6499
41,0.6580
42,0.6650
43,0.7007
44,0.6548
45,0.6660
46,0.6343
47,0.7479
48,0.6638
49,0.6523
50,0.6376
51,0.6298
52,0.5994
53,0.6416
54,0.6738
55,0.6267
56,0.6330
57,0.6095
58,0.6652
59,0.6392
60,0.6628
61,0.6060
62,0.6318
63,0.6034
64,0.5888
65,0.6144
66,0.6267
67,0.6751
68,0.6174
69,0.6210
70,0.6899
71,0.6189
72,0.6146
73,0.6162
74,0.7159
75,0.6599
76,0.6244
77,0.6747
78,0.6636
79,0.6471
80,0.6124
81,0.6255
82,0.6681
83,0.6149
84,0.6648
85,0.6552
86,0.6829
87,0.6142
88,0.6919
89,0.6149
90,0.6325
91,0.7224
92,0.6697
93,0.6383
94,0.6201
95,0.6181
96,0.6195
97,0.6417
98,0.6537
99,0.6272
100,0.7307
101,0.5738
102,0.6363
103,0.6548
104,0.6235
105,0.6192
106,0.6346
107,0.6354
108,0.5997
109,0.5873
110,0.6372
111,0.6457
112,0.5950
113,0.6552
114,0.6339
115,0.6597
116,0.5837
117,0.5865
118,0.7139
119,0.5941
120,0.6603
121,0.6070
122,0.5479
123,0.5763
124,0.5585
125,0.7056
126,0.6540
127,0.6141
128,0.6598
129,0.5784
130,0.6130
131,0.5533
132,0.7201
133,0.6932
134,0.6195
135,0.6387
136,0.5919
137,0.6320
138,0.5864
139,0.6667
140,0.6155
141,0.6506
142,0.6295
143,0.6474
144,0.6404
145,0.5962
146,0.6406
147,0.6002
148,0.6317
149,0.6020
150,0.6298
151,0.6482
152,0.5889
153,0.6055
154,0.6284
155,0.6105
156,0.5848
157,0.5681
158,0.7376
159,0.5827
160,0.6821
161,0.5959
162,0.6299
163,0.6668
164,0.6222
165,0.6033
166,0.6126
167,0.6368
168,0.5689
169,0.5753
170,0.6394
171,0.6444
172,0.6573
173,0.5838
174,0.5966
175,0.6154
176,0.6187
177,0.6061
178,0.7138
179,0.5853
180,0.5751
181,0.6039
182,0.6450
183,0.6664
184,0.6176
185,0.6122
186,0.6435
187,0.6896
188,0.6069
189,0.6254
190,0.6170
191,0.6452
192,0.5890
193,0.5606
194,0.5892
195,0.5827
196,0.5145
197,0.6393
198,0.6539
199,0.6438
200,0.7517
201,0.5719
202,0.6800
203,0.5969
204,0.6325
205,0.6285
206,0.6660
207,0.5965
208,0.5686
209,0.7002
210,0.5749
211,0.6017
212,0.7100
213,0.6719
214,0.5987
215,0.5898
216,0.5553
217,0.6342
218,0.5833
219,0.5865
220,0.5879
221,0.6437
222,0.6077
223,0.5596
224,0.6136
225,0.5737
226,0.5710
227,0.5475
228,0.6072
229,0.7525
230,0.6244
231,0.6624
232,0.5857
233,0.5823
234,0.6266
235,0.6171
236,0.6144
237,0.6460
238,0.6030
239,0.6060
240,0.6501
241,0.6145
242,0.5683
243,0.6201
244,0.5741
245,0.6407
246,0.6362
247,0.6403
248,0.6113
249,0.5391
250,0.6017
251,0.5815
252,0.5254
253,0.6036
254,0.6497
255,0.6182
256,0.6067
257,0.5940
258,0.5825
259,0.6265
260,0.6287
261,0.5815
262,0.6766
263,0.5866
264,0.6350
265,0.5624
266,0.6040
267,0.5709
268,0.6376
269,0.5653
270,0.5985
271,0.5624
272,0.6114
273,0.6142
274,0.5405
275,0.5954
276,0.5942
277,0.6145
278,0.6198
279,0.5700
280,0.5905
281,0.6630
282,0.5465
283,0.5848
284,0.6362
285,0.6883
286,0.5404
287,0.5801
288,0.5902
289,0.5405
290,0.6310
291,0.6738
292,0.6050
293,0.5943
294,0.6066
295,0.5543
296,0.4955
297,0.6575
298,0.6158
299,0.6019
300,0.5830
301,0.5697
302,0.5576
303,0.6346
304,0.6583
305,0.5507
306,0.6007
307,0.5977
308,0.5925
309,0.6178
310,0.5510
311,0.5278
312,0.5529
313,0.5379
314,0.6494
315,0.5296
316,0.6516
317,0.6513
318,0.6046
319,0.5896
320,0.7307
321,0.5941
322,0.6944
323,0.6031
324,0.6253
325,0.6076
326,0.5839
327,0.6470
328,0.6124
329,0.5897
330,0.6332
331,0.5584
332,0.5243
333,0.6162
334,0.5797
335,0.5971
336,0.5917
337,0.5204
338,0.5527
339,0.5673
340,0.6246
341,0.5249
342,0.6142
343,0.6261
344,0.5582
345,0.5559
346,0.5069
347,0.5643
348,0.5854
349,0.5609
350,0.5671
351,0.5434
352,0.5544
353,0.5713
354,0.5507
355,0.5876
356,0.6020
357,0.5556
358,0.5543
359,0.5825
360,0.5694
361,0.6688
362,0.6410
363,0.5620
364,0.5660
365,0.5776
366,0.6554
367,0.5738
368,0.5756
369,0.6288
370,0.6125
371,0.6121
372,0.5770
373,0.5815
374,0.5907
375,0.5949
376,0.5713
377,0.5788
378,0.5845
379,0.5898
380,0.5810
381,0.5441
382,0.5764
383,0.5820
384,0.6020
385,0.6018
386,0.5777
387,0.6394
388,0.6118
389,0.5712
390,0.6214
391,0.5493
392,0.5597
393,0.5535
394,0.5961
395,0.5695
396,0.5054
397,0.5819
398,0.5744
399,0.5644
400,0.6141
401,0.5970
402,0.5885
403,0.7294
404,0.5499
405,0.6013
406,0.5371
407,0.5124
408,0.5738
409,0.6174
410,0.5671
411,0.6509
412,0.5459
413,0.6042
414,0.5818
415,0.6179
416,0.6755
417,0.6260
418,0.5968
419,0.6052
420,0.6100
421,0.5584
422,0.5669
423,0.5574
424,0.5843
425,0.5755
426,0.5770
427,0.5664
428,0.6058
429,0.5291
430,0.5656
431,0.6021
432,0.6107
433,0.6083
434,0.5630
435,0.5919
436,0.5664
437,0.6735
438,0.6027
439,0.5398
440,0.6463
441,0.5510
442,0.5629
443,0.5736
444,0.5692
445,0.6128
446,0.6020
447,0.5867
448,0.5707
449,0.6022
450,0.5509
451,0.5317
452,0.5695
453,0.6163
454,0.5431
455,0.5597
456,0.6458
457,0.5448
458,0.5962
459,0.5801
460,0.5606
461,0.5834
462,0.5982
463,0.5385
464,0.5485
465,0.5059
466,0.5198
467,0.5148
