mini_batch_iteration,loss
0,0.7022
1,0.7536
2,12.8466
3,2.7128
4,2.8879
5,1.4113
6,0.8421
7,0.7225
8,0.7649
9,0.6994
10,0.6506
11,0.6229
12,0.6528
13,0.5686
14,0.6202
15,0.5999
16,0.6301
17,0.6436
18,0.6114
19,0.6246
20,0.5676
21,0.5835
22,0.5989
23,0.5755
24,0.6143
25,0.5654
26,0.5526
27,0.5179
28,0.5672
29,0.5146
30,0.5125
31,0.5052
32,0.6341
33,0.4681
34,0.4407
35,0.4530
36,0.5557
37,0.4607
38,0.4942
39,0.4177
40,0.5461
41,0.4342
42,0.4456
43,0.4868
44,0.4620
45,0.5800
46,1.8426
47,0.4667
48,0.5082
49,0.5039
50,0.4987
51,0.4847
52,0.4349
53,0.4549
54,0.4265
55,0.3775
56,0.5028
57,0.4309
58,0.3619
59,0.4131
60,0.3756
61,0.3746
62,0.3655
63,0.5179
64,0.3577
65,0.4019
66,1.0050
67,0.3255
68,0.5201
69,0.3901
70,0.3724
71,0.4687
72,0.3767
73,0.3725
74,0.3167
75,0.4430
76,0.4796
77,0.5446
78,0.4078
79,0.4492
80,0.4881
81,0.6824
82,0.4358
83,0.3993
84,0.4372
85,0.3717
86,0.3200
87,0.3657
88,0.4216
89,0.3618
90,0.3409
91,0.2180
92,0.3512
93,0.3993
94,0.2924
95,0.3674
96,0.3284
97,0.4164
98,0.3186
99,0.2977
100,0.3700
101,0.3009
102,0.2032
103,0.4201
104,0.2100
105,0.6082
106,0.2681
107,0.2875
108,0.4253
109,0.4133
110,0.4211
111,0.3442
112,0.3609
113,0.3769
114,0.3664
115,0.3094
116,0.4418
117,0.3306
118,0.2452
119,0.3126
120,0.3334
121,0.3710
122,0.2032
123,0.3231
124,0.2427
125,0.5406
126,0.3350
127,0.3602
128,0.3333
129,0.3014
130,0.3073
131,0.3043
132,0.3331
133,0.3285
134,0.4174
135,0.2853
136,0.2942
137,0.3065
138,0.3476
139,0.2239
140,0.3492
141,0.3640
142,0.3124
143,0.2462
144,0.2676
145,0.4178
146,0.2353
147,0.2670
148,0.4526
149,0.2353
150,0.4034
151,0.3038
152,0.3879
153,0.2841
154,0.3158
155,0.3554
156,0.2652
157,0.3278
158,0.2636
159,0.5070
160,0.3481
161,0.2683
162,0.3155
163,0.3039
164,0.2271
165,0.2649
166,0.2160
167,0.2713
168,0.3320
169,0.2433
170,0.2121
171,0.4043
172,0.1818
173,0.2623
174,0.2883
175,0.3200
176,0.3612
177,0.2762
178,0.3299
179,0.3128
180,0.2681
181,0.3313
182,0.2862
183,0.2436
184,0.4921
185,0.2511
186,0.3073
187,0.3091
188,0.2653
189,0.2371
190,0.3869
191,0.3370
192,0.2554
193,0.4328
194,0.3189
195,0.2763
196,0.2368
197,0.2798
198,0.2209
199,0.4479
200,0.3894
201,0.2908
202,0.2545
203,0.3027
204,0.2558
205,0.2897
206,0.2647
207,0.2806
208,0.2668
209,0.3027
210,0.1962
211,0.3008
212,0.2328
213,0.2495
214,0.4675
215,0.2308
216,0.2350
217,0.1802
218,0.2656
219,0.2068
220,0.3229
221,0.2611
222,0.2311
223,0.2629
224,0.3077
225,0.2956
226,0.4857
227,0.2541
228,0.3479
229,0.3519
230,0.2321
231,0.2201
232,0.3206
233,0.1794
234,0.3010
235,0.1736
236,0.3970
237,0.3620
238,0.2635
239,0.2477
240,0.2270
241,0.3351
242,0.2233
243,0.2531
244,0.2794
245,0.2533
246,0.3950
247,0.3331
248,0.3674
249,0.4310
250,0.2884
251,0.3015
252,0.3226
253,0.3195
254,0.3757
255,0.2541
256,0.3162
257,0.3463
258,0.2345
259,0.3377
260,0.3131
261,0.2446
262,0.3679
263,0.2650
264,0.3215
265,0.2538
266,0.2749
267,0.2522
268,0.3229
269,0.2884
270,0.3165
271,0.3414
272,0.2339
273,0.2372
274,0.2525
275,0.2399
276,0.2660
277,0.3278
278,0.3089
279,0.3702
280,0.3354
281,0.2723
282,0.2390
283,0.2562
284,0.3139
285,0.2405
286,0.2816
287,0.2124
288,0.3011
289,0.3861
290,0.2179
291,0.2236
292,0.2767
293,0.2441
294,0.2096
295,0.4233
296,0.3306
297,0.3439
298,0.3154
299,0.2875
300,0.2493
301,0.2916
302,0.1961
303,0.3411
304,0.2752
305,0.2998
306,0.3288
307,0.2137
308,0.2390
309,0.2912
310,0.3319
311,0.3366
312,0.1920
313,0.1962
314,0.2954
315,0.5460
316,0.4954
317,0.3209
318,0.2705
319,0.2412
320,0.2634
321,0.2816
322,0.2271
323,0.3270
324,0.2816
325,0.2422
326,0.2559
327,0.3123
328,0.3415
329,0.3068
330,0.3221
331,0.3275
332,0.2667
333,0.2556
334,0.3824
335,0.2122
336,0.1898
337,0.4397
338,0.3197
339,0.2476
340,0.2478
341,0.2107
342,0.1832
343,0.2585
344,0.3155
345,0.3240
346,0.2524
347,0.2699
348,0.2509
349,0.1993
350,0.2462
351,0.3486
352,0.3195
353,0.3195
354,0.2650
355,0.2505
356,0.2784
357,0.3180
358,0.2030
359,0.2395
360,0.2578
361,0.3127
362,0.2373
363,0.2955
364,0.1978
365,0.3034
366,0.2613
367,0.1894
368,0.2408
369,0.3233
370,0.2826
371,0.3325
372,0.2014
373,0.2724
374,0.1984
375,0.2576
376,0.3323
377,0.2370
378,0.3502
379,0.2713
380,0.1893
381,0.3218
382,0.4487
383,0.2938
384,0.2885
385,0.2981
386,0.2545
387,0.3373
388,0.3001
389,0.3100
390,0.3243
391,0.3119
392,0.2064
393,0.3551
394,0.2146
395,0.2835
396,0.2422
397,0.2556
398,0.2173
399,0.4916
400,0.2771
401,0.3359
402,0.2050
403,0.4546
404,0.5124
405,0.2199
406,0.2893
407,0.2408
408,0.1885
409,0.3703
410,0.4475
411,0.2229
412,0.2645
413,0.3737
414,0.3324
415,0.2686
416,0.3100
417,0.3182
418,0.2904
419,0.2750
420,0.2929
421,0.2661
422,0.2531
423,0.2250
424,0.2246
425,0.2172
426,0.3726
427,0.2872
428,0.2818
429,0.1751
430,0.2557
431,0.2125
432,0.2746
433,0.3494
434,0.2796
435,0.2987
436,0.1581
437,0.3628
438,0.2415
439,0.2009
440,0.2784
441,0.2337
442,0.2676
443,0.2738
444,0.3220
445,0.2633
446,0.3021
447,0.3636
448,0.3066
449,0.3205
450,0.2840
451,0.2507
452,0.2716
453,0.3573
454,0.2740
455,0.3189
456,0.2869
457,0.2495
458,0.2268
459,0.2065
460,0.2676
461,0.2970
462,0.1993
463,0.2643
464,0.2856
465,0.3662
466,0.2803
467,0.2674
468,0.3334
469,0.2824
470,0.3589
471,0.2664
472,0.2255
473,0.2801
474,0.2721
475,0.1882
476,0.3057
477,0.4269
478,0.2131
479,0.1535
480,0.2795
481,0.2446
482,0.2238
483,0.2383
484,0.3329
485,0.2794
486,0.2625
487,0.3516
488,0.2745
489,0.2557
490,0.1926
491,0.2809
492,0.2558
493,0.2517
494,0.3149
495,0.2013
496,0.2734
497,0.1689
