mini_batch_iteration,loss
0,0.7047
1,1.2364
2,0.7262
3,0.7016
4,0.8148
5,0.8412
6,0.7100
7,0.6985
8,0.7028
9,0.7047
10,0.6779
11,0.6727
12,0.6703
13,0.6461
14,0.7117
15,0.6985
16,0.6479
17,0.6348
18,0.6558
19,0.6360
20,0.6334
21,0.6777
22,0.7094
23,0.6502
24,0.6798
25,0.6526
26,0.6688
27,0.6685
28,0.6537
29,0.6458
30,0.6362
31,0.6335
32,0.6629
33,0.6542
34,0.7470
35,0.6384
36,0.6021
37,0.6577
38,0.6316
39,0.6222
40,0.6959
41,0.6464
42,0.6255
43,0.6748
44,0.6837
45,0.6650
46,0.6439
47,0.6968
48,0.6950
49,0.6842
50,0.6330
51,0.6632
52,0.6559
53,0.6506
54,0.6526
55,0.6577
56,0.6764
57,0.6073
58,0.6557
59,0.6432
60,0.6659
61,0.6493
62,0.6848
63,0.6894
64,0.6579
65,0.6448
66,0.6471
67,0.6659
68,0.6237
69,0.6763
70,0.6731
71,0.6522
72,0.6431
73,0.6552
74,0.6174
75,0.6530
76,0.6471
77,0.6466
78,0.6882
79,0.6350
80,0.6306
81,0.6657
82,0.6394
83,0.6548
84,0.6518
85,0.6532
86,0.6329
87,0.6446
88,0.6337
89,0.5911
90,0.6170
91,0.7212
92,0.6388
93,0.6221
94,0.6197
95,0.6356
96,0.6408
97,0.6731
98,0.6793
99,0.6670
100,0.6704
101,0.6474
102,0.6419
103,0.6401
104,0.6420
105,0.6415
106,0.7048
107,0.6454
108,0.6639
109,0.6572
110,0.6204
111,0.6539
112,0.6752
113,0.6620
114,0.7123
115,0.6759
116,0.6397
117,0.6711
118,0.6453
119,0.6730
120,0.6508
121,0.6359
122,0.6282
123,0.6196
124,0.6388
125,0.7269
126,0.6248
127,0.5978
128,0.6668
129,0.7137
130,0.6649
131,0.6443
132,0.6437
133,0.6777
134,0.6863
135,0.6615
136,0.6264
137,0.6241
138,0.6281
139,0.5988
140,0.6438
141,0.5997
142,0.7018
143,0.6437
144,0.6473
145,0.6389
146,0.6945
147,0.6370
148,0.6659
149,0.6490
150,0.6388
151,0.6372
152,0.6477
153,0.6575
154,0.6649
155,0.6561
156,0.6454
157,0.6425
158,0.6243
159,0.6222
160,0.6682
161,0.6592
162,0.6205
163,0.6925
164,0.6335
165,0.6308
166,0.6203
167,0.6202
168,0.6404
169,0.6803
170,0.6732
171,0.6266
172,0.6244
173,0.6135
174,0.6070
175,0.6124
176,0.6043
177,0.6248
178,0.6542
179,0.6012
180,0.6553
181,0.6448
182,0.6776
183,0.6355
184,0.6272
185,0.6679
186,0.6413
187,0.6417
188,0.6130
189,0.6255
190,0.6542
191,0.6398
192,0.6052
193,0.6457
194,0.6255
195,0.6473
196,0.6619
197,0.6337
198,0.6202
199,0.6422
200,0.6367
201,0.5522
202,0.6012
203,0.6617
204,0.6187
205,0.7382
206,0.5950
207,0.6469
208,0.6098
209,0.6712
210,0.6153
211,0.6135
212,0.6446
213,0.6289
214,0.6745
215,0.6202
216,0.5833
217,0.6004
218,0.6913
219,0.6184
220,0.6742
221,0.6126
222,0.6039
223,0.6337
224,0.6493
225,0.6240
226,0.6454
227,0.6202
228,0.6434
229,0.6215
230,0.6567
231,0.6052
232,0.6714
233,0.6168
234,0.6850
235,0.6584
236,0.6013
237,0.6432
238,0.6355
239,0.5985
240,0.5964
241,0.6711
242,0.6582
243,0.6093
244,0.6065
245,0.6879
246,0.6650
247,0.5844
248,0.6467
249,0.6645
250,0.6585
251,0.6186
252,0.6673
253,0.6850
254,0.6123
255,0.5797
256,0.6050
257,0.5944
258,0.6179
259,0.6137
260,0.6316
261,0.6685
262,0.6464
263,0.6114
264,0.6442
265,0.6682
266,0.6351
267,0.6273
268,0.5896
269,0.5789
270,0.6615
271,0.6694
272,0.6694
273,0.5761
274,0.6370
275,0.6344
276,0.6585
277,0.6807
278,0.6194
279,0.6556
280,0.6560
281,0.6445
282,0.6655
283,0.6458
284,0.6347
285,0.6492
286,0.6374
287,0.6625
288,0.6780
289,0.6462
290,0.6404
291,0.6343
292,0.6573
293,0.6616
294,0.6542
295,0.6877
296,0.6575
297,0.6186
298,0.5902
299,0.5736
300,0.6174
301,0.6700
302,0.5030
303,0.5925
304,0.6635
305,0.6577
306,0.6507
307,0.6282
308,0.6732
309,0.5833
310,0.6013
311,0.6011
312,0.6025
313,0.5891
314,0.6193
315,0.6574
316,0.6353
317,0.6473
318,0.6246
319,0.6201
320,0.6435
321,0.6154
322,0.6203
323,0.6016
324,0.6085
325,0.6419
326,0.6014
327,0.5349
328,0.5980
329,0.6699
330,0.6501
331,0.5823
332,0.6579
333,0.5971
334,0.6400
335,0.6210
336,0.6049
337,0.6246
338,0.6343
339,0.7062
340,0.6934
341,0.6250
342,0.6091
343,0.5547
344,0.6546
345,0.6040
346,0.6808
347,0.6057
348,0.6191
349,0.6248
350,0.6344
351,0.6111
352,0.6010
353,0.6920
354,0.6071
355,0.6355
356,0.6222
357,0.5964
358,0.6732
359,0.5905
360,0.5733
361,0.6077
362,0.5628
363,0.6580
364,0.6418
365,0.6355
366,0.6081
367,0.6358
368,0.5828
369,0.5943
370,0.6802
371,0.5879
372,0.7299
373,0.6412
374,0.6055
375,0.6052
376,0.5957
377,0.6288
378,0.6024
379,0.6270
380,0.6263
381,0.6139
382,0.5748
383,0.5842
384,0.5783
385,0.6228
386,0.6116
387,0.7351
388,0.6451
389,0.6982
390,0.6296
391,0.5755
392,0.5854
393,0.5952
394,0.6552
395,0.6752
396,0.6189
397,0.6375
398,0.6760
399,0.6639
400,0.6253
401,0.6078
402,0.6185
403,0.5151
404,0.6118
405,0.7031
406,0.6880
407,0.6424
408,0.6217
409,0.6181
410,0.5871
411,0.5925
412,0.6445
413,0.6124
414,0.6117
415,0.5988
416,0.6021
417,0.6437
418,0.5907
419,0.6442
420,0.5818
421,0.6184
422,0.5962
423,0.6683
424,0.6782
425,0.6274
426,0.6511
427,0.5996
428,0.5839
429,0.6428
430,0.6416
431,0.5914
432,0.6230
433,0.6194
434,0.5798
435,0.6215
436,0.6447
437,0.6130
438,0.6084
439,0.6883
440,0.6495
441,0.6237
442,0.6191
443,0.6096
444,0.6298
445,0.6417
446,0.6166
447,0.6357
448,0.6110
449,0.6021
450,0.5996
451,0.6587
452,0.5800
453,0.5869
454,0.6350
455,0.6973
456,0.6056
457,0.6140
458,0.6165
459,0.6249
460,0.6015
461,0.5904
462,0.5921
463,0.6339
464,0.6264
465,0.5976
466,0.5680
467,0.5716
468,0.6428
469,0.6089
470,0.6896
471,0.6376
472,0.6280
473,0.5944
474,0.5564
475,0.6343
476,0.6518
477,0.5647
478,0.5789
479,0.6047
480,0.5886
481,0.5809
482,0.5559
483,0.6783
484,0.6223
485,0.5933
486,0.5438
487,0.6329
488,0.5816
489,0.5809
490,0.6390
491,0.6017
492,0.6078
493,0.6576
494,0.5870
495,0.5979
496,0.6080
497,0.6847
498,0.5892
499,0.5872
500,0.5747
501,0.6304
502,0.5949
503,0.6392
504,0.6859
505,0.5892
506,0.6214
507,0.6431
508,0.5964
509,0.5519
510,0.5987
511,0.6206
512,0.6194
513,0.5705
514,0.5750
515,0.6595
516,0.6434
517,0.5716
518,0.5628
519,0.5763
520,0.6113
521,0.5851
522,0.5548
523,0.6214
524,0.6202
525,0.5656
526,0.6563
527,0.5582
528,0.5809
529,0.5664
530,0.6748
531,0.6242
532,0.5796
533,0.5555
534,0.5578
535,0.5333
536,0.6240
537,0.6003
538,0.6146
539,0.5781
540,0.5654
541,0.6128
542,0.5812
543,0.6394
544,0.6342
545,0.5804
546,0.6172
547,0.5618
548,0.5818
549,0.5875
550,0.6044
551,0.5872
552,0.6153
553,0.5572
554,0.5898
555,0.5860
556,0.6023
557,0.6050
558,0.6842
559,0.5429
560,0.5739
561,0.5152
562,0.5872
563,0.6195
564,0.6478
565,0.6237
566,0.5872
567,0.5998
568,0.7717
569,0.5622
570,0.5852
571,0.5757
572,0.5527
573,0.6443
574,0.5535
575,0.7101
576,0.5975
577,0.5892
578,0.6012
579,0.6183
580,0.5604
581,0.6092
582,0.6528
583,0.6280
584,0.6116
585,0.6360
586,0.6176
587,0.6372
588,0.5887
589,0.6530
590,0.5561
591,0.5965
592,0.5556
593,0.6217
594,0.5465
595,0.6173
596,0.5808
597,0.6225
598,0.6028
599,0.6151
600,0.5830
601,0.6034
602,0.5859
603,0.6591
604,0.6244
605,0.6405
606,0.5329
607,0.5886
608,0.5110
609,0.5659
610,0.5437
611,0.6566
612,0.5268
613,0.5320
614,0.5990
615,0.5261
616,0.6183
617,0.5700
618,0.6281
619,0.5460
620,0.5566
621,0.5574
622,0.5614
623,0.5443
624,0.5704
625,0.5990
626,0.5908
627,0.5223
628,0.5407
629,0.5560
630,0.5555
631,0.5967
632,0.5925
633,0.5956
634,0.5738
635,0.5915
636,0.5107
637,0.5873
638,0.6282
639,0.6072
640,0.6218
641,0.6128
642,0.6610
643,0.5597
644,0.6059
645,0.5517
646,0.5680
647,0.5848
648,0.6494
649,0.7007
650,0.5775
651,0.5607
652,0.5839
653,0.6015
654,0.5457
655,0.6055
656,0.5738
657,0.5721
658,0.5243
659,0.5861
660,0.5624
661,0.6062
662,0.5553
663,0.5767
664,0.5364
665,0.5557
666,0.6374
667,0.5865
668,0.5812
669,0.5724
670,0.6646
671,0.4767
672,0.5845
673,0.6109
674,0.5038
675,0.5794
676,0.6217
677,0.5657
678,0.5637
679,0.5835
680,0.5481
681,0.6151
682,0.6453
683,0.5861
684,0.5714
685,0.5791
686,0.5685
687,0.6248
688,0.5761
689,0.5922
690,0.5712
691,0.5868
692,0.5841
