mini_batch_iteration,loss
0,0.7013
1,2.0322
2,0.9535
3,0.7062
4,0.9193
5,0.8239
6,0.7417
7,0.6972
8,0.6919
9,0.6887
10,0.6884
11,0.6844
12,0.6859
13,0.6945
14,0.6691
15,0.6781
16,0.6811
17,0.6732
18,0.6763
19,0.6817
20,0.6694
21,0.6519
22,0.6457
23,0.6888
24,0.6749
25,0.6939
26,0.6960
27,0.7113
28,0.6957
29,0.6790
30,0.6446
31,0.6874
32,0.7356
33,0.7409
34,0.6657
35,0.6533
36,0.6734
37,0.6869
38,0.6656
39,0.6867
40,0.6748
41,0.6703
42,0.6548
43,0.6594
44,0.7190
45,0.6441
46,0.6823
47,0.6980
48,0.6944
49,0.6690
50,0.6708
51,0.6610
52,0.6271
53,0.6536
54,0.6939
55,0.7083
56,0.6640
57,0.6558
58,0.6360
59,0.6412
60,0.6662
61,0.6611
62,0.6289
63,0.6747
64,0.6408
65,0.6508
66,0.6581
67,0.6482
68,0.6278
69,0.6470
70,0.6456
71,0.6915
72,0.6949
73,0.6495
74,0.6263
75,0.6715
76,0.6937
77,0.6642
78,0.6466
79,0.6816
80,0.6565
81,0.6112
82,0.6006
83,0.6305
84,0.6300
85,0.5779
86,0.6767
87,0.6394
88,0.6625
89,0.6359
90,0.6473
91,0.6391
92,0.6144
93,0.6882
94,0.6473
95,0.6337
96,0.6608
97,0.6475
98,0.6644
99,0.6723
100,0.6706
101,0.6667
102,0.6139
103,0.6646
104,0.6593
105,0.6253
106,0.6362
107,0.6295
108,0.6703
109,0.6636
110,0.6314
111,0.6491
112,0.6510
113,0.6971
114,0.6771
115,0.6519
116,0.6480
117,0.6423
118,0.6439
119,0.6565
120,0.5998
121,0.6398
122,0.6672
123,0.6360
124,0.6034
125,0.7123
126,0.6235
127,0.6218
128,0.5973
129,0.6525
130,0.6547
131,0.6688
132,0.6292
133,0.6933
134,0.6090
135,0.6323
136,0.6558
137,0.6498
138,0.6745
139,0.6644
140,0.6768
141,0.6758
142,0.6426
143,0.6418
144,0.5861
145,0.6281
146,0.6893
147,0.6535
148,0.6382
149,0.6663
150,0.6836
151,0.6629
152,0.5979
153,0.6817
154,0.7220
155,0.6399
156,0.6405
157,0.6674
158,0.6479
159,0.6449
160,0.6463
161,0.6676
162,0.6565
163,0.6883
164,0.6524
165,0.6485
166,0.7031
167,0.6245
168,0.6749
169,0.6666
170,0.6294
171,0.6496
172,0.6658
173,0.6350
174,0.6757
175,0.6344
176,0.6201
177,0.6490
178,0.6193
179,0.6245
180,0.6373
181,0.6689
182,0.6170
183,0.6237
184,0.6329
185,0.6622
186,0.6326
187,0.6369
188,0.6044
189,0.6798
190,0.6232
191,0.7043
192,0.6579
193,0.6634
194,0.6244
195,0.7144
196,0.6322
197,0.6885
198,0.6032
199,0.5855
200,0.6237
201,0.7530
202,0.6588
203,0.6321
204,0.6697
205,0.6413
206,0.6292
207,0.6489
208,0.6552
209,0.6391
210,0.6403
211,0.6328
212,0.6280
213,0.6489
214,0.6703
215,0.6159
216,0.6738
217,0.6546
218,0.6069
219,0.6214
220,0.6101
221,0.6245
222,0.6363
223,0.6360
224,0.5961
225,0.6590
226,0.5872
227,0.6258
228,0.6939
229,0.6429
230,0.6963
231,0.6707
232,0.6496
233,0.6316
234,0.5782
235,0.7067
236,0.6456
237,0.5929
238,0.5752
239,0.6825
240,0.7328
241,0.6326
242,0.6294
243,0.6667
