mini_batch_iteration,loss
0,0.6921
1,1.2057
2,0.9718
3,0.7730
4,0.6769
5,0.6700
6,0.7307
7,0.6515
8,0.6681
9,0.6601
10,0.6970
11,0.6717
12,0.6618
13,0.6681
14,0.6463
15,0.6478
16,0.7392
17,0.6459
18,0.6233
19,0.6645
20,0.6655
21,0.6668
22,0.6550
23,0.6314
24,0.6502
25,0.6052
26,0.6789
27,0.6985
28,0.6674
29,0.6780
30,0.6642
31,0.6927
32,0.6456
33,0.6479
34,0.6802
35,0.6630
36,0.6724
37,0.6564
38,0.6662
39,0.6910
40,0.6229
41,0.6360
42,0.6600
43,0.6243
44,0.6198
45,0.7227
46,0.6251
47,0.5943
48,0.6547
49,0.6791
50,0.6639
51,0.6269
52,0.6666
53,0.5940
54,0.6469
55,0.6563
56,0.7023
57,0.6942
58,0.6503
59,0.6487
60,0.6829
61,0.6129
62,0.6595
63,0.6762
64,0.6425
65,0.6468
66,0.6541
67,0.6232
68,0.6613
69,0.6769
70,0.6452
71,0.6401
72,0.7303
73,0.6455
74,0.6318
75,0.6882
76,0.6456
77,0.6865
78,0.6677
79,0.6527
80,0.6464
81,0.6702
82,0.6498
83,0.6435
84,0.6178
85,0.6673
86,0.6440
87,0.6212
88,0.6137
89,0.6875
90,0.5699
91,0.6703
92,0.6160
93,0.6855
94,0.6841
95,0.6797
96,0.5990
97,0.6675
98,0.7023
99,0.6871
100,0.6986
101,0.6505
102,0.6448
103,0.6489
104,0.5953
105,0.6360
106,0.6424
107,0.6536
108,0.6734
109,0.6023
110,0.6793
111,0.6963
112,0.6369
113,0.6584
114,0.6526
115,0.6632
116,0.6238
117,0.7270
118,0.6384
119,0.6569
120,0.6309
121,0.6280
122,0.6680
123,0.6610
124,0.6305
125,0.6892
126,0.6651
127,0.6747
128,0.6684
129,0.6918
130,0.6906
131,0.6667
132,0.6251
133,0.6686
134,0.6336
135,0.6505
136,0.6387
137,0.6463
138,0.6355
139,0.6569
140,0.6362
141,0.6600
142,0.6199
143,0.6433
144,0.6137
145,0.6791
146,0.6740
147,0.6621
148,0.6477
149,0.6632
150,0.6456
151,0.6233
152,0.6404
153,0.6348
154,0.6466
155,0.6650
156,0.6745
157,0.6506
158,0.6847
159,0.6555
160,0.6001
161,0.6953
162,0.6389
163,0.7201
164,0.6242
165,0.6670
166,0.6387
167,0.6476
168,0.6129
169,0.6391
170,0.6758
171,0.7006
172,0.6208
173,0.7068
174,0.6162
175,0.6691
176,0.6332
177,0.6374
178,0.6912
179,0.6276
180,0.6241
181,0.6394
182,0.5887
183,0.6030
184,0.6592
185,0.6688
186,0.6199
187,0.6627
188,0.7865
189,0.6428
190,0.6238
191,0.6170
192,0.6353
193,0.6924
194,0.6433
195,0.6846
196,0.6554
197,0.6472
198,0.6535
199,0.6370
200,0.6598
201,0.6626
202,0.6312
203,0.6557
204,0.6491
205,0.6491
206,0.6535
207,0.6884
208,0.7017
209,0.7054
210,0.6313
211,0.6393
212,0.6532
213,0.6175
214,0.6524
215,0.6488
216,0.6587
217,0.6762
218,0.6305
219,0.6197
220,0.6204
221,0.6161
222,0.6311
223,0.5698
224,0.5982
225,0.6310
226,0.6808
227,0.6262
228,0.6237
229,0.6281
230,0.6450
231,0.6963
232,0.7106
233,0.6210
234,0.6628
235,0.6657
236,0.6420
237,0.6461
238,0.6670
239,0.6522
240,0.6605
241,0.6799
242,0.6661
243,0.6434
244,0.6648
245,0.6438
246,0.6571
247,0.6637
248,0.6603
249,0.6497
250,0.6421
251,0.6063
252,0.7013
253,0.6428
254,0.6401
255,0.7143
256,0.6424
257,0.6225
258,0.6517
259,0.6074
260,0.6612
261,0.6824
262,0.6302
263,0.6750
264,0.6451
265,0.6455
266,0.6193
267,0.6746
268,0.6374
269,0.6944
270,0.6822
271,0.7053
272,0.6558
273,0.6733
274,0.6335
275,0.6604
276,0.6760
277,0.6763
278,0.6667
279,0.6660
280,0.6303
281,0.6318
282,0.6353
283,0.6668
284,0.6299
285,0.6745
286,0.6287
287,0.6645
288,0.6549
289,0.7088
290,0.6179
291,0.6560
292,0.6666
293,0.6279
294,0.6645
295,0.6574
296,0.6723
297,0.6502
298,0.6701
299,0.6397
300,0.6643
301,0.6418
302,0.7092
303,0.6681
304,0.6044
305,0.6898
306,0.6327
307,0.6861
308,0.6196
309,0.6073
310,0.6559
311,0.6155
312,0.6305
313,0.6009
314,0.6869
315,0.6479
316,0.6365
317,0.6613
318,0.6505
319,0.6029
320,0.6786
321,0.6575
322,0.6194
323,0.6924
324,0.6487
325,0.6431
326,0.6275
327,0.6437
328,0.6728
329,0.5890
330,0.6532
331,0.7010
332,0.6381
333,0.6578
334,0.6587
335,0.6423
336,0.6725
337,0.6228
338,0.6701
339,0.6115
340,0.6528
341,0.6582
342,0.6398
343,0.6232
344,0.6322
345,0.6563
346,0.5990
347,0.6542
348,0.7082
349,0.6659
350,0.6604
351,0.6193
352,0.6170
353,0.6743
354,0.6475
355,0.6562
356,0.6333
357,0.6642
358,0.6354
359,0.6504
360,0.6480
361,0.6356
362,0.6784
363,0.6832
364,0.6372
365,0.6567
366,0.6344
367,0.6320
368,0.6783
369,0.6849
370,0.6252
371,0.6515
372,0.6639
373,0.6270
374,0.6258
375,0.6628
376,0.6427
377,0.6727
378,0.6706
379,0.6271
380,0.5863
381,0.6207
382,0.6511
383,0.5952
384,0.6638
385,0.7153
386,0.6221
387,0.6633
388,0.6080
389,0.6598
390,0.6448
391,0.6566
392,0.6636
393,0.6641
394,0.6619
395,0.6893
396,0.6674
397,0.6244
398,0.6805
399,0.6818
400,0.6379
401,0.6867
402,0.6755
403,0.6631
404,0.6968
405,0.6370
406,0.6838
407,0.6317
408,0.6723
409,0.6398
410,0.6679
411,0.6344
412,0.6724
413,0.6620
414,0.6230
415,0.6473
416,0.6767
417,0.6125
418,0.6842
419,0.6371
420,0.6563
421,0.6740
422,0.6357
423,0.6579
424,0.6577
425,0.6464
426,0.6473
427,0.6653
428,0.6736
429,0.6199
430,0.6474
431,0.6408
432,0.6492
433,0.6334
434,0.6356
435,0.6408
436,0.6869
437,0.6279
438,0.6212
439,0.6645
440,0.6383
441,0.6066
442,0.6730
443,0.7007
444,0.6353
445,0.6547
446,0.6552
447,0.6729
448,0.6632
449,0.6494
450,0.6147
451,0.6359
452,0.7247
453,0.6319
454,0.6120
455,0.6823
456,0.6420
457,0.6957
458,0.5995
459,0.6161
460,0.6219
461,0.6278
462,0.6725
463,0.6614
464,0.6052
465,0.6634
466,0.6465
467,0.6549
468,0.6476
469,0.6791
470,0.6579
471,0.6429
472,0.6292
473,0.6174
474,0.6609
475,0.6295
476,0.6597
477,0.6872
478,0.6101
479,0.6653
480,0.6319
481,0.6568
482,0.6069
483,0.6255
484,0.6051
485,0.6277
486,0.6395
487,0.6468
488,0.5871
489,0.6341
490,0.6734
491,0.6710
492,0.6315
493,0.6329
494,0.6358
495,0.6847
496,0.6868
497,0.6682
498,0.6464
499,0.6312
500,0.6589
501,0.6388
502,0.6418
503,0.6521
504,0.6449
505,0.7072
506,0.6462
507,0.6616
508,0.6736
509,0.6650
510,0.6322
511,0.6575
512,0.6848
513,0.6482
514,0.6418
515,0.7161
516,0.6233
517,0.6356
518,0.6575
519,0.6708
520,0.5956
521,0.6250
522,0.6486
523,0.6757
524,0.6648
525,0.6327
526,0.6678
527,0.6666
528,0.6359
529,0.6088
530,0.6598
531,0.6154
532,0.6318
533,0.7021
534,0.6263
535,0.6999
536,0.6095
537,0.6148
538,0.6309
539,0.6179
540,0.6445
541,0.6308
542,0.6287
543,0.6320
544,0.7027
545,0.6272
546,0.6793
547,0.6237
548,0.6383
549,0.6532
550,0.6586
551,0.6396
552,0.6541
553,0.6487
554,0.6390
555,0.6560
556,0.6571
557,0.6602
558,0.6053
559,0.6581
560,0.6555
561,0.6417
562,0.7045
563,0.6399
564,0.6868
565,0.6332
566,0.6549
567,0.6252
568,0.6582
569,0.6269
570,0.6756
571,0.6454
572,0.6141
573,0.6661
574,0.5971
575,0.6678
576,0.5719
577,0.6720
578,0.6672
579,0.7145
580,0.6892
581,0.6627
582,0.6535
583,0.6274
584,0.6470
585,0.6686
586,0.6595
587,0.6413
588,0.6567
589,0.6455
590,0.6591
591,0.6572
592,0.6437
593,0.6535
594,0.6598
595,0.6772
596,0.6489
597,0.6572
598,0.6456
599,0.6585
600,0.6855
601,0.6686
602,0.6273
603,0.5930
604,0.6079
605,0.6273
606,0.5939
607,0.6886
608,0.7059
609,0.6522
610,0.6613
611,0.6561
612,0.6917
613,0.6176
614,0.6439
615,0.6767
616,0.6486
617,0.6424
618,0.6486
619,0.6356
620,0.6555
621,0.6488
622,0.6763
623,0.6468
624,0.6945
625,0.6263
626,0.6229
627,0.6460
628,0.6867
629,0.6088
630,0.6406
631,0.6173
632,0.6565
633,0.6661
634,0.6118
635,0.7223
636,0.5767
637,0.6528
638,0.6310
639,0.6649
640,0.6707
641,0.6964
642,0.6406
643,0.6600
644,0.6515
645,0.6622
646,0.6593
647,0.6636
648,0.5893
649,0.6722
650,0.6714
651,0.6697
652,0.6502
653,0.6403
654,0.6596
655,0.6132
656,0.6662
657,0.6350
658,0.6009
659,0.5982
660,0.5825
661,0.6327
662,0.6300
663,0.6562
664,0.6740
665,0.6304
666,0.6224
667,0.6526
668,0.6571
669,0.6664
670,0.6625
671,0.6480
672,0.6350
673,0.6298
674,0.6462
675,0.6668
676,0.6395
677,0.7453
678,0.6688
679,0.6050
680,0.6799
681,0.6194
682,0.6549
683,0.6397
684,0.6520
685,0.6311
686,0.5891
687,0.6688
688,0.6663
689,0.6600
690,0.6453
691,0.6381
692,0.6221
693,0.6445
694,0.6463
695,0.6184
696,0.6515
697,0.6669
698,0.6320
699,0.6304
700,0.6386
701,0.6442
702,0.6354
703,0.7258
704,0.6424
705,0.7068
706,0.7138
707,0.6417
708,0.6551
709,0.6632
710,0.6824
711,0.6494
712,0.6507
713,0.6696
714,0.6236
715,0.6690
716,0.6342
717,0.6509
718,0.6450
719,0.6487
720,0.6514
721,0.6110
722,0.6452
723,0.6531
724,0.6183
725,0.5790
726,0.6083
727,0.7070
728,0.6503
729,0.5955
730,0.7110
731,0.6300
732,0.7098
733,0.6616
734,0.6673
735,0.6877
736,0.6584
737,0.6564
738,0.6590
739,0.6669
740,0.6417
741,0.6801
742,0.6294
743,0.6365
744,0.6177
745,0.6117
746,0.6787
747,0.6856
748,0.6869
749,0.6539
750,0.6999
751,0.6220
752,0.6520
753,0.6513
754,0.6340
755,0.6844
756,0.6424
757,0.6673
758,0.6659
759,0.6739
760,0.6506
761,0.6521
762,0.6381
763,0.6786
764,0.6424
765,0.6987
766,0.6727
767,0.6304
768,0.6396
769,0.5995
770,0.6673
771,0.6256
772,0.6254
773,0.6516
774,0.6672
775,0.6854
776,0.6248
777,0.6696
778,0.6470
779,0.6513
780,0.6741
781,0.6325
782,0.6686
783,0.6512
784,0.6541
785,0.6503
786,0.6485
787,0.6627
788,0.6423
789,0.6610
790,0.6648
791,0.6342
792,0.6304
793,0.6458
794,0.6385
795,0.6478
796,0.6248
797,0.6351
798,0.5682
799,0.6618
800,0.6026
801,0.6658
802,0.6690
803,0.6467
804,0.6426
805,0.6644
806,0.6152
807,0.6624
808,0.6812
809,0.6729
810,0.6427
811,0.6432
812,0.6259
813,0.6611
814,0.6412
815,0.6010
816,0.6173
817,0.7208
818,0.6450
819,0.6367
820,0.6788
821,0.6683
822,0.6566
823,0.7029
824,0.6435
825,0.6560
826,0.6636
827,0.6672
828,0.6354
829,0.6494
830,0.6720
831,0.6390
832,0.6434
833,0.6524
834,0.6614
835,0.6613
836,0.5944
837,0.6913
838,0.6766
839,0.6138
840,0.6419
841,0.6607
842,0.6957
843,0.6468
844,0.6650
845,0.6506
846,0.6338
847,0.5874
848,0.6481
849,0.6356
850,0.6451
851,0.6209
852,0.6295
853,0.6127
854,0.5937
855,0.6058
856,0.7118
857,0.6579
858,0.6102
859,0.6346
860,0.6240
861,0.6046
862,0.6431
863,0.7037
864,0.6653
865,0.6307
866,0.6527
867,0.6733
868,0.6257
869,0.6449
870,0.6778
871,0.6530
872,0.6303
873,0.5959
874,0.5890
875,0.7051
876,0.7163
877,0.6231
878,0.6761
879,0.6403
880,0.6602
881,0.6907
882,0.6886
883,0.6151
884,0.6618
885,0.6697
886,0.6725
887,0.6475
888,0.6599
889,0.6387
890,0.6700
891,0.6399
892,0.6509
893,0.6594
894,0.6132
895,0.6142
896,0.6456
897,0.6911
898,0.7195
899,0.6247
900,0.6111
901,0.6495
902,0.6523
903,0.6812
904,0.6540
905,0.6458
906,0.6569
907,0.6538
908,0.5802
909,0.6827
910,0.6356
911,0.6525
912,0.6712
913,0.6629
914,0.6408
915,0.6237
916,0.6326
917,0.6425
918,0.6510
919,0.6203
920,0.6456
921,0.6003
922,0.7072
923,0.6734
924,0.6750
925,0.6149
926,0.6618
927,0.6814
928,0.6710
929,0.6504
930,0.6322
931,0.6410
932,0.6151
933,0.6272
934,0.6401
935,0.6416
936,0.6585
937,0.6615
938,0.6500
939,0.6301
940,0.6468
941,0.6749
942,0.6700
943,0.6611
944,0.6077
945,0.6417
946,0.6257
947,0.6189
948,0.6433
949,0.6141
950,0.6640
951,0.6190
952,0.6712
953,0.6162
954,0.6332
955,0.6533
956,0.6585
957,0.6803
958,0.6477
959,0.6171
960,0.6207
961,0.6632
962,0.6460
963,0.6605
964,0.6309
965,0.6188
966,0.6718
967,0.6523
968,0.6378
969,0.6712
970,0.6530
971,0.6350
972,0.6585
973,0.6343
974,0.6626
975,0.6256
976,0.7039
977,0.6501
978,0.6224
979,0.6557
980,0.6466
981,0.6158
982,0.6560
983,0.6854
984,0.6546
985,0.6574
986,0.6184
987,0.6677
988,0.6581
989,0.6728
990,0.6446
991,0.6534
992,0.6016
993,0.6689
994,0.6470
995,0.6567
996,0.6651
997,0.6242
998,0.7320
999,0.6235
1000,0.6390
1001,0.6232
1002,0.6204
1003,0.6320
1004,0.6416
1005,0.6263
1006,0.6803
1007,0.6484
1008,0.7237
1009,0.5933
1010,0.6407
1011,0.6615
1012,0.6559
1013,0.6042
1014,0.6382
1015,0.6940
1016,0.6572
1017,0.6670
1018,0.6059
1019,0.6718
1020,0.6548
1021,0.6148
1022,0.6597
1023,0.6113
1024,0.6525
1025,0.6646
1026,0.6697
1027,0.6189
1028,0.6438
1029,0.6718
1030,0.6751
1031,0.6295
1032,0.6633
1033,0.6856
1034,0.6398
1035,0.5963
1036,0.6564
1037,0.6608
1038,0.6743
1039,0.6297
1040,0.6511
1041,0.6574
1042,0.6450
1043,0.6621
1044,0.6702
1045,0.6642
1046,0.6426
1047,0.6007
1048,0.6661
1049,0.6163
1050,0.6667
1051,0.6647
1052,0.6658
1053,0.6478
1054,0.6074
1055,0.5950
1056,0.6133
1057,0.6040
1058,0.6408
1059,0.7078
1060,0.6268
1061,0.6077
1062,0.7276
1063,0.6534
1064,0.6602
1065,0.6455
1066,0.6669
1067,0.6551
1068,0.6499
1069,0.6229
1070,0.6842
1071,0.6249
1072,0.6308
1073,0.6218
1074,0.6429
1075,0.6069
1076,0.6725
1077,0.6842
1078,0.6126
1079,0.6583
1080,0.6867
1081,0.6596
1082,0.6296
1083,0.5794
1084,0.6837
1085,0.6400
1086,0.6500
1087,0.6030
1088,0.6668
1089,0.6458
1090,0.5884
1091,0.6527
1092,0.6860
1093,0.6590
1094,0.6539
1095,0.6438
1096,0.6094
1097,0.6162
1098,0.6874
1099,0.6137
1100,0.7000
1101,0.6637
1102,0.6907
1103,0.6537
1104,0.6667
1105,0.6855
1106,0.6515
1107,0.6743
1108,0.6258
1109,0.6570
1110,0.7040
1111,0.6462
1112,0.6415
1113,0.6176
1114,0.6562
1115,0.6421
1116,0.5802
1117,0.6573
1118,0.6005
1119,0.6209
1120,0.6296
1121,0.6558
1122,0.5679
1123,0.6313
1124,0.6693
1125,0.6694
1126,0.6975
1127,0.5988
1128,0.6555
1129,0.6661
1130,0.6894
1131,0.6207
1132,0.6033
1133,0.6796
1134,0.6346
1135,0.6429
1136,0.6435
1137,0.6843
1138,0.6657
1139,0.6215
1140,0.7159
1141,0.6480
1142,0.6152
1143,0.6829
1144,0.6803
1145,0.6504
1146,0.6476
1147,0.6509
1148,0.6506
1149,0.6220
1150,0.6353
1151,0.6700
1152,0.6651
1153,0.6184
1154,0.6647
1155,0.6484
1156,0.6212
1157,0.6876
1158,0.6131
1159,0.6613
1160,0.6249
1161,0.6565
1162,0.6329
1163,0.7110
1164,0.6917
1165,0.6706
1166,0.6567
1167,0.6719
1168,0.6467
1169,0.6819
1170,0.6643
1171,0.6895
1172,0.6405
1173,0.6426
1174,0.6446
1175,0.6332
1176,0.6738
1177,0.6553
1178,0.6505
1179,0.6457
1180,0.6453
1181,0.7242
1182,0.6174
1183,0.6260
1184,0.6726
1185,0.6155
1186,0.6204
1187,0.6630
1188,0.6607
1189,0.6307
1190,0.6662
1191,0.6396
1192,0.6857
1193,0.6308
1194,0.6171
1195,0.6820
1196,0.5821
1197,0.6505
1198,0.6726
1199,0.6845
1200,0.6259
1201,0.6122
1202,0.6486
1203,0.6384
1204,0.6417
1205,0.6593
1206,0.6209
1207,0.6509
1208,0.6586
1209,0.6318
1210,0.6548
1211,0.6919
1212,0.5959
1213,0.6322
1214,0.6914
1215,0.6158
1216,0.6462
1217,0.6483
1218,0.6088
1219,0.6782
1220,0.6605
1221,0.6702
1222,0.6276
1223,0.6748
1224,0.6109
1225,0.6529
1226,0.6118
1227,0.6783
1228,0.6285
1229,0.5906
1230,0.6653
1231,0.6893
1232,0.6191
1233,0.6596
1234,0.6291
1235,0.6589
1236,0.6254
1237,0.6285
1238,0.6383
1239,0.6924
1240,0.6767
1241,0.6299
1242,0.6259
1243,0.6684
1244,0.6565
1245,0.6372
1246,0.6370
1247,0.6237
1248,0.6365
1249,0.6431
1250,0.6378
1251,0.6233
1252,0.6453
1253,0.6513
1254,0.6533
1255,0.6930
1256,0.6086
1257,0.6231
1258,0.6576
1259,0.6556
1260,0.5854
1261,0.6696
1262,0.6138
1263,0.6928
1264,0.6231
1265,0.6627
1266,0.6777
1267,0.6715
1268,0.6620
1269,0.6570
1270,0.6413
1271,0.6611
1272,0.5909
1273,0.6287
1274,0.6049
1275,0.6988
1276,0.6636
1277,0.6512
1278,0.6705
1279,0.6589
1280,0.6283
1281,0.6450
1282,0.6897
1283,0.6746
1284,0.6505
1285,0.6570
1286,0.6890
1287,0.6500
1288,0.6499
1289,0.6596
1290,0.6075
1291,0.6425
1292,0.6579
1293,0.6813
1294,0.6079
1295,0.6629
1296,0.7309
1297,0.6366
1298,0.6237
1299,0.6388
1300,0.5909
1301,0.5875
1302,0.6505
1303,0.6619
1304,0.6207
1305,0.7069
1306,0.6899
1307,0.6459
1308,0.6516
1309,0.6571
1310,0.6561
1311,0.6801
1312,0.7187
1313,0.6599
1314,0.6939
1315,0.6457
1316,0.6568
1317,0.6661
1318,0.6321
1319,0.6384
1320,0.6851
1321,0.6498
1322,0.6393
1323,0.6396
1324,0.6163
1325,0.5768
1326,0.6401
1327,0.7201
1328,0.7172
1329,0.6338
1330,0.6603
1331,0.6029
1332,0.6381
1333,0.6092
1334,0.6273
1335,0.6499
1336,0.6641
1337,0.6101
1338,0.6226
1339,0.6532
1340,0.6682
1341,0.6203
1342,0.6836
1343,0.7056
1344,0.6674
1345,0.6039
1346,0.6619
1347,0.6480
1348,0.6885
1349,0.6592
1350,0.6511
1351,0.6339
1352,0.6663
1353,0.6752
1354,0.6337
1355,0.6629
1356,0.6576
1357,0.6541
1358,0.6502
1359,0.6870
1360,0.6114
1361,0.6398
1362,0.6048
1363,0.6435
1364,0.5772
1365,0.6320
1366,0.6337
1367,0.6736
1368,0.6426
1369,0.6703
1370,0.6050
1371,0.6668
1372,0.6815
1373,0.6613
1374,0.6260
1375,0.6965
1376,0.6613
1377,0.6416
1378,0.6550
1379,0.6754
1380,0.6537
1381,0.6568
1382,0.6422
1383,0.6332
1384,0.6337
1385,0.6344
1386,0.6444
1387,0.6711
1388,0.6527
1389,0.6594
1390,0.6483
1391,0.6575
1392,0.6714
1393,0.6486
1394,0.5958
1395,0.6552
1396,0.6373
1397,0.6329
1398,0.6892
1399,0.6354
1400,0.6928
1401,0.6062
1402,0.6136
1403,0.7018
1404,0.6346
1405,0.6428
1406,0.6449
1407,0.6059
1408,0.6350
1409,0.6495
1410,0.6384
1411,0.6462
1412,0.6806
1413,0.6549
1414,0.6950
1415,0.6276
1416,0.6141
1417,0.5854
1418,0.6242
1419,0.6375
1420,0.6497
1421,0.6458
1422,0.6589
1423,0.6300
1424,0.5708
1425,0.6845
1426,0.7599
1427,0.6029
1428,0.6077
1429,0.6283
1430,0.5516
1431,0.6979
1432,0.6901
1433,0.6140
1434,0.6300
1435,0.6362
1436,0.6406
1437,0.6642
1438,0.6838
1439,0.6348
1440,0.6121
1441,0.6560
1442,0.6414
1443,0.6367
1444,0.6414
1445,0.6798
1446,0.6972
1447,0.5830
1448,0.6289
1449,0.6183
1450,0.6821
1451,0.6451
1452,0.7066
1453,0.6500
1454,0.6215
1455,0.6366
1456,0.6396
1457,0.6652
1458,0.6360
1459,0.6130
1460,0.6340
1461,0.6492
1462,0.6293
1463,0.6388
1464,0.6177
1465,0.6729
1466,0.6452
1467,0.6516
1468,0.6191
1469,0.5938
1470,0.6356
1471,0.6635
1472,0.6574
1473,0.6784
1474,0.6537
1475,0.6633
1476,0.6736
1477,0.6287
1478,0.6573
1479,0.6690
1480,0.6705
1481,0.6408
1482,0.6479
1483,0.6192
1484,0.5986
1485,0.6597
1486,0.6744
1487,0.7047
1488,0.6112
1489,0.6781
1490,0.5929
1491,0.6469
1492,0.6203
1493,0.6490
1494,0.6698
1495,0.6856
1496,0.6069
1497,0.6114
1498,0.6420
1499,0.7209
1500,0.7149
1501,0.7419
1502,0.6938
1503,0.6804
1504,0.6365
1505,0.6527
1506,0.6724
1507,0.6468
1508,0.6950
1509,0.6646
1510,0.6424
1511,0.6538
1512,0.6759
1513,0.6875
1514,0.5882
1515,0.6109
1516,0.6571
1517,0.6788
1518,0.6686
1519,0.6458
1520,0.6575
1521,0.6594
1522,0.6231
1523,0.6740
1524,0.6730
1525,0.6539
1526,0.6398
1527,0.6997
1528,0.6574
1529,0.6518
1530,0.6439
1531,0.6420
1532,0.6549
1533,0.6192
1534,0.6140
1535,0.6220
1536,0.6761
1537,0.6400
1538,0.5927
1539,0.5994
1540,0.7091
1541,0.6752
1542,0.6487
1543,0.6676
1544,0.6905
1545,0.6354
1546,0.6488
1547,0.6505
1548,0.6620
1549,0.6649
1550,0.6280
1551,0.6490
1552,0.6450
1553,0.6754
1554,0.6665
1555,0.6546
1556,0.6762
1557,0.6216
1558,0.6436
1559,0.6905
1560,0.6953
1561,0.6473
1562,0.6691
1563,0.6498
1564,0.6410
1565,0.6347
1566,0.6416
1567,0.6665
1568,0.6618
1569,0.6275
1570,0.6465
1571,0.6027
1572,0.6182
1573,0.6591
1574,0.6223
1575,0.6836
1576,0.7463
1577,0.6393
1578,0.6586
1579,0.6848
1580,0.6394
1581,0.6454
1582,0.6727
1583,0.6869
1584,0.6658
1585,0.6446
1586,0.6733
1587,0.6557
1588,0.6543
1589,0.6552
1590,0.6690
1591,0.6459
1592,0.6354
1593,0.6521
1594,0.6784
1595,0.5767
1596,0.6338
1597,0.6270
1598,0.6659
1599,0.5921
1600,0.6002
1601,0.6347
1602,0.6344
1603,0.6692
1604,0.6447
1605,0.6337
1606,0.6372
1607,0.6140
1608,0.5962
1609,0.6065
1610,0.6253
1611,0.6630
1612,0.6414
1613,0.7302
1614,0.5279
1615,0.6740
1616,0.6369
1617,0.6923
1618,0.6688
1619,0.6551
1620,0.6524
1621,0.6570
1622,0.6660
1623,0.6596
1624,0.6723
1625,0.6425
1626,0.6466
1627,0.6619
1628,0.6594
1629,0.6552
1630,0.6368
1631,0.6243
1632,0.6430
1633,0.6191
1634,0.6394
1635,0.6361
1636,0.6691
1637,0.6318
1638,0.6708
1639,0.6432
1640,0.6565
1641,0.6518
1642,0.6515
1643,0.6762
1644,0.6287
1645,0.6348
1646,0.6504
1647,0.6576
1648,0.6143
1649,0.6320
1650,0.6492
1651,0.6796
1652,0.6474
1653,0.6775
1654,0.6667
1655,0.6724
1656,0.6064
1657,0.6332
1658,0.6484
1659,0.6730
1660,0.6246
1661,0.6605
1662,0.6591
1663,0.6812
1664,0.6675
1665,0.6493
1666,0.6278
1667,0.6236
1668,0.6558
1669,0.6408
1670,0.6846
1671,0.6825
1672,0.6386
1673,0.6684
1674,0.6428
1675,0.6549
1676,0.6237
1677,0.6040
1678,0.6792
1679,0.6224
1680,0.6245
1681,0.6505
1682,0.6495
1683,0.6572
1684,0.6223
1685,0.5842
1686,0.5942
1687,0.6927
1688,0.7074
1689,0.6152
1690,0.6240
1691,0.6648
1692,0.6366
1693,0.6291
1694,0.6472
1695,0.6128
1696,0.6743
1697,0.6194
1698,0.6135
1699,0.6344
1700,0.6266
1701,0.6686
1702,0.6876
1703,0.6836
1704,0.6173
1705,0.6245
1706,0.6767
1707,0.6169
1708,0.6095
1709,0.6615
1710,0.6624
1711,0.6405
1712,0.6479
1713,0.6586
