mini_batch_iteration,loss
0,0.6877
1,1.8261
2,0.7176
3,0.7284
4,0.7379
5,0.7223
6,0.7456
7,0.7017
8,0.6888
9,0.6850
10,0.6926
11,0.6732
12,0.6652
13,0.6991
14,0.6803
15,0.6796
16,0.6786
17,0.6816
18,0.6801
19,0.6886
20,0.6853
21,0.6829
22,0.6753
23,0.6765
24,0.6714
25,0.6706
26,0.6416
27,0.6962
28,0.6890
29,0.6652
30,0.6637
31,0.6603
32,0.6764
33,0.6878
34,0.6718
35,0.6962
36,0.6772
37,0.6723
38,0.6867
39,0.6745
40,0.6825
41,0.6775
42,0.6728
43,0.6539
44,0.6769
45,0.6596
46,0.6993
47,0.6581
48,0.6530
49,0.6642
50,0.6595
51,0.6715
52,0.6595
53,0.6757
54,0.6730
55,0.7053
56,0.6822
57,0.6753
58,0.6806
59,0.6742
60,0.6685
61,0.6980
62,0.6713
63,0.6634
64,0.6946
65,0.6767
66,0.6719
67,0.6727
68,0.6650
69,0.6608
70,0.6816
71,0.6557
72,0.6644
73,0.6724
74,0.6550
75,0.6658
76,0.6533
77,0.7108
78,0.6483
79,0.6971
80,0.6799
81,0.6861
82,0.6849
83,0.6762
84,0.6872
85,0.6676
86,0.6613
87,0.6460
88,0.6937
89,0.6697
90,0.6575
91,0.7149
92,0.6747
93,0.6718
94,0.6794
95,0.6818
96,0.6878
97,0.6780
98,0.6802
99,0.6783
100,0.6859
101,0.6789
102,0.6985
103,0.6713
104,0.6839
105,0.6716
106,0.6692
107,0.6562
108,0.6750
109,0.6937
110,0.6753
111,0.6670
112,0.6834
113,0.6734
114,0.6827
115,0.6669
116,0.6867
117,0.6651
118,0.6806
119,0.6820
120,0.6555
121,0.6934
122,0.6704
123,0.6476
124,0.6835
125,0.6924
126,0.6731
127,0.6964
128,0.6616
129,0.6957
130,0.6831
131,0.6757
132,0.6751
133,0.6873
134,0.6994
135,0.6879
136,0.6850
137,0.7032
138,0.6872
139,0.6868
140,0.6914
141,0.6786
142,0.6826
143,0.6848
144,0.6786
145,0.6973
146,0.6891
147,0.6697
148,0.6604
149,0.6859
150,0.6669
151,0.6691
152,0.6783
153,0.6788
154,0.6599
155,0.6916
156,0.6790
157,0.6674
158,0.6719
159,0.6639
160,0.7013
161,0.6605
162,0.6784
163,0.6716
164,0.6902
165,0.6728
166,0.7011
167,0.6620
168,0.6594
169,0.6749
170,0.6738
171,0.7056
172,0.6611
173,0.7043
174,0.6670
175,0.6513
176,0.6646
177,0.6677
178,0.6699
179,0.6844
180,0.6728
181,0.6807
182,0.6728
183,0.6535
184,0.6309
185,0.6769
186,0.6769
187,0.6609
188,0.6567
189,0.6979
190,0.6998
191,0.6431
192,0.6805
193,0.6806
194,0.7027
195,0.6676
196,0.6741
197,0.6764
198,0.6928
199,0.6980
200,0.6652
201,0.6189
202,0.6734
203,0.6774
204,0.6836
205,0.7450
206,0.7039
207,0.6870
208,0.6434
209,0.6672
210,0.6781
211,0.6725
212,0.6858
213,0.6836
214,0.6583
215,0.6910
216,0.6968
217,0.6966
218,0.6807
219,0.6675
220,0.6766
221,0.7012
222,0.6735
223,0.6644
224,0.6774
225,0.6696
226,0.6550
227,0.6679
228,0.7008
229,0.6837
230,0.6944
231,0.6937
232,0.6684
233,0.6672
234,0.6660
235,0.6736
236,0.6712
237,0.6735
238,0.6833
239,0.6646
240,0.6748
241,0.6744
242,0.6771
243,0.6896
244,0.6833
245,0.6832
246,0.6911
247,0.6905
248,0.6767
249,0.6883
250,0.6857
251,0.6951
252,0.6862
253,0.6858
254,0.6875
255,0.6813
256,0.6744
257,0.6709
258,0.6733
259,0.6647
260,0.6768
261,0.6688
262,0.7039
263,0.6946
264,0.6769
265,0.6875
266,0.6803
267,0.6784
268,0.6736
269,0.6846
270,0.6729
271,0.6744
272,0.6757
273,0.6775
274,0.6982
275,0.6813
276,0.6707
277,0.6835
278,0.6730
279,0.6746
280,0.6771
281,0.6771
282,0.6741
283,0.6804
284,0.6752
285,0.6833
286,0.6684
287,0.6699
288,0.6743
289,0.6674
290,0.6769
291,0.6996
292,0.6884
293,0.6781
294,0.6870
295,0.6652
296,0.6839
297,0.6833
298,0.6805
299,0.6746
300,0.6718
