mini_batch_iteration,loss
0,0.6981
1,8.3753
2,4.0738
3,0.7040
4,0.8612
5,0.7158
6,0.6811
7,0.6891
8,0.6757
9,0.6658
10,0.6567
11,0.6069
12,0.7032
13,0.6550
14,0.6609
15,0.6756
16,0.6907
17,0.6300
18,0.6126
19,0.5715
20,0.6445
21,0.6601
22,0.6034
23,0.6023
24,0.6741
25,0.6978
26,0.6375
27,0.6594
28,0.7127
29,0.6310
30,0.6915
31,0.6510
32,0.6745
33,0.6696
34,0.6257
35,0.7001
36,0.6532
37,0.6904
38,0.6655
39,0.6450
40,0.7655
41,0.6720
42,0.6765
43,0.6910
44,0.6655
45,0.6720
46,0.6507
47,0.6894
48,0.6464
49,0.6202
50,0.7793
51,0.6303
52,0.6732
53,0.6390
54,0.6898
55,0.6225
56,0.7384
57,0.6677
58,0.6773
59,0.6751
60,0.6729
61,0.6510
62,0.6829
63,0.6126
64,0.6768
65,0.6334
66,0.6879
67,0.6605
68,0.6406
69,0.6393
70,0.7006
71,0.7017
72,0.7054
73,0.6296
74,0.7270
75,0.6359
76,0.6570
77,0.6929
78,0.6687
79,0.6676
80,0.6317
81,0.7124
82,0.6302
83,0.6417
84,0.6081
85,0.6747
86,0.6494
87,0.6652
88,0.6274
89,0.6323
90,0.6453
91,0.6394
92,0.7202
93,0.6603
94,0.6582
95,0.6782
96,0.6677
97,0.6842
98,0.6346
99,0.6499
100,0.6782
101,0.6424
102,0.6226
103,0.6464
104,0.6245
105,0.6273
106,0.6153
107,0.6762
108,0.6380
109,0.6357
110,0.6902
111,0.7872
112,0.6615
113,0.6877
114,0.6531
115,0.6455
116,0.6505
117,0.6867
118,0.6835
119,0.6438
120,0.6651
121,0.6398
122,0.6502
123,0.7285
124,0.6587
125,0.6680
126,0.6405
127,0.6943
128,0.6620
129,0.6857
130,0.6766
131,0.6315
132,0.6865
133,0.6689
134,0.6020
135,0.6343
136,0.6807
137,0.6930
138,0.6762
139,0.6575
140,0.6201
141,0.7070
142,0.6565
143,0.6814
144,0.6646
145,0.6495
146,0.6478
147,0.6343
148,0.6905
149,0.6779
150,0.6673
151,0.6741
152,0.5909
153,0.7925
154,0.6590
155,0.7589
156,0.7129
157,0.6481
158,0.7303
159,0.6566
160,0.6369
161,0.6560
162,0.6447
163,0.6571
164,0.6471
165,0.6412
166,0.6299
167,0.6830
168,0.6050
169,0.6076
170,0.6124
171,0.7500
172,0.6856
173,0.6825
174,0.6829
175,0.6233
176,0.7425
177,0.6606
178,0.6671
179,0.6713
180,0.6094
181,0.6974
182,0.6708
183,0.6587
184,0.6710
185,0.6692
186,0.6721
187,0.6354
188,0.6402
189,0.6761
190,0.6780
191,0.6235
192,0.7190
193,0.6714
194,0.6622
195,0.6857
196,0.6264
197,0.6910
198,0.6662
199,0.6694
200,0.6682
201,0.6666
202,0.6298
203,0.6488
204,0.6675
205,0.6538
206,0.6059
207,0.6546
208,0.7628
209,0.6984
210,0.7223
211,0.6851
212,0.6436
213,0.7076
214,0.6842
215,0.6790
216,0.6836
217,0.6590
218,0.6595
219,0.6507
220,0.6310
221,0.6450
222,0.6597
223,0.6131
224,0.9406
225,0.7041
226,0.6939
227,0.6607
228,0.6952
229,0.6733
230,0.6780
231,0.6546
232,0.6570
233,0.6665
234,0.6790
235,0.6430
236,0.6601
237,0.6814
238,0.6326
239,0.7132
240,0.6498
241,0.6517
242,0.6359
243,0.6508
244,0.6689
245,0.7250
246,0.6434
247,0.6561
248,0.6489
249,0.6393
250,0.6023
251,0.7595
252,0.6683
253,0.6785
254,0.6624
255,0.6608
256,0.6540
257,0.6872
258,0.6493
259,0.6754
260,0.7129
261,0.6487
262,0.6613
263,0.6840
264,0.6618
265,0.6449
266,0.6613
267,0.6726
268,0.7029
269,0.6601
270,0.6408
271,0.6516
272,0.6717
273,0.6631
274,0.6862
275,0.6336
276,0.6883
277,0.6128
278,0.6302
279,0.6334
280,0.6083
281,0.6602
282,0.6664
283,0.6971
284,0.6837
285,0.6549
286,0.7237
287,0.6155
288,0.6647
289,0.6698
290,0.6448
291,0.6278
292,0.6775
293,0.6547
294,0.6306
295,0.7037
296,0.6400
297,0.6310
298,0.7052
299,0.6343
300,0.6692
301,0.6507
302,0.5677
303,0.6518
304,0.6985
305,0.7167
306,0.6013
307,0.7441
308,0.6655
309,0.7073
310,0.6614
311,0.6495
312,0.6606
313,0.6315
314,0.7337
315,0.6799
316,0.6748
317,0.6247
318,0.6294
319,0.6632
320,0.6765
321,0.6693
322,0.6735
323,0.6271
324,0.6599
325,0.7040
326,0.6615
327,0.7021
328,0.7033
329,0.6365
330,0.6618
331,0.6429
332,0.6530
333,0.6572
334,0.6281
335,0.6749
336,0.7097
337,0.6622
338,0.6817
339,0.6628
340,0.6274
341,0.6494
342,0.7588
343,0.6852
344,0.6886
345,0.6743
346,0.6901
347,0.6444
348,0.6192
349,0.6910
350,0.5728
351,0.6957
352,0.6977
353,0.6557
354,0.6719
355,0.6821
356,0.6406
357,0.6632
358,0.6640
359,0.6560
360,0.6812
361,0.6050
362,0.7062
363,0.6664
364,0.6417
365,0.6721
366,0.6136
367,0.6325
368,0.6633
369,0.6286
370,0.6633
371,0.6892
372,0.6350
373,0.6102
374,0.6880
375,0.6338
376,0.6736
377,0.6096
378,0.6777
379,0.7211
380,0.7083
381,0.6768
382,0.6548
383,0.6137
384,0.7007
385,0.6340
386,0.6518
387,0.6508
388,0.6636
389,0.6590
390,0.6510
391,0.6255
392,0.6770
393,0.6638
394,0.6643
395,0.6595
396,0.6658
397,0.6498
398,0.7000
399,0.6595
400,0.6544
401,0.6277
402,0.6711
403,0.6633
404,0.6915
405,0.6724
406,0.6312
407,0.7274
408,0.6870
409,0.6709
410,0.7198
411,0.6602
412,0.6121
413,0.7147
414,0.6424
415,0.6545
416,0.6660
417,0.6691
418,0.6664
419,0.6331
420,0.6616
421,0.6395
422,0.6611
423,0.6651
424,0.6399
425,0.6835
426,0.6734
427,0.7006
428,0.6686
429,0.6747
430,0.6934
431,0.6318
432,0.6625
433,0.6449
434,0.7065
435,0.6677
436,0.6522
437,0.6495
438,0.6447
439,0.6063
440,0.6961
441,0.6767
442,0.6429
443,0.6823
444,0.6318
445,0.6594
446,0.6686
447,0.6684
448,0.6557
449,0.6928
450,0.6388
451,0.6582
452,0.6735
453,0.6521
454,0.6990
455,0.6555
456,0.6719
457,0.6722
458,0.6416
459,0.7038
460,0.6470
461,0.6503
462,0.7047
463,0.6314
464,0.6522
465,0.6751
466,0.6119
467,0.6470
468,0.6486
469,0.6026
470,0.6243
471,0.6742
472,0.7022
473,0.6775
474,0.6736
475,0.7018
476,0.6930
