mini_batch_iteration,loss
0,0.7039
1,14.1869
2,10.3259
3,2.9658
4,0.7614
5,0.8964
6,0.7162
7,0.6773
8,0.7100
9,0.6831
10,0.6685
11,0.6818
12,0.6408
13,0.6656
14,0.6686
15,0.6556
16,0.6077
17,0.6307
18,0.7232
19,0.6653
20,0.6840
21,0.7104
22,0.6967
23,0.6703
24,0.6913
25,0.6252
26,0.6447
27,0.6415
28,0.6722
29,0.6638
30,0.6368
31,0.6324
32,0.6276
33,0.6717
34,0.6265
35,0.5998
36,0.6021
37,0.6860
38,0.5929
39,0.6790
40,0.6652
41,0.6550
42,0.6414
43,0.6828
44,0.6740
45,0.6761
46,0.6413
47,0.6954
48,0.6640
49,0.6501
50,0.6210
51,0.5931
52,0.6281
53,0.5386
54,0.6763
55,0.6171
56,0.6035
57,0.7176
58,0.6726
59,0.6445
60,0.6405
61,0.6222
62,0.7071
63,0.6981
64,0.7049
65,0.6576
66,0.6359
67,0.6590
68,0.6665
69,0.7072
70,0.6089
71,0.6916
72,0.6458
73,0.5968
74,0.6615
75,0.5626
76,0.6635
77,0.6485
78,0.6503
79,0.6123
80,0.6166
81,0.6711
82,0.6187
83,0.6825
84,0.6111
85,0.5476
86,0.6988
87,0.5994
88,0.6769
89,0.6393
90,0.6602
91,0.6251
92,0.6466
93,0.6272
94,0.5913
95,0.6378
96,0.6088
97,0.6843
98,0.5560
99,0.6368
100,0.5996
101,0.6098
102,0.5953
103,0.5743
104,0.5272
105,0.5318
106,0.5288
107,0.5080
108,0.5716
109,0.5990
110,0.5232
111,0.5043
112,0.5077
113,0.5116
114,0.5498
115,0.5788
116,0.6252
117,0.5339
118,0.5230
119,0.5047
120,0.6379
121,0.5408
122,0.4715
123,0.5722
124,0.8031
125,0.6031
126,0.6226
127,0.6035
128,0.5834
129,0.5991
130,0.5848
131,0.6217
132,0.5661
133,0.5521
134,0.6178
135,0.5944
136,0.4521
137,0.5934
138,0.6223
139,0.5229
140,0.6016
141,0.6777
142,0.5297
143,0.6117
144,0.6112
145,0.5838
146,0.6422
147,0.5857
