mini_batch_iteration,loss
0,0.6978
1,1.3824
2,17.9070
3,4.8184
4,0.7204
5,0.6891
6,0.6510
7,0.7158
8,0.6029
9,0.6506
10,0.6216
11,0.5160
12,0.4663
13,0.6071
14,0.4398
15,0.3105
16,0.5420
17,0.3924
18,0.4879
19,0.3232
20,0.3965
21,0.4230
22,0.4428
23,0.4068
24,0.4124
25,0.4134
26,0.4340
27,0.3833
28,0.3595
29,0.5060
30,0.4557
31,0.3046
32,0.3915
33,0.3197
34,0.4158
35,0.3580
36,0.3323
37,0.2868
38,0.2169
39,0.3826
40,0.2409
41,0.3137
42,0.4255
43,0.4421
44,0.2642
45,0.4006
46,0.3368
47,0.3432
48,0.3510
49,0.2830
50,0.3671
51,0.2949
52,0.4094
53,0.3132
54,0.4836
55,0.1951
56,0.3101
57,0.3078
58,0.3141
59,0.3995
60,0.4208
61,0.3210
62,0.3125
63,0.2856
64,0.3019
65,0.2866
66,0.3982
67,0.3152
68,0.3958
69,0.3464
70,0.3797
71,0.2961
72,0.3876
73,0.3042
74,0.3871
75,0.4707
76,0.3146
77,0.4638
78,0.3625
79,0.3430
80,0.2673
81,0.3875
82,0.3345
83,0.2850
84,0.3508
85,0.4093
86,0.2738
87,0.3431
88,0.5352
89,0.4556
90,0.4202
91,0.4961
92,0.3156
93,0.3171
94,0.3349
95,0.3124
96,0.2993
97,0.2265
98,0.3218
99,0.2234
100,0.1369
101,0.3830
102,0.3760
103,0.3087
104,0.2352
105,0.1729
106,0.3131
107,0.3268
108,0.4031
109,0.2565
110,0.2247
111,0.3205
112,0.2449
113,0.2974
114,0.2109
115,0.3237
116,0.3753
117,0.3259
118,0.2300
119,0.2953
120,0.3182
121,0.2658
122,0.1688
123,0.3094
124,0.3260
125,0.2759
126,0.1993
127,0.2573
128,0.2355
129,0.2013
130,0.3407
131,0.2720
132,0.4025
133,0.2835
134,0.2631
135,0.2317
136,0.2124
137,0.2003
138,0.2766
139,0.2540
140,0.2639
141,0.3022
142,0.2751
143,0.2821
144,0.3532
145,0.2732
146,0.3374
147,0.3449
148,0.2606
149,0.2482
150,0.3732
151,0.3872
152,0.3064
153,0.2100
154,0.2903
155,0.2423
156,0.2780
157,0.3111
158,0.2451
159,0.2418
160,0.2663
161,0.2567
162,0.2822
163,0.3284
164,0.3655
165,0.2207
166,0.1474
167,0.2353
168,0.3367
169,0.2540
170,0.2823
171,0.2301
172,0.2768
173,0.3328
174,0.2299
175,0.1996
