mini_batch_iteration,loss
0,0.6965
1,3.4242
2,6.4644
3,0.8387
4,0.8016
5,0.6858
6,0.8078
7,0.7182
8,0.6825
9,0.6675
10,0.8284
11,0.7023
12,0.6896
13,0.6855
14,0.7007
15,0.6851
16,0.6877
17,0.6868
18,0.6978
19,0.6936
20,0.6809
21,0.6796
22,0.6628
23,0.7442
24,0.6694
25,0.6782
26,0.6751
27,0.6743
28,0.6677
29,0.6751
30,0.7115
31,0.6402
32,0.5926
33,0.5960
34,0.9319
35,0.5890
36,0.7263
37,0.5897
38,0.6325
39,0.6490
40,0.6477
41,0.6463
42,0.5931
43,0.6540
44,0.5841
45,0.6521
46,0.5322
47,0.6140
48,0.6164
49,0.6027
50,0.4367
51,0.5546
52,0.5461
53,0.5368
54,0.6269
55,0.5904
56,0.6558
57,0.5193
58,0.5680
59,0.6161
60,0.7005
61,0.5338
62,0.5422
63,0.6092
64,0.5652
65,0.6211
66,0.6218
67,0.5410
68,0.7966
69,0.6604
70,0.6172
71,0.6189
72,0.6057
73,0.6281
74,0.6084
75,0.5779
76,0.4514
77,0.9039
78,0.5285
79,0.5819
80,0.5504
81,0.5952
82,0.5539
83,0.5409
84,0.5135
85,0.6428
86,0.4760
87,0.5281
88,0.6237
89,0.5499
90,0.4833
91,0.5330
92,0.5175
93,0.4888
94,0.5414
95,0.4776
96,0.6554
97,0.7184
98,0.6076
99,0.5602
100,0.5144
101,0.4619
102,0.4601
103,0.6740
104,0.5162
105,0.5126
106,0.5335
107,0.5747
108,0.6217
109,0.5081
110,0.5292
111,0.4572
112,0.5660
113,0.5439
114,0.6124
115,0.4830
116,0.4831
117,0.4222
118,0.5629
119,0.6479
120,0.5631
121,0.5275
122,0.4356
123,0.5281
124,0.4155
125,0.4958
126,0.4447
127,0.4620
128,0.4147
129,0.2911
130,0.4766
131,0.2977
132,0.6334
133,0.5642
134,0.6099
135,0.3517
136,0.5583
137,0.5472
138,0.4220
139,0.3437
140,0.4188
141,0.4874
142,0.3674
143,0.2471
144,0.5393
145,0.5442
146,0.3913
147,0.4023
148,0.3616
149,0.3845
150,0.3940
151,0.3459
152,0.4473
153,0.2826
154,0.2219
155,0.6664
156,0.5185
157,0.6939
158,0.3460
159,0.3720
160,0.5411
161,0.9200
162,0.4420
163,0.6106
164,0.6554
165,0.6432
166,0.6090
167,0.5718
168,0.5360
169,0.4894
170,0.4131
171,0.3467
172,0.3248
173,0.6032
174,0.5861
175,0.4379
176,0.5156
177,0.6241
178,0.5292
179,0.4676
180,0.4314
181,0.3331
182,0.8382
183,0.4048
184,0.3933
185,0.4216
186,0.5487
187,0.4460
188,0.3346
189,0.3839
190,0.4750
191,0.5228
192,0.4380
193,0.3654
194,0.4039
195,0.4592
196,0.4487
197,0.3141
198,0.5275
199,0.4189
200,0.2974
201,0.3936
202,0.3255
203,0.3255
204,0.3080
205,0.5926
206,0.2948
207,0.3715
208,0.3953
209,0.4109
210,0.3798
211,0.4004
212,0.3980
213,0.3609
214,0.4229
215,0.2866
216,0.4201
217,0.4134
218,0.3008
219,0.5209
220,0.3970
221,0.5781
222,0.3606
223,0.3883
224,0.2951
225,0.3092
226,0.2736
227,0.4064
228,0.5149
229,0.3862
230,0.3007
231,0.2720
232,1.5027
233,0.2986
234,0.6275
235,1.0033
236,0.7954
237,0.8362
