mini_batch_iteration,loss
0,0.6761
1,10.6363
2,9.4086
3,2.9922
4,0.6879
5,0.6143
6,0.6005
7,0.8253
8,0.6509
9,0.6797
10,0.6848
11,0.6832
12,0.6923
13,0.6627
14,0.7159
15,0.7331
16,0.6739
17,0.6902
18,0.6760
19,0.6813
20,0.6652
21,0.6648
22,0.6790
23,0.6005
24,0.5929
25,0.7015
26,0.7109
27,0.6958
28,0.6770
29,0.6715
30,0.6542
31,0.6921
32,0.6586
33,0.6715
34,0.7229
35,0.6678
36,0.6824
37,0.7087
38,0.6880
39,0.7013
40,0.7080
41,0.6919
42,0.6706
43,0.6769
44,0.6678
45,0.6446
46,0.7155
47,0.6700
48,0.6480
49,0.6138
50,0.7227
51,0.5941
52,0.6561
53,0.7082
54,0.7506
55,0.6589
56,0.6846
57,0.6570
58,0.6902
59,0.6951
60,0.6320
61,0.6612
62,0.6466
63,0.7099
64,0.7211
65,0.6313
66,0.6988
67,0.5964
68,0.6847
69,0.6339
70,0.6706
71,0.6526
72,0.6577
73,0.6269
74,0.6466
75,0.7443
76,0.6479
77,0.6725
78,0.6708
79,0.6794
80,0.6587
81,0.6857
82,0.6919
83,0.6679
84,0.7065
85,0.6619
86,0.6556
87,0.6742
88,0.7147
89,0.6590
90,0.6244
91,0.6952
92,0.6100
93,0.6836
94,0.7231
95,0.7045
96,0.6889
97,0.7307
98,0.6672
99,0.6935
100,0.6801
101,0.7043
102,0.6859
103,0.6882
104,0.6993
105,0.6647
106,0.6617
107,0.6971
108,0.6610
109,0.6236
110,0.7156
111,0.7274
112,0.6159
113,0.6635
114,0.6643
115,0.6967
116,0.6458
117,0.6669
118,0.6689
119,0.6560
120,0.6387
121,0.6979
122,0.6838
123,0.6757
124,0.7177
125,0.6325
126,0.6829
127,0.6524
128,0.6987
129,0.6847
130,0.6749
131,0.6707
132,0.6497
133,0.5718
134,0.8784
135,0.6108
136,0.6881
137,0.6464
138,0.6591
139,0.6803
140,0.6821
141,0.6760
142,0.7060
143,0.6749
144,0.7319
145,0.6614
146,0.7039
147,0.6800
148,0.6359
149,0.6965
150,0.6482
151,0.6661
152,0.6703
153,0.6888
154,0.6395
155,0.7019
156,0.7194
157,0.6470
158,0.6599
159,0.6582
160,0.6463
161,0.6768
162,0.7136
163,0.6121
164,0.6969
165,0.6688
166,0.7616
167,0.7405
168,0.6189
169,0.6831
170,0.6829
171,0.6867
172,0.6861
173,0.6693
174,0.6578
175,0.6284
176,0.6202
177,0.6604
178,0.7174
179,0.6438
180,0.8159
181,0.6447
182,0.6683
183,0.6736
184,0.6311
185,0.6965
186,0.6446
187,0.6901
188,0.6546
189,0.6973
190,0.6361
191,0.6846
192,0.6991
193,0.6454
194,0.6899
195,0.6767
196,0.6557
197,0.6439
198,0.7069
199,0.6471
200,0.6254
201,0.6672
202,0.6657
203,0.7001
204,0.6535
205,0.6923
206,0.6944
207,0.7033
208,0.6560
209,0.6608
210,0.6880
211,0.6615
212,0.5938
213,0.6956
214,0.6782
215,0.5851
216,0.7684
217,0.6217
218,0.6429
219,0.5837
220,0.6845
221,0.6452
222,0.6456
223,0.5694
